PRCP       021073 19100101 20160331 missing_value=99999.9 CLOVERLEA                                 
19511201 19511231    19.2
19520101 19520131    46.2
19520201 19520229     0.4
19520301 19520331     6.5
19520401 19520430    61.8
19520501 19520531   128.2
19520601 19520630    47.8
19520701 19520731    52.7
19520801 19520831    32.5
19520901 19520930    60.6
19521001 19521031    81.0
19521101 19521130   128.7
19521201 19521231    13.7
19530101 19530131    27.2
19530201 19530228    13.7
19530301 19530331     6.5
19530401 19530430    15.0
19530501 19530531    27.0
19530601 19530630    76.4
19530701 19530731    55.9
19530801 19530831    45.5
19530901 19530930    82.8
19531001 19531031    79.9
19531101 19531130    49.1
19531201 19531231    50.1
19540101 19540131    33.5
19540201 19540228     0.0
19540301 19540331     4.9
19540401 19540430   109.6
19540501 19540531    15.3
19540601 19540630    50.5
19540701 19540731    55.6
19540801 19540831    50.5
19540901 19540930    17.4
19541001 19541031    53.0
19541101 19541130    22.8
19541201 19541231    51.8
19550101 19550131     5.5
19550201 19550228    74.2
19550301 19550331    38.1
19550401 19550430    20.2
19550501 19550531    82.1
19550601 19550630   102.7
19550701 19550731    43.7
19550801 19550831    81.9
19550901 19550930    31.8
19551001 19551031    24.8
19551101 19551130    57.4
19551201 19551231     8.8
19560101 19560131    12.8
19560201 19560229    34.1
19560301 19560331    23.4
19560401 19560430    46.0
19560501 19560531    91.3
19560601 19560630   119.8
19560701 19560731   125.2
19560801 19560831    48.2
19560901 19560930   112.0
19561001 19561031    59.2
19561101 19561130    24.4
19561201 19561231     0.0
19570101 19570131     0.0
19570201 19570228     0.4
19570301 19570331    11.5
19570401 19570430     9.8
19570501 19570531    25.5
19570601 19570630    74.9
19570701 19570731    85.2
19570801 19570831    33.9
19570901 19570930    31.3
19571001 19571031    27.0
19571101 19571130    22.1
19571201 19571231    25.4
19580101 19580131     3.0
19580201 19580228    16.7
19580301 19580331    29.1
19580401 19580430    17.5
19580501 19580531    97.3
19580601 19580630     8.9
19580701 19580731    48.5
19580801 19580831    85.2
19580901 19580930   127.3
19581001 19581031    70.2
19581101 19581130    11.7
19581201 19581231    15.8
19590101 19590131     7.1
19590201 19590228    23.6
19590301 19590331    26.7
19590401 19590430     9.2
19590501 19590531     9.5
19590601 19590630    17.3
19590701 19590731    47.9
19590801 19590831    49.6
19590901 19590930    35.0
19591001 19591031    41.4
19591101 19591130    11.9
19591201 19591231    36.4
19600101 19600131    15.2
19600201 19600229    69.6
19600301 19600331    19.1
19600401 19600430    39.6
19600501 19600531   165.9
19600601 19600630    38.3
19600701 19600731    63.8
19600801 19600831    62.7
19600901 19600930   112.6
19601001 19601031    24.5
19601101 19601130    50.7
19601201 19601231    21.9
19610101 19610131     1.5
19610201 19610228    16.3
19610301 19610331     6.9
19610401 19610430   132.3
19610501 19610531    28.3
19610601 19610630    35.6
19610701 19610731    57.5
19610801 19610831    84.7
19610901 19610930    52.2
19611001 19611031     8.6
19611101 19611130    61.7
19611201 19611231    15.0
19620101 19620131    13.5
19620201 19620228     5.3
19620301 19620331    31.8
19620401 19620430     0.8
19620501 19620531   110.4
19620601 19620630    47.7
19620701 19620731    47.6
19620801 19620831    49.8
19620901 19620930    38.7
19621001 19621031    59.1
19621101 19621130    15.4
19621201 19621231    98.9
19630101 19630131    48.6
19630201 19630228     8.4
19630301 19630331     2.5
19630401 19630430    37.1
19630501 19630531    78.1
19630601 19630630    94.4
19630701 19630731   128.4
19630801 19630831    72.3
19630901 19630930    40.1
19631001 19631031    34.3
19631101 19631130    19.6
19631201 19631231     3.1
19640101 19640131    21.8
19640201 19640229    44.2
19640301 19640331     3.8
19640401 19640430    38.1
19640501 19640531    45.6
19640601 19640630    37.3
19640701 19640731    86.3
19640801 19640831    50.6
19640901 19640930    89.4
19641001 19641031    64.2
19641101 19641130    50.6
19641201 19641231    25.9
19650101 19650131     0.5
19650201 19650228     0.0
19650301 19650331     4.3
19650401 19650430    19.3
19650501 19650531    65.8
19650601 19650630    39.8
19650701 19650731    92.6
19650801 19650831    70.6
19650901 19650930    51.4
19651001 19651031     7.6
19651101 19651130    38.4
19651201 19651231    21.1
19660101 19660131     5.4
19660201 19660228    28.0
19660301 19660331    48.3
19660401 19660430     8.1
19660501 19660531    48.3
19660601 19660630    40.2
19660701 19660731   104.3
19660801 19660831    39.4
19660901 19660930    85.9
19661001 19661031    34.9
19661101 19661130    13.2
19661201 19661231   145.4
19670101 19670131    17.3
19670201 19670228    19.3
19670301 19670331     5.3
19670401 19670430     3.3
19670501 19670531    24.4
19670601 19670630     5.1
19670701 19670731    40.8
19670801 19670831    63.0
19670901 19670930    50.7
19671001 19671031    10.1
19671101 19671130     1.0
19671201 19671231    10.1
19680101 19680131    40.0
19680201 19680229    70.9
19680301 19680331    34.0
19680401 19680430    45.7
19680501 19680531   112.9
19680601 19680630    84.0
19680701 19680731    68.8
19680801 19680831    77.2
19680901 19680930    20.9
19681001 19681031    56.5
19681101 19681130    64.0
19681201 19681231    34.2
19690101 19690131    57.7
19690201 19690228    44.5
19690301 19690331    39.1
19690401 19690430    26.3
19690501 19690531    88.1
19690601 19690630    57.2
19690701 19690731   107.0
19690801 19690831    32.7
19690901 19690930    65.7
19691001 19691031    10.6
19691101 19691130    29.2
19691201 19691231    32.7
19700101 19700131    49.4
19700201 19700228     1.5
19700301 19700331    14.2
19700401 19700430    22.2
19700501 19700531    81.8
19700601 19700630    55.6
19700701 19700731    28.9
19700801 19700831    89.4
19700901 19700930    85.7
19701001 19701031     9.3
19701101 19701130    43.5
19701201 19701231    43.6
19710101 19710131     0.5
19710201 19710228    32.5
19710301 19710331    32.0
19710401 19710430    82.9
19710501 19710531    82.5
19710601 19710630    75.6
19710701 19710731    68.8
19710801 19710831   108.6
19710901 19710930    59.0
19711001 19711031    14.2
19711101 19711130    84.6
19711201 19711231    38.6
19720101 19720131    30.5
19720201 19720229    32.5
19720301 19720331     0.0
19720401 19720430    24.5
19720501 19720531    26.6
19720601 19720630    29.2
19720701 19720731    60.2
19720801 19720831    87.9
19720901 19720930    17.0
19721001 19721031    23.4
19721101 19721130    15.3
19721201 19721231     4.1
19730101 19730131    12.7
19730201 19730228   162.7
19730301 19730331    40.9
19730401 19730430    46.2
19730501 19730531    62.7
19730601 19730630    84.3
19730701 19730731    70.4
19730801 19730831    77.7
19730901 19730930    47.8
19731001 19731031   163.5
19731101 19731130    44.1
19731201 19731231    24.8
19740101 19740131    49.8
19740201 19740228    49.3
19740301 19740331    37.5
19740401 19740430   138.3
19740501 19740531   111.8
19740601 19740630    33.6
19740701 19740731   101.0
19740801 19740831    52.9
19740901 19740930    71.9
19741001 19741031   128.6
19741101 19741130    11.6
19741201 19741231     1.6
19750101 19750131    20.8
19750201 19750228     1.2
19750301 19750331    38.2
19750401 19750430    11.0
19750501 19750531    57.8
19750601 19750630     1.8
19750701 19750731    74.6
19750801 19750831    41.4
19750901 19750930   104.8
19751001 19751031   124.8
19751101 19751130    16.5
19751201 19751231    32.0
19760101 19760131     4.2
19760201 19760229    28.6
19760301 19760331     7.0
19760401 19760430    17.4
19760501 19760531    21.1
19760601 19760630    51.2
19760701 19760731     8.2
19760801 19760831    41.6
19760901 19760930    48.2
19761001 19761031    98.2
19761101 19761130    54.2
19761201 19761231     6.2
19770101 19770131    26.6
19770201 19770228    27.0
19770301 19770331    12.4
19770401 19770430    23.6
19770501 19770531    44.8
19770601 19770630    38.0
19770701 19770731    29.8
19770801 19770831    28.6
19770901 19770930    62.6
19771001 19771031    39.0
19771101 19771130    52.4
19771201 19771231    19.6
19780101 19780131    19.0
19780201 19780228     0.0
19780301 19780331     4.8
19780401 19780430    42.8
19780501 19780531    66.2
19780601 19780630   119.2
19780701 19780731   101.0
19780801 19780831   107.2
19780901 19780930    97.4
19781001 19781031    31.0
19781101 19781130    40.0
19781201 19781231    13.0
19790101 19790131    15.0
19790201 19790228    49.8
19790301 19790331     7.2
19790401 19790430    41.8
19790501 19790531    63.6
19790601 19790630    13.0
19790701 19790731    39.1
19790801 19790831    64.2
19790901 19790930   143.0
19791001 19791031    82.8
19791101 19791130    36.6
19791201 19791231    30.4
19800101 19800131     1.6
19800201 19800229     0.6
19800301 19800331     3.4
19800401 19800430   103.6
19800501 19800531    37.2
19800601 19800630    81.4
19800701 19800731    73.8
19800801 19800831     8.2
19800901 19800930    15.8
19801001 19801031    98.4
19801101 19801130    23.2
19801201 19801231    13.2
19810101 19810131    36.0
19810201 19810228     7.8
19810301 19810331    25.8
19810401 19810430     5.2
19810501 19810531    75.4
19810601 19810630   103.8
19810701 19810731   110.6
19810801 19810831    89.6
19810901 19810930    20.0
19811001 19811031    33.6
19811101 19811130    29.0
19811201 19811231    14.4
19820101 19820131    17.6
19820201 19820228     7.0
19820301 19820331    49.0
19820401 19820430    45.0
19820501 19820531    43.8
19820601 19820630    48.8
19820701 19820731    17.6
19820801 19820831    20.0
19820901 19820930    38.2
19821001 19821031    21.6
19821101 19821130     1.6
19821201 19821231     2.4
19830101 19830131     5.0
19830201 19830228     5.4
19830301 19830331    94.0
19830401 19830430    75.2
19830501 19830531    48.4
19830601 19830630    17.2
19830701 19830731    72.4
19830801 19830831    70.6
19830901 19830930    79.8
19831001 19831031    47.4
19831101 19831130    35.8
19831201 19831231    44.6
19840101 19840131    40.4
19840201 19840229     1.6
19840301 19840331    11.2
19840401 19840430    31.2
19840501 19840531    27.2
19840601 19840630    34.6
19840701 19840731   113.6
19840801 19840831    62.8
19840901 19840930    91.6
19841001 19841031    29.8
19841101 19841130    27.6
19841201 19841231     2.6
19850101 19850131    16.6
19850201 19850228     0.0
19850301 19850331    56.2
19850401 19850430    31.0
19850501 19850531    43.4
19850601 19850630    50.4
19850701 19850731    35.4
19850801 19850831   105.2
19850901 19850930    72.4
19851001 19851031    67.8
19851101 19851130    17.4
19851201 19851231    49.6
19860101 19860131     2.6
19860201 19860228     4.6
19860301 19860331     0.0
19860401 19860430    29.4
19860501 19860531    26.8
19860601 19860630    48.4
19860701 19860731    84.4
19860801 19860831    88.4
19860901 19860930    47.2
19861001 19861031    54.2
19861101 19861130    57.0
19861201 19861231    17.6
19870101 19870131    35.4
19870201 19870228    37.2
19870301 19870331    15.6
19870401 19870430    21.2
19870501 19870531    81.4
19870601 19870630    37.0
19870701 19870731    45.6
19870801 19870831    65.6
19870901 19870930    51.8
19871001 19871031    33.0
19871101 19871130     5.6
19871201 19871231    24.6
19880101 19880131     5.0
19880201 19880229    17.2
19880301 19880331    38.0
19880401 19880430 99999.9
19880501 19880531    58.2
19880601 19880630   103.8
19880701 19880731    38.8
19880801 19880831    41.0
19880901 19880930    50.0
19881001 19881031    23.8
19881101 19881130    95.0
19881201 19881231     6.6
19890101 19890131     1.0
19890201 19890228     0.0
19890301 19890331    55.6
19890401 19890430    16.0
19890501 19890531    53.2
19890601 19890630    71.2
19890701 19890731    88.6
19890801 19890831    73.4
19890901 19890930    36.0
19891001 19891031    20.2
19891101 19891130    52.6
19891201 19891231    29.8
19900101 19900131     6.6
19900201 19900228    33.6
19900301 19900331     1.0
19900401 19900430    10.2
19900501 19900531    30.6
19900601 19900630    91.6
19900701 19900731    91.0
19900801 19900831    56.4
19900901 19900930    44.2
19901001 19901031    38.4
19901101 19901130     6.6
19901201 19901231    42.8
19910101 19910131     6.2
19910201 19910228     0.0
19910301 19910331    11.4
19910401 19910430    47.0
19910501 19910531     8.4
19910601 19910630   135.8
19910701 19910731    42.6
19910801 19910831    86.2
19910901 19910930    85.2
19911001 19911031    17.4
19911101 19911130    42.6
19911201 19911231     5.6
19920101 19920131     0.6
19920201 19920229     4.2
19920301 19920331    77.2
19920401 19920430    62.0
19920501 19920531    87.4
19920601 19920630    44.4
19920701 19920731    37.4
19920801 19920831    97.0
19920901 19920930   130.4
19921001 19921031   100.9
19921101 19921130    61.8
19921201 19921231   101.4
19930101 19930131   144.0
19930201 19930228    10.0
19930301 19930331     4.6
19930401 19930430     2.4
19930501 19930531    48.1
