PRCP       025018 19080801 20171130 missing_value=99999.9 SCHELLS WELL                              
19571201 19571231     6.6
19580101 19580131     2.5
19580201 19580228     0.3
19580301 19580331    15.4
19580401 19580430    13.2
19580501 19580531    36.9
19580601 19580630     0.5
19580701 19580731    41.2
19580801 19580831    63.5
19580901 19580930    42.8
19581001 19581031    45.9
19581101 19581130    52.6
19581201 19581231     5.4
19590101 19590131     0.0
19590201 19590228    21.9
19590301 19590331    23.7
19590401 19590430     2.8
19590501 19590531     8.9
19590601 19590630     8.1
19590701 19590731    15.9
19590801 19590831    14.1
19590901 19590930    27.3
19591001 19591031    39.8
19591101 19591130    14.5
19591201 19591231    19.1
19600101 19600131    17.8
19600201 19600229    36.6
19600301 19600331     7.9
19600401 19600430    32.3
19600501 19600531    72.6
19600601 19600630    14.8
19600701 19600731    48.8
19600801 19600831    25.4
19600901 19600930    57.3
19601001 19601031     8.6
19601101 19601130    45.5
19601201 19601231     0.0
19610101 19610131     1.3
19610201 19610228    20.9
19610301 19610331     8.6
19610401 19610430    57.1
19610501 19610531    11.6
19610601 19610630    30.0
19610701 19610731    55.7
19610801 19610831    19.9
19610901 19610930    50.5
19611001 19611031     0.0
19611101 19611130    44.2
19611201 19611231    24.2
19620101 19620131    59.2
19620201 19620228     0.0
19620301 19620331     0.0
19620401 19620430     0.0
19620501 19620531    29.2
19620601 19620630    12.4
19620701 19620731    11.2
19620801 19620831    16.7
19620901 19620930     8.1
19621001 19621031    45.2
19621101 19621130     5.1
19621201 19621231    47.8
19630101 19630131    47.8
19630201 19630228     3.6
19630301 19630331     2.8
19630401 19630430    39.7
19630501 19630531    82.2
19630601 19630630    52.4
19630701 19630731    52.4
19630801 19630831    48.6
19630901 19630930    13.2
19631001 19631031    18.2
19631101 19631130     5.6
19631201 19631231     6.6
19640101 19640131    19.1
19640201 19640229    27.7
19640301 19640331     0.0
19640401 19640430    40.5
19640501 19640531    14.0
19640601 19640630    13.7
19640701 19640731    31.0
19640801 19640831    54.4
19640901 19640930    98.1
19641001 19641031    28.6
19641101 19641130    38.1
19641201 19641231    40.1
19650101 19650131     0.8
19650201 19650228     0.0
19650301 19650331     2.1
19650401 19650430    26.4
19650501 19650531    21.6
19650601 19650630    28.7
19650701 19650731    54.2
19650801 19650831    71.7
19650901 19650930    34.0
19651001 19651031     1.0
19651101 19651130    27.7
19651201 19651231     5.8
19660101 19660131    12.4
19660201 19660228    25.1
19660301 19660331     3.3
19660401 19660430     2.8
19660501 19660531    19.5
19660601 19660630    29.4
19660701 19660731    30.5
19660801 19660831     9.1
19660901 19660930    18.6
19661001 19661031    20.8
19661101 19661130     1.8
19661201 19661231    65.5
19670101 19670131     0.8
19670201 19670228    29.7
19670301 19670331     7.6
19670401 19670430     0.0
19670501 19670531    27.4
19670601 19670630     6.1
19670701 19670731    24.7
19670801 19670831    32.8
19670901 19670930    15.0
19671001 19671031     7.0
19671101 19671130     0.0
19671201 19671231     9.7
19680101 19680131    68.9
19680201 19680229    14.0
19680301 19680331    48.7
19680401 19680430    21.7
19680501 19680531    57.1
19680601 19680630    48.0
19680701 19680731    33.3
19680801 19680831    47.7
19680901 19680930     9.2
19681001 19681031    26.4
19681101 19681130    22.6
19681201 19681231    21.3
19690101 19690131     0.0
19690201 19690228    71.2
19690301 19690331    56.5
19690401 19690430     9.9
19690501 19690531    35.6
19690601 19690630    10.7
19690701 19690731    58.8
19690801 19690831    12.7
19690901 19690930    17.1
19691001 19691031     0.5
19691101 19691130    10.9
19691201 19691231    25.0
19700101 19700131     5.1
19700201 19700228     0.0
19700301 19700331     8.1
19700401 19700430    43.4
19700501 19700531    13.5
19700601 19700630    23.0
19700701 19700731    13.9
19700801 19700831    35.2
19700901 19700930    59.3
19701001 19701031    16.0
19701101 19701130    63.5
19701201 19701231    18.1
19710101 19710131     1.8
19710201 19710228    20.6
19710301 19710331    21.1
19710401 19710430    67.1
19710501 19710531    28.7
19710601 19710630    52.4
19710701 19710731    21.1
19710801 19710831    13.8
19710901 19710930    49.0
19711001 19711031     8.4
19711101 19711130    41.9
19711201 19711231    11.2
19720101 19720131    43.9
19720201 19720229     7.6
19720301 19720331     0.0
19720401 19720430    16.0
19720501 19720531     8.7
19720601 19720630     6.6
19720701 19720731    20.2
19720801 19720831    37.3
19720901 19720930     9.5
19721001 19721031    10.2
19721101 19721130    42.2
19721201 19721231    16.5
19730101 19730131    21.8
19730201 19730228   113.1
19730301 19730331    32.3
19730401 19730430    20.4
19730501 19730531    28.5
19730601 19730630    40.8
19730701 19730731    53.8
19730801 19730831    42.9
19730901 19730930    26.2
19731001 19731031   149.6
19731101 19731130    45.4
19731201 19731231    13.2
19740101 19740131   156.6
19740201 19740228    60.6
19740301 19740331    36.2
19740401 19740430    63.4
19740501 19740531    63.8
19740601 19740630    18.3
19740701 19740731    56.0
19740801 19740831    37.0
19740901 19740930    58.2
19741001 19741031    55.0
19741101 19741130     3.6
19741201 19741231     0.4
19750101 19750131     7.5
19750201 19750228     0.0
19750301 19750331    34.2
19750401 19750430     8.2
19750501 19750531    14.2
19750601 19750630     4.2
19750701 19750731    34.6
19750801 19750831    19.8
19750901 19750930    45.0
19751001 19751031    61.2
19751101 19751130    10.6
19751201 19751231    19.8
19760101 19760131    12.8
19760201 19760229     9.8
19760301 19760331     1.8
19760401 19760430    18.0
19760501 19760531     4.8
19760601 19760630    23.6
19760701 19760731    28.0
19760801 19760831    25.2
19760901 19760930    28.2
19761001 19761031    62.8
19761101 19761130    25.2
19761201 19761231     8.8
19770101 19770131     7.4
19770201 19770228     8.0
19770301 19770331    12.6
19770401 19770430     6.0
19770501 19770531    24.9
19770601 19770630    34.6
19770701 19770731     7.6
19770801 19770831     9.2
19770901 19770930    23.4
19771001 19771031    23.0
19771101 19771130    59.0
19771201 19771231    11.2
19780101 19780131     3.6
19780201 19780228     3.8
19780301 19780331    13.6
19780401 19780430     6.8
19780501 19780531    24.0
19780601 19780630    39.0
19780701 19780731    80.6
19780801 19780831    36.6
19780901 19780930    35.2
19781001 19781031    29.0
19781101 19781130    55.4
19781201 19781231     4.0
19790101 19790131    33.0
19790201 19790228    36.0
19790301 19790331     1.2
19790401 19790430    16.8
19790501 19790531    30.0
19790601 19790630     7.4
19790701 19790731    11.8
19790801 19790831    41.6
19790901 19790930    68.4
19791001 19791031    48.8
19791101 19791130    36.2
19791201 19791231     2.4
19800101 19800131     5.2
19800201 19800229     0.0
19800301 19800331     3.8
19800401 19800430    66.4
19800501 19800531    28.8
19800601 19800630    57.6
19800701 19800731    35.4
19800801 19800831    13.0
19800901 19800930     7.4
19801001 19801031    52.0
19801101 19801130     3.2
19801201 19801231    12.0
19810101 19810131     9.0
19810201 19810228    11.6
19810301 19810331     5.0
19810401 19810430     0.0
19810501 19810531    35.2
19810601 19810630    47.4
19810701 19810731    76.8
19810801 19810831    55.8
19810901 19810930    17.2
19811001 19811031    11.6
19811101 19811130    23.4
19811201 19811231     0.0
19820101 19820131    10.2
19820201 19820228    11.2
19820301 19820331    15.0
19820401 19820430    23.2
19820501 19820531    11.0
19820601 19820630    18.4
19820701 19820731     5.0
19820801 19820831     7.8
19820901 19820930     3.2
19821001 19821031     4.8
19821101 19821130     0.0
19821201 19821231     4.6
19830101 19830131     1.0
19830201 19830228     2.2
19830301 19830331    61.2
19830401 19830430    11.8
19830501 19830531    19.6
19830601 19830630     5.8
19830701 19830731    42.2
19830801 19830831    36.0
19830901 19830930    67.0
19831001 19831031    38.4
19831101 19831130    28.6
19831201 19831231    91.8
19840101 19840131    49.0
19840201 19840229     1.0
19840301 19840331     5.0
19840401 19840430     5.8
19840501 19840531     7.6
19840601 19840630     2.0
19840701 19840731    48.4
19840801 19840831    62.6
19840901 19840930    18.2
19841001 19841031    12.2
19841101 19841130    21.0
19841201 19841231     5.4
19850101 19850131     3.4
19850201 19850228     0.0
19850301 19850331     4.0
19850401 19850430    31.4
19850501 19850531    29.0
19850601 19850630    15.8
19850701 19850731     6.6
19850801 19850831    61.8
19850901 19850930    10.0
19851001 19851031    94.0
19851101 19851130    25.2
19851201 19851231     9.8
19860101 19860131     2.4
19860201 19860228     1.2
19860301 19860331     0.0
19860401 19860430    12.4
19860501 19860531    20.4
19860601 19860630    11.6
19860701 19860731    80.6
19860801 19860831    59.2
19860901 19860930    32.4
19861001 19861031    52.6
19861101 19861130    19.6
19861201 19861231    41.2
19870101 19870131    35.0
19870201 19870228    22.2
19870301 19870331     9.4
19870401 19870430    13.0
19870501 19870531    36.8
19870601 19870630    48.6
19870701 19870731    41.6
19870801 19870831    24.0
19870901 19870930     8.0
19871001 19871031    46.0
19871101 19871130     9.0
19871201 19871231    45.2
19880101 19880131    26.2
19880201 19880229    16.8
19880301 19880331     6.8
19880401 19880430    18.4
19880501 19880531    37.6
19880601 19880630    48.2
19880701 19880731    21.0
19880801 19880831     7.6
19880901 19880930    33.4
19881001 19881031    13.2
19881101 19881130    40.8
19881201 19881231    14.4
19890101 19890131     1.6
19890201 19890228     2.4
19890301 19890331    27.6
19890401 19890430     0.8
19890501 19890531    26.4
19890601 19890630    28.8
19890701 19890731    23.4
19890801 19890831    34.6
19890901 19890930    15.6
19891001 19891031    16.8
19891101 19891130    13.0
19891201 19891231     0.0
19900101 19900131     6.4
19900201 19900228     2.0
19900301 19900331     4.6
19900401 19900430    12.0
19900501 19900531    11.8
19900601 19900630    39.3
19900701 19900731    48.4
19900801 19900831    41.8
19900901 19900930    19.0
19901001 19901031     8.0
19901101 19901130    10.2
19901201 19901231    12.4
19910101 19910131     5.4
19910201 19910228     0.8
19910301 19910331     6.4
19910401 19910430    18.6
19910501 19910531     0.0
19910601 19910630    60.6
19910701 19910731    58.8
19910801 19910831    23.0
19910901 19910930    34.0
19911001 19911031     0.6
19911101 19911130    18.4
19911201 19911231     0.0
19920101 19920131     0.4
19920201 19920229    18.6
19920301 19920331     9.6
19920401 19920430    53.2
19920501 19920531    65.1
19920601 19920630    22.9
19920701 19920731    15.4
19920801 19920831    63.8
19920901 19920930    75.8
19921001 19921031    71.1
19921101 19921130    37.8
19921201 19921231    76.8
19930101 19930131    23.3
19930201 19930228     6.0
19930301 19930331     3.0
19930401 19930430     0.0
19930501 19930531    11.8
19930601 19930630    15.3
19930701 19930731    56.9
19930801 19930831    18.4
19930901 19930930    74.5
19931001 19931031    55.1
19931101 19931130    33.8
19931201 19931231    27.4
19940101 19940131     6.4
19940201 19940228    18.7
19940301 19940331     0.0
19940401 19940430     1.0
19940501 19940531     8.5
19940601 19940630    54.0
19940701 19940731    17.4
19940801 19940831     5.6
19940901 19940930    17.5
19941001 19941031     8.7
19941101 19941130     8.6
19941201 19941231     4.6
19950101 19950131    49.0
19950201 19950228    27.2
19950301 19950331     0.8
19950401 19950430    35.0
19950501 19950531    28.8
19950601 19950630    63.6
19950701 19950731    62.0
19950801 19950831     9.9
19950901 19950930    19.0
19951001 19951031    65.2
19951101 19951130     5.5
19951201 19951231     5.6
19960101 19960131    25.6
19960201 19960229    13.7
19960301 19960331    20.6
19960401 19960430     5.2
19960501 19960531     7.8
19960601 19960630    42.4
19960701 19960731    53.8
19960801 19960831    51.0
19960901 19960930    56.6
19961001 19961031    14.8
19961101 19961130     5.6
19961201 19961231    11.0
19970101 19970131     8.4
19970201 19970228    51.4
19970301 19970331     0.0
19970401 19970430     0.4
19970501 19970531    24.2
19970601 19970630    10.4
19970701 19970731     1.0
19970801 19970831    39.0
19970901 19970930    60.9
19971001 19971031    28.4
19971101 19971130    12.2
19971201 19971231    29.0
19980101 19980131    54.0
19980201 19980228    31.2
19980301 19980331     6.1
19980401 19980430    42.9
19980501 19980531     7.0
19980601 19980630    74.2
19980701 19980731    31.4
19980801 19980831    34.4
19980901 19980930    37.8
19981001 19981031    33.1
19981101 19981130    76.9
19981201 19981231    11.4
19990101 19990131     4.0
19990201 19990228    19.0
19990301 19990331    21.7
19990401 19990430     9.5
19990501 19990531    21.0
19990601 19990630    21.3
19990701 19990731    47.1
19990801 19990831    21.2
19990901 19990930    18.1
19991001 19991031    50.3
19991101 19991130    39.5
19991201 19991231    19.0
20000101 20000131     4.0
20000201 20000229    55.6
20000301 20000331    14.3
20000401 20000430    50.1
20000501 20000531    30.0
20000601 20000630    20.0
20000701 20000731    30.7
20000801 20000831    22.5
20000901 20000930    37.3
20001001 20001031    34.9
20001101 20001130    13.7
20001201 20001231    20.0
20010101 20010131     2.0
20010201 20010228    11.2
20010301 20010331    28.4
20010401 20010430     2.4
20010501 20010531    14.9
20010601 20010630    30.6
20010701 20010731    23.8
20010801 20010831    34.6
20010901 20010930    45.0
20011001 20011031    53.8
20011101 20011130    16.2
20011201 20011231     2.4
20020101 20020131    17.7
20020201 20020228     8.0
20020301 20020331     4.5
20020401 20020430     4.4
20020501 20020531    22.0
20020601 20020630    16.2
20020701 20020731    13.1
20020801 20020831    11.1
20020901 20020930    22.7
20021001 20021031     7.4
20021101 20021130    19.8
20021201 20021231     9.5
20030101 20030131     0.8
20030201 20030228    47.0
20030301 20030331     1.8
20030401 20030430    11.3
20030501 20030531    34.2
20030601 20030630    29.2
20030701 20030731    16.0
20030801 20030831    50.7
20030901 20030930    21.2
20031001 20031031    39.4
20031101 20031130    17.2
20031201 20031231    36.0
20040101 20040131     5.2
20040201 20040229     1.5
20040301 20040331     6.2
20040401 20040430     2.4
20040501 20040531    13.2
20040601 20040630    51.2
20040701 20040731    20.8
20040801 20040831    39.3
20040901 20040930    23.4
20041001 20041031     1.6
20041101 20041130    19.0
20041201 20041231    66.7
