PRCP       018073 19100101 20070630 missing_value=99999.9 PUNTABIE                                  
19691101 19691130     8.2
19691201 19691231     1.3
19700101 19700131     1.3
19700201 19700228     1.0
19700301 19700331     0.5
19700401 19700430     6.9
19700501 19700531    23.2
19700601 19700630    21.8
19700701 19700731    14.8
19700801 19700831    40.3
19700901 19700930    26.3
19701001 19701031     3.9
19701101 19701130    15.3
19701201 19701231     1.5
19710101 19710131     3.8
19710201 19710228     2.3
19710301 19710331    35.3
19710401 19710430    45.2
19710501 19710531    26.7
19710601 19710630    24.7
19710701 19710731    39.0
19710801 19710831    41.5
19710901 19710930    19.6
19711001 19711031     5.3
19711101 19711130    46.0
19711201 19711231    20.6
19720101 19720131     1.1
19720201 19720229     4.1
19720301 19720331     0.0
19720401 19720430     8.1
19720501 19720531     2.1
19720601 19720630    24.3
19720701 19720731    43.5
19720801 19720831    97.9
19720901 19720930     8.4
19721001 19721031    26.8
19721101 19721130     3.1
19721201 19721231     0.0
19730101 19730131    11.0
19730201 19730228    19.6
19730301 19730331    36.0
19730401 19730430    10.8
19730501 19730531    34.3
19730601 19730630    50.5
19730701 19730731    38.2
19730801 19730831    76.9
19730901 19730930    39.8
19731001 19731031    19.8
19731101 19731130    14.3
19731201 19731231    41.0
19740101 19740131    48.2
19740201 19740228     2.2
19740301 19740331     0.2
19740401 19740430    15.6
19740501 19740531    45.1
19740601 19740630    16.4
19740701 19740731    87.6
19740801 19740831    29.2
19740901 19740930    46.8
19741001 19741031    60.4
19741101 19741130    17.0
19741201 19741231     0.0
19750101 19750131     0.4
19750201 19750228    27.4
19750301 19750331     7.8
19750401 19750430    12.6
19750501 19750531    18.0
19750601 19750630     9.8
19750701 19750731    31.8
19750801 19750831    21.8
19750901 19750930    33.0
19751001 19751031    47.8
19751101 19751130    16.0
19751201 19751231     6.4
19760101 19760131     2.0
19760201 19760229    32.8
19760301 19760331    17.0
19760401 19760430     3.6
19760501 19760531     9.6
19760601 19760630    16.4
19760701 19760731     4.6
19760801 19760831    11.6
19760901 19760930    22.2
19761001 19761031    42.2
19761101 19761130    33.8
19761201 19761231     1.4
19770101 19770131    17.6
19770201 19770228    15.8
19770301 19770331     2.4
19770401 19770430     1.0
19770501 19770531    44.0
19770601 19770630     9.2
19770701 19770731    11.8
19770801 19770831    11.4
19770901 19770930    20.2
19771001 19771031     4.4
19771101 19771130    44.2
19771201 19771231     5.6
19780101 19780131    13.6
19780201 19780228     0.4
19780301 19780331     3.4
19780401 19780430    13.0
19780501 19780531    28.6
19780601 19780630    48.6
19780701 19780731    55.8
19780801 19780831    55.8
19780901 19780930    60.4
19781001 19781031    11.2
19781101 19781130    41.2
19781201 19781231     6.8
19790101 19790131     0.0
19790201 19790228     0.0
19790301 19790331     0.8
19790401 19790430    26.4
19790501 19790531    67.2
19790601 19790630    16.6
19790701 19790731    36.8
19790801 19790831    41.4
19790901 19790930   110.2
19791001 19791031     8.6
19791101 19791130    30.6
19791201 19791231     1.8
19800101 19800131     0.0
19800201 19800229     3.6
19800301 19800331     0.0
19800401 19800430    30.4
19800501 19800531    38.0
19800601 19800630    29.4
19800701 19800731    25.0
19800801 19800831    11.8
19800901 19800930     9.8
19801001 19801031    32.6
19801101 19801130    33.6
19801201 19801231    15.4
19810101 19810131    10.6
19810201 19810228    66.2
19810301 19810331    23.6
19810401 19810430     0.0
