PRCP       040043 18690801 20180131 missing_value=99999.9 CAPE MORETON LIGHTHOUSE                   
19280701 19280731    26.4
19280801 19280831    49.2
19280901 19280930    19.3
19281001 19281031    22.8
19281101 19281130    97.7
19281201 19281231    76.9
19290101 19290131    83.4
19290201 19290228   352.8
19290301 19290331   350.7
19290401 19290430   266.0
19290501 19290531   179.1
19290601 19290630    65.3
19290701 19290731    31.5
19290801 19290831   104.2
19290901 19290930    35.9
19291001 19291031   108.2
19291101 19291130    30.7
19291201 19291231    48.2
19300101 19300131   318.0
19300201 19300228    47.3
19300301 19300331   126.7
19300401 19300430   300.0
19300501 19300531   323.1
19300601 19300630   271.9
19300701 19300731    54.5
19300801 19300831    88.5
19300901 19300930    36.3
19301001 19301031    74.8
19301101 19301130    32.3
19301201 19301231    56.7
19310101 19310131   270.2
19310201 19310228   549.4
19310301 19310331   226.0
19310401 19310430   180.4
19310501 19310531   163.7
19310601 19310630    72.1
19310701 19310731   111.5
19310801 19310831   226.4
19310901 19310930    45.6
19311001 19311031   118.5
19311101 19311130   179.8
19311201 19311231   227.6
19320101 19320131    26.6
19320201 19320229    98.5
19320301 19320331   114.6
19320401 19320430   208.8
19320501 19320531   114.7
19320601 19320630   143.6
19320701 19320731   115.2
19320801 19320831    47.6
19320901 19320930   201.4
19321001 19321031    72.5
19321101 19321130    31.6
19321201 19321231    35.1
19330101 19330131   188.7
19330201 19330228   129.6
19330301 19330331    85.0
19330401 19330430   164.5
19330501 19330531    44.3
19330601 19330630   152.7
19330701 19330731   185.1
19330801 19330831   113.0
19330901 19330930    87.2
19331001 19331031    71.9
19331101 19331130   132.4
19331201 19331231   321.6
19340101 19340131   114.9
19340201 19340228   313.4
19340301 19340331    47.2
19340401 19340430   384.7
19340501 19340531   373.2
19340601 19340630    55.2
19340701 19340731   319.8
19340801 19340831    30.0
19340901 19340930    33.8
19341001 19341031    58.5
19341101 19341130   260.7
19341201 19341231   180.8
19350101 19350131   110.5
19350201 19350228   134.4
19350301 19350331   176.4
19350401 19350430    55.4
19350501 19350531   179.1
19350601 19350630    22.8
19350701 19350731   102.6
19350801 19350831    74.2
19350901 19350930   104.5
19351001 19351031   125.8
19351101 19351130    10.7
19351201 19351231   147.3
19360101 19360131   134.2
19360201 19360229    36.3
19360301 19360331   156.0
19360401 19360430    40.9
19360501 19360531   234.7
19360601 19360630   122.1
19360701 19360731   100.4
19360801 19360831    14.0
19360901 19360930    56.9
19361001 19361031    62.1
19361101 19361130    51.0
19361201 19361231    30.9
19370101 19370131    58.0
19370201 19370228   103.2
19370301 19370331   369.8
19370401 19370430    84.8
19370501 19370531    69.6
19370601 19370630   234.1
19370701 19370731   147.2
19370801 19370831   109.9
