PRCP       083032 18890201 20170630 missing_value=99999.9 WHITLANDS (BURDER'S LANE)                 
19181101 19181130    10.5
19181201 19181231    74.3
19190101 19190131     0.0
19190201 19190228   100.5
19190301 19190331   102.8
19190401 19190430    64.1
19190501 19190531   139.4
19190601 19190630   117.4
19190701 19190731    68.0
19190801 19190831    54.4
19190901 19190930   129.7
19191001 19191031    43.3
19191101 19191130    47.5
19191201 19191231   151.5
19200101 19200131     7.9
19200201 19200229     4.3
19200301 19200331    30.7
19200401 19200430    58.4
19200501 19200531    95.8
19200601 19200630   191.9
19200701 19200731   179.3
19200801 19200831   183.4
19200901 19200930   146.1
19201001 19201031   164.6
19201101 19201130    93.4
19201201 19201231    46.5
19210101 19210131    82.0
19210201 19210228    80.3
19210301 19210331   147.3
19210401 19210430    35.2
19210501 19210531   157.0
19210601 19210630   142.1
19210701 19210731   105.2
19210801 19210831   189.3
19210901 19210930   348.9
19211001 19211031   102.8
19211101 19211130    61.3
19211201 19211231    46.1
19220101 19220131    10.9
19220201 19220228    67.5
19220301 19220331     0.5
19220401 19220430    57.9
19220501 19220531   101.0
19220601 19220630   145.2
19220701 19220731   115.4
19220801 19220831   122.1
19220901 19220930   183.8
19221001 19221031   143.7
19221101 19221130    26.8
19221201 19221231    85.8
19230101 19230131    26.3
19230201 19230228     3.5
19230301 19230331     7.9
19230401 19230430     0.5
19230501 19230531   181.3
19230601 19230630   254.2
19230701 19230731   249.0
19230801 19230831   122.8
19230901 19230930   144.5
19231001 19231031   161.3
19231101 19231130    91.7
19231201 19231231   174.6
19240101 19240131   124.5
19240201 19240229   191.2
19240301 19240331   164.8
19240401 19240430   116.7
19240501 19240531    89.5
19240601 19240630   122.4
19240701 19240731    55.4
19240801 19240831   238.0
19240901 19240930   150.6
19241001 19241031   189.5
19241101 19241130   233.7
19241201 19241231   101.7
19250101 19250131   277.2
19250201 19250228   170.6
19250301 19250331    61.0
19250401 19250430    21.1
19250501 19250531    59.9
19250601 19250630    83.1
19250701 19250731   118.6
19250801 19250831   116.1
19250901 19250930   177.7
19251001 19251031    31.6
19251101 19251130    63.0
19251201 19251231     3.5
19260101 19260131   116.7
19260201 19260228     4.3
19260301 19260331   163.9
19260401 19260430   185.3
19260501 19260531   125.9
19260601 19260630   150.1
19260701 19260731   124.7
