PRCP       018057 19070101 20170930 missing_value=99999.9 MOUNT WUDINNA                             
19561201 19561231     6.9
19570101 19570131     0.0
19570201 19570228     0.0
19570301 19570331     5.1
19570401 19570430     3.3
19570501 19570531    14.1
19570601 19570630    43.0
19570701 19570731    46.8
19570801 19570831    38.4
19570901 19570930    18.4
19571001 19571031    12.2
19571101 19571130    13.5
19571201 19571231    17.6
19580101 19580131     5.3
19580201 19580228     0.0
19580301 19580331    47.8
19580401 19580430     9.7
19580501 19580531    60.3
19580601 19580630     2.1
19580701 19580731    32.3
19580801 19580831    66.0
19580901 19580930    61.3
19581001 19581031    51.6
19581101 19581130    18.3
19581201 19581231    43.4
19590101 19590131     0.0
19590201 19590228    15.7
19590301 19590331    35.3
19590401 19590430     2.9
19590501 19590531    15.8
19590601 19590630    11.5
19590701 19590731    25.3
19590801 19590831     6.2
19590901 19590930    21.4
19591001 19591031    10.1
19591101 19591130    62.7
19591201 19591231    22.1
19600101 19600131    24.1
19600201 19600229    52.4
19600301 19600331    14.5
19600401 19600430    62.3
19600501 19600531    59.9
19600601 19600630    32.3
19600701 19600731    47.7
19600801 19600831    34.3
19600901 19600930    57.7
19601001 19601031     5.4
19601101 19601130    34.5
19601201 19601231    18.9
19610101 19610131     0.0
19610201 19610228     9.7
19610301 19610331     2.3
19610401 19610430    70.7
19610501 19610531    13.0
19610601 19610630    18.2
19610701 19610731    21.7
19610801 19610831    51.7
19610901 19610930    14.2
19611001 19611031     1.5
19611101 19611130    26.3
19611201 19611231     3.3
19620101 19620131     9.9
19620201 19620228    20.5
19620301 19620331     5.9
19620401 19620430     0.0
19620501 19620531    86.8
19620601 19620630    19.6
19620701 19620731    27.4
19620801 19620831    35.0
19620901 19620930    27.7
19621001 19621031    31.2
19621101 19621130     5.6
19621201 19621231    26.9
19630101 19630131    14.7
19630201 19630228     2.3
19630301 19630331     6.9
19630401 19630430    54.4
19630501 19630531    55.0
19630601 19630630    48.1
19630701 19630731    36.3
19630801 19630831    29.0
19630901 19630930    12.1
19631001 19631031     3.0
19631101 19631130     2.3
19631201 19631231     0.0
19640101 19640131     4.3
19640201 19640229     6.1
19640301 19640331     0.5
19640401 19640430    30.4
19640501 19640531    24.3
19640601 19640630    31.0
19640701 19640731    68.4
19640801 19640831    20.8
19640901 19640930    72.4
19641001 19641031    23.7
19641101 19641130    41.6
19641201 19641231    10.4
19650101 19650131     0.0
19650201 19650228     0.0
19650301 19650331     3.5
19650401 19650430     3.3
19650501 19650531    50.9
19650601 19650630    33.3
19650701 19650731    28.4
19650801 19650831    75.5
19650901 19650930    29.5
19651001 19651031     2.3
19651101 19651130     8.1
19651201 19651231    53.4
19660101 19660131    11.6
19660201 19660228    79.3
19660301 19660331    29.0
19660401 19660430     5.9
19660501 19660531    47.2
19660601 19660630    66.3
19660701 19660731    44.8
19660801 19660831    40.1
19660901 19660930    76.1
19661001 19661031    36.1
19661101 19661130    27.5
19661201 19661231    67.5
19670101 19670131    31.8
19670201 19670228    21.1
19670301 19670331     1.0
19670401 19670430     1.3
19670501 19670531    20.8
19670601 19670630     9.0
19670701 19670731    66.7
19670801 19670831    29.9
19670901 19670930    36.0
19671001 19671031     1.8
19671101 19671130     0.5
19671201 19671231     1.3
19680101 19680131    18.3
19680201 19680229    68.6
19680301 19680331    41.1
19680401 19680430    38.8
19680501 19680531    59.3
19680601 19680630   119.3
19680701 19680731    56.3
19680801 19680831    68.4
19680901 19680930    28.9
19681001 19681031    39.8
19681101 19681130    24.2
19681201 19681231    16.3
19690101 19690131     6.9
19690201 19690228    60.6
19690301 19690331     7.6
19690401 19690430    25.4
19690501 19690531    52.9
19690601 19690630    36.9
19690701 19690731    50.5
19690801 19690831    32.9
19690901 19690930    56.6
19691001 19691031     3.8
19691101 19691130     5.1
19691201 19691231    13.1
19700101 19700131     5.1
19700201 19700228     0.8
19700301 19700331     1.1
19700401 19700430    12.4
19700501 19700531    34.7
19700601 19700630    39.8
19700701 19700731    24.5
19700801 19700831    59.0
19700901 19700930    58.7
19701001 19701031     1.5
19701101 19701130    14.8
19701201 19701231     8.6
19710101 19710131     0.0
19710201 19710228     0.8
19710301 19710331    45.3
19710401 19710430    56.5
19710501 19710531    41.6
19710601 19710630    39.2
19710701 19710731    38.6
19710801 19710831    42.0
19710901 19710930    33.7
19711001 19711031     4.8
19711101 19711130    48.1
19711201 19711231    15.2
19720101 19720131    13.7
19720201 19720229    27.8
19720301 19720331     0.0
19720401 19720430    15.9
19720501 19720531     8.3
19720601 19720630    15.3
19720701 19720731    65.1
19720801 19720831    87.9
19720901 19720930    17.3
19721001 19721031     9.7
19721101 19721130     9.1
19721201 19721231     2.8
19730101 19730131     3.0
19730201 19730228    26.5
19730301 19730331    30.2
19730401 19730430    31.7
19730501 19730531    39.2
19730601 19730630    52.2
19730701 19730731    55.8
19730801 19730831    58.1
19730901 19730930    35.1
19731001 19731031    44.9
19731101 19731130    16.0
19731201 19731231    20.0
19740101 19740131    33.4
19740201 19740228    54.6
19740301 19740331     8.0
19740401 19740430    38.8
19740501 19740531   102.0
19740601 19740630    26.0
19740701 19740731    71.2
19740801 19740831    25.4
19740901 19740930    48.4
19741001 19741031    86.6
19741101 19741130    10.6
19741201 19741231     6.8
19750101 19750131     4.6
19750201 19750228    43.6
19750301 19750331     8.2
19750401 19750430     8.6
19750501 19750531    35.3
19750601 19750630    11.0
19750701 19750731    26.2
19750801 19750831    29.2
19750901 19750930    50.2
19751001 19751031    78.4
19751101 19751130    19.6
19751201 19751231    20.6
19760101 19760131     4.4
19760201 19760229    49.0
19760301 19760331     2.8
19760401 19760430     5.0
19760501 19760531    21.2
19760601 19760630    31.6
19760701 19760731     9.0
19760801 19760831     8.0
19760901 19760930    17.8
19761001 19761031    48.8
19761101 19761130    15.6
19761201 19761231     7.0
19770101 19770131    21.0
19770201 19770228     7.6
19770301 19770331     7.2
19770401 19770430     4.4
19770501 19770531    48.0
19770601 19770630    23.0
19770701 19770731    23.6
19770801 19770831    23.2
19770901 19770930    34.0
19771001 19771031    21.6
19771101 19771130    81.2
19771201 19771231    23.6
19780101 19780131    19.4
19780201 19780228     1.0
19780301 19780331     2.0
19780401 19780430     9.6
19780501 19780531    31.4
19780601 19780630    78.0
19780701 19780731    58.2
19780801 19780831    67.6
19780901 19780930   106.8
19781001 19781031    16.2
19781101 19781130    22.4
19781201 19781231     7.2
19790101 19790131     2.0
19790201 19790228     1.2
19790301 19790331     5.2
19790401 19790430    14.6
19790501 19790531    73.4
19790601 19790630     5.4
19790701 19790731    54.8
19790801 19790831    47.2
19790901 19790930   117.0
19791001 19791031    19.2
19791101 19791130    54.2
19791201 19791231    16.4
19800101 19800131     2.2
19800201 19800229     1.0
19800301 19800331     1.4
19800401 19800430    26.0
19800501 19800531    47.6
19800601 19800630    43.8
19800701 19800731    51.8
19800801 19800831     6.6
19800901 19800930    10.6
19801001 19801031    49.2
19801101 19801130    27.0
19801201 19801231     8.0
19810101 19810131    28.6
19810201 19810228    14.8
19810301 19810331    41.4
19810401 19810430     0.2
19810501 19810531    38.6
19810601 19810630   109.6
19810701 19810731    27.8
19810801 19810831    64.2
19810901 19810930     5.4
19811001 19811031    11.8
19811101 19811130    15.8
19811201 19811231     4.6
19820101 19820131     9.0
19820201 19820228     4.6
19820301 19820331    49.0
19820401 19820430    14.6
19820501 19820531    20.2
19820601 19820630    44.4
19820701 19820731    11.2
19820801 19820831    10.0
19820901 19820930    16.6
19821001 19821031     9.0
19821101 19821130     0.0
19821201 19821231    39.2
19830101 19830131     1.8
19830201 19830228     9.0
19830301 19830331    40.2
19830401 19830430    97.8
19830501 19830531    39.6
19830601 19830630    10.6
19830701 19830731    67.8
19830801 19830831    31.2
19830901 19830930    23.6
19831001 19831031    14.4
