PRCP       007057 18941101 20101130 missing_value=99999.9 MOUNT MAGNET                              
19360401 19360430     3.8
19360501 19360531     2.3
19360601 19360630    33.5
19360701 19360731     8.1
19360801 19360831     9.9
19360901 19360930     2.0
19361001 19361031     1.0
19361101 19361130    15.0
19361201 19361231    27.9
19370101 19370131    61.5
19370201 19370228     2.8
19370301 19370331    42.7
19370401 19370430    15.7
19370501 19370531    21.3
19370601 19370630    15.0
19370701 19370731     5.1
19370801 19370831    25.3
19370901 19370930     3.3
19371001 19371031    16.7
19371101 19371130     3.3
19371201 19371231    13.7
19380101 19380131    10.1
19380201 19380228     0.5
19380301 19380331     6.1
19380401 19380430    15.8
19380501 19380531    10.4
19380601 19380630    19.6
19380701 19380731    48.1
19380801 19380831    11.9
19380901 19380930     2.0
19381001 19381031     0.0
19381101 19381130     7.9
19381201 19381231    17.6
19390101 19390131    15.5
19390201 19390228    18.5
19390301 19390331     9.6
19390401 19390430    20.5
19390501 19390531    19.6
19390601 19390630    28.9
19390701 19390731    25.0
19390801 19390831    22.5
19390901 19390930     0.0
19391001 19391031    15.2
19391101 19391130    16.7
19391201 19391231     0.0
19400101 19400131     3.8
19400201 19400229     0.0
19400301 19400331     0.5
19400401 19400430     3.0
19400501 19400531    11.6
19400601 19400630     7.2
19400701 19400731    31.7
19400801 19400831    14.5
19400901 19400930     4.1
19401001 19401031     3.3
19401101 19401130     2.3
19401201 19401231     0.3
19410101 19410131     0.0
19410201 19410228    11.2
19410301 19410331     0.3
19410401 19410430    28.6
19410501 19410531    11.8
19410601 19410630    30.6
19410701 19410731    19.7
19410801 19410831    78.6
19410901 19410930     3.0
19411001 19411031     5.0
19411101 19411130    14.6
19411201 19411231    44.4
19420101 19420131    59.9
19420201 19420228    81.6
19420301 19420331   101.5
19420401 19420430    54.2
19420501 19420531    41.4
19420601 19420630    56.2
19420701 19420731    29.2
19420801 19420831    11.3
19420901 19420930     2.8
19421001 19421031     1.0
19421101 19421130     0.0
19421201 19421231    33.4
19430101 19430131     0.0
19430201 19430228     8.0
19430301 19430331    45.1
19430401 19430430    32.9
19430501 19430531    14.0
19430601 19430630    21.2
