PRCP       024521 18851101 20180131 missing_value=99999.9 MURRAY BRIDGE                             
19261101 19261130     9.2
19261201 19261231    21.9
19270101 19270131    10.4
19270201 19270228    15.2
19270301 19270331     8.9
19270401 19270430     3.5
19270501 19270531    23.0
19270601 19270630     8.6
19270701 19270731    31.3
19270801 19270831    51.8
19270901 19270930    20.2
19271001 19271031    13.0
19271101 19271130    58.6
19271201 19271231    11.5
19280101 19280131    21.9
19280201 19280229    60.9
19280301 19280331    50.1
19280401 19280430    15.1
19280501 19280531    30.3
19280601 19280630    46.3
19280701 19280731    23.0
19280801 19280831    13.0
19280901 19280930    34.1
19281001 19281031    34.6
19281101 19281130     0.5
19281201 19281231     5.9
19290101 19290131     6.9
19290201 19290228     2.0
19290301 19290331     5.1
19290401 19290430     7.1
19290501 19290531    18.2
19290601 19290630    25.2
19290701 19290731    22.2
19290801 19290831    19.4
19290901 19290930    39.2
19291001 19291031     8.7
19291101 19291130    19.3
19291201 19291231    94.6
19300101 19300131     0.0
19300201 19300228    15.0
19300301 19300331     0.0
19300401 19300430    13.0
19300501 19300531     8.9
19300601 19300630    15.3
19300701 19300731    55.5
19300801 19300831    48.7
19300901 19300930    25.1
19301001 19301031    61.2
19301101 19301130     6.9
19301201 19301231     3.0
19310101 19310131    18.3
19310201 19310228     5.1
19310301 19310331    17.8
19310401 19310430    17.6
19310501 19310531    36.1
19310601 19310630    32.7
19310701 19310731    32.9
19310801 19310831    20.6
19310901 19310930    31.6
19311001 19311031    22.9
19311101 19311130    13.9
19311201 19311231     2.5
19320101 19320131     1.8
19320201 19320229    35.7
19320301 19320331    16.1
19320401 19320430    30.5
19320501 19320531    27.3
19320601 19320630    83.3
19320701 19320731    39.4
19320801 19320831    59.2
19320901 19320930    50.9
19321001 19321031    50.6
19321101 19321130     0.8
19321201 19321231     9.2
19330101 19330131    27.1
19330201 19330228     0.0
19330301 19330331    20.5
19330401 19330430     8.7
19330501 19330531    46.5
19330601 19330630    19.7
19330701 19330731    22.6
19330801 19330831    36.8
19330901 19330930    25.4
19331001 19331031     6.6
19331101 19331130    17.5
19331201 19331231     8.5
19340101 19340131     4.8
19340201 19340228     5.6
19340301 19340331     8.6
19340401 19340430    24.7
19340501 19340531     1.6
19340601 19340630    24.6
19340701 19340731    21.7
19340801 19340831    54.6
19340901 19340930    45.5
19341001 19341031    45.6
19341101 19341130    42.1
19341201 19341231    12.0
19350101 19350131    13.5
19350201 19350228     4.6
19350301 19350331    21.2
19350401 19350430    36.7
19350501 19350531    16.9
19350601 19350630    34.3
19350701 19350731    33.5
19350801 19350831    36.9
19350901 19350930    46.2
19351001 19351031    42.5
19351101 19351130    18.1
19351201 19351231     6.0
19360101 19360131    41.6
19360201 19360229    29.9
19360301 19360331     6.3
19360401 19360430    38.9
19360501 19360531    59.2
19360601 19360630    26.9
19360701 19360731    55.4
19360801 19360831    20.4
19360901 19360930    14.4
19361001 19361031    20.3
19361101 19361130     4.9
19361201 19361231    51.6
19370101 19370131    36.6
19370201 19370228     2.6
19370301 19370331     3.6
19370401 19370430    10.5
19370501 19370531    28.8
19370601 19370630    33.5
19370701 19370731    18.3
19370801 19370831    41.3
19370901 19370930    16.5
19371001 19371031    20.0
19371101 19371130    16.3
19371201 19371231    68.9
19380101 19380131    10.7
19380201 19380228    19.8
19380301 19380331     7.9
19380401 19380430    46.0
19380501 19380531     5.6
19380601 19380630    32.2
19380701 19380731    38.5
19380801 19380831    31.5
19380901 19380930     2.3
19381001 19381031     8.1
19381101 19381130     5.9
19381201 19381231     2.6
19390101 19390131    26.3
19390201 19390228    61.2
19390301 19390331     0.0
19390401 19390430    39.2
19390501 19390531    20.0
19390601 19390630    46.5
19390701 19390731    23.7
19390801 19390831    40.6
19390901 19390930     7.5
19391001 19391031    18.7
19391101 19391130    69.1
19391201 19391231     1.5
19400101 19400131     9.8
19400201 19400229     6.6
19400301 19400331    13.7
19400401 19400430    40.4
19400501 19400531    15.0
19400601 19400630     8.8
19400701 19400731    24.7
19400801 19400831    12.2
19400901 19400930    29.6
19401001 19401031    15.0
19401101 19401130    22.3
19401201 19401231    30.3
19410101 19410131   189.6
19410201 19410228     9.5
19410301 19410331    32.7
19410401 19410430    35.1
19410501 19410531    17.9
19410601 19410630    40.0
19410701 19410731    50.4
19410801 19410831    19.9
19410901 19410930    46.1
19411001 19411031    37.2
19411101 19411130    19.0
19411201 19411231    16.8
19420101 19420131    17.3
19420201 19420228     7.7
19420301 19420331     3.4
19420401 19420430    67.7
