PRCP       041082 18861201 20171231 missing_value=99999.9 PITTSWORTH YANDILLA STREET                
19290101 19290131    86.4
19290201 19290228   190.8
19290301 19290331   114.1
19290401 19290430    75.0
19290501 19290531     1.0
19290601 19290630    30.8
19290701 19290731    17.1
19290801 19290831    22.6
19290901 19290930     7.5
19291001 19291031    48.5
19291101 19291130    58.7
19291201 19291231    66.6
19300101 19300131    64.8
19300201 19300228    28.2
19300301 19300331    50.0
19300401 19300430    76.7
19300501 19300531    52.6
19300601 19300630    73.9
19300701 19300731    77.0
19300801 19300831    43.1
19300901 19300930    23.3
19301001 19301031    33.3
19301101 19301130    30.8
19301201 19301231    43.7
19310101 19310131    57.6
19310201 19310228    87.1
19310301 19310331    49.8
19310401 19310430    47.3
19310501 19310531    72.8
19310601 19310630    46.8
19310701 19310731    38.3
19310801 19310831     9.1
19310901 19310930    39.8
19311001 19311031    39.9
19311101 19311130   113.0
19311201 19311231   102.0
19320101 19320131    10.4
19320201 19320229     5.3
19320301 19320331    11.2
19320401 19320430   117.9
19320501 19320531    17.1
19320601 19320630    23.1
19320701 19320731    39.1
19320801 19320831     8.1
19320901 19320930    36.1
19321001 19321031    82.4
19321101 19321130   100.6
19321201 19321231   124.9
19330101 19330131   149.1
19330201 19330228    46.3
19330301 19330331     0.0
19330401 19330430   130.9
19330501 19330531     6.9
19330601 19330630    30.3
19330701 19330731    68.9
19330801 19330831    30.6
19330901 19330930    67.1
19331001 19331031    61.0
19331101 19331130   170.9
19331201 19331231    75.7
19340101 19340131    78.2
19340201 19340228    92.5
19340301 19340331     0.0
19340401 19340430   128.2
19340501 19340531    30.5
19340601 19340630    21.1
19340701 19340731    70.1
19340801 19340831    17.1
19340901 19340930    19.8
19341001 19341031    58.0
19341101 19341130    87.9
19341201 19341231   222.5
19350101 19350131   128.8
19350201 19350228    19.7
19350301 19350331    18.8
19350401 19350430    15.2
19350501 19350531    34.8
19350601 19350630    15.2
19350701 19350731    35.0
19350801 19350831    20.8
19350901 19350930    66.8
19351001 19351031   113.5
19351101 19351130     4.9
19351201 19351231    59.6
19360101 19360131   102.7
19360201 19360229    21.1
19360301 19360331    47.1
19360401 19360430     5.4
19360501 19360531    27.2
19360601 19360630    47.1
19360701 19360731    49.8
19360801 19360831     7.4
19360901 19360930    36.6
19361001 19361031    10.7
19361101 19361130    29.3
19361201 19361231   163.1
19370101 19370131    50.1
19370201 19370228    11.7
19370301 19370331   120.2
19370401 19370430    24.3
19370501 19370531     2.0
19370601 19370630    24.9
19370701 19370731    17.1
19370801 19370831    42.4
19370901 19370930    23.6
19371001 19371031    55.5
19371101 19371130    97.0
19371201 19371231   101.3
19380101 19380131   147.1
19380201 19380228    22.5
19380301 19380331    74.0
19380401 19380430     5.8
19380501 19380531    77.6
19380601 19380630    25.0
19380701 19380731    37.7
19380801 19380831    32.5
19380901 19380930    11.8
19381001 19381031    67.1
19381101 19381130    77.2
19381201 19381231    12.7
19390101 19390131    99.4
19390201 19390228    23.5
19390301 19390331   122.1
19390401 19390430    46.8
19390501 19390531     4.6
19390601 19390630    75.5
19390701 19390731    45.8
19390801 19390831    26.1
19390901 19390930     5.8
19391001 19391031    33.4
19391101 19391130    94.2
19391201 19391231   126.9
19400101 19400131    97.8
19400201 19400229   145.9
19400301 19400331   108.5
19400401 19400430     6.7
19400501 19400531    67.1
19400601 19400630    33.6
19400701 19400731     4.8
19400801 19400831     1.1
19400901 19400930    29.2
19401001 19401031    14.8
