PRCP       061071 18890501 20180131 missing_value=99999.9 STROUD POST OFFICE                        
19230801 19230831    95.4
19230901 19230930    45.6
19231001 19231031    28.0
19231101 19231130    42.9
19231201 19231231   104.0
19240101 19240131   115.1
19240201 19240229    83.1
19240301 19240331    46.3
19240401 19240430   156.0
19240501 19240531    52.0
19240601 19240630    52.9
19240701 19240731    74.7
19240801 19240831    48.5
19240901 19240930    77.7
19241001 19241031    27.2
19241101 19241130   150.2
19241201 19241231   162.8
19250101 19250131   172.7
19250201 19250228    81.9
19250301 19250331    81.7
19250401 19250430    35.7
19250501 19250531   169.1
19250601 19250630   133.0
19250701 19250731    18.1
19250801 19250831   103.2
19250901 19250930    32.5
19251001 19251031    36.5
19251101 19251130    65.0
19251201 19251231    61.2
19260101 19260131    66.6
19260201 19260228    11.0
19260301 19260331   225.8
19260401 19260430   127.7
19260501 19260531   155.1
19260601 19260630    61.9
19260701 19260731   138.2
19260801 19260831    29.9
19260901 19260930    31.8
19261001 19261031    16.9
19261101 19261130     5.9
19261201 19261231   214.6
19270101 19270131   139.7
19270201 19270228    88.3
19270301 19270331   191.5
19270401 19270430   537.8
19270501 19270531   122.7
19270601 19270630    41.5
19270701 19270731     5.8
19270801 19270831     1.8
19270901 19270930    42.3
19271001 19271031    32.3
19271101 19271130   172.6
19271201 19271231   160.5
19280101 19280131   101.1
19280201 19280229   230.0
19280301 19280331   167.0
19280401 19280430   104.6
19280501 19280531    56.0
19280601 19280630   262.0
19280701 19280731   103.4
19280801 19280831    19.6
19280901 19280930     0.0
19281001 19281031    33.4
19281101 19281130    36.1
19281201 19281231    31.5
19290101 19290131    27.8
19290201 19290228   442.6
19290301 19290331    63.2
19290401 19290430    71.9
19290501 19290531    33.1
19290601 19290630    35.3
19290701 19290731   111.3
19290801 19290831    63.8
19290901 19290930   141.9
19291001 19291031   259.9
19291101 19291130    87.4
19291201 19291231    14.4
19300101 19300131    60.9
19300201 19300228   131.6
19300301 19300331   263.4
19300401 19300430   129.7
19300501 19300531    78.0
19300601 19300630   328.5
19300701 19300731    26.3
19300801 19300831    14.6
19300901 19300930     3.8
19301001 19301031    82.9
19301101 19301130    32.4
19301201 19301231   207.4
19310101 19310131    64.0
19310201 19310228    50.1
19310301 19310331   156.4
19310401 19310430   430.5
19310501 19310531    92.1
19310601 19310630    39.9
19310701 19310731    84.5
19310801 19310831    17.4
19310901 19310930    44.8
19311001 19311031    26.9
19311101 19311130    64.2
19311201 19311231   167.3
19320101 19320131    18.9
19320201 19320229    78.7
19320301 19320331   102.6
19320401 19320430    67.5
19320501 19320531   128.8
19320601 19320630    53.7
19320701 19320731   167.8
19320801 19320831    56.7
19320901 19320930   245.0
19321001 19321031    29.8
19321101 19321130    86.5
19321201 19321231    59.7
19330101 19330131    75.5
19330201 19330228    21.7
19330301 19330331    61.4
19330401 19330430   107.7
19330501 19330531    60.7
19330601 19330630    57.0
19330701 19330731   210.6
19330801 19330831    10.4
19330901 19330930   129.2
19331001 19331031   133.5
19331101 19331130   104.9
19331201 19331231   106.7
19340101 19340131    67.1
19340201 19340228   185.3
19340301 19340331    37.6
19340401 19340430   125.2
19340501 19340531   120.2
19340601 19340630    35.8
19340701 19340731   111.1
19340801 19340831   121.2
19340901 19340930   114.9
19341001 19341031    50.3
19341101 19341130    92.6
19341201 19341231   107.8
19350101 19350131    90.8
19350201 19350228    84.8
19350301 19350331   101.7
19350401 19350430    27.7
19350501 19350531    19.8
19350601 19350630    25.3
19350701 19350731    46.5
19350801 19350831    12.4
19350901 19350930    83.8
19351001 19351031    55.0
19351101 19351130    17.9
19351201 19351231   102.1
19360101 19360131   137.7
19360201 19360229   106.7
19360301 19360331   153.4
19360401 19360430   111.5
19360501 19360531    61.5
19360601 19360630    57.3
19360701 19360731    28.1
19360801 19360831    32.5
19360901 19360930    36.9
19361001 19361031     8.9
19361101 19361130    12.0
19361201 19361231   144.8
19370101 19370131   108.4
19370201 19370228    49.9
19370301 19370331   122.8
19370401 19370430    75.2
19370501 19370531    14.3
19370601 19370630   228.7
19370701 19370731    83.6
19370801 19370831    56.1
19370901 19370930    14.3
19371001 19371031   104.2
19371101 19371130   165.3
19371201 19371231    92.2
19380101 19380131   177.8
19380201 19380228   115.8
19380301 19380331    44.7
19380401 19380430   100.7
19380501 19380531    87.7
19380601 19380630    53.3
19380701 19380731    42.0
19380801 19380831    93.5
19380901 19380930    82.5
19381001 19381031    50.8
19381101 19381130   115.9
19381201 19381231    25.4
19390101 19390131   120.3
19390201 19390228     0.0
19390301 19390331   476.3
19390401 19390430   104.9
19390501 19390531    64.8
19390601 19390630     9.6
19390701 19390731    46.2
19390801 19390831    44.6
19390901 19390930    90.4
19391001 19391031   198.6
