PRCP       041079 19100101 20080430 missing_value=99999.9 PASSCHENDAELE                             
19551201 19551231   113.0
19560101 19560131   218.4
19560201 19560229   181.0
19560301 19560331    48.5
19560401 19560430    70.7
19560501 19560531   102.2
19560601 19560630   106.3
19560701 19560731    74.0
19560801 19560831    10.9
19560901 19560930    30.1
19561001 19561031    90.8
19561101 19561130    57.3
19561201 19561231   144.8
19570101 19570131    72.4
19570201 19570228    37.5
19570301 19570331    46.9
19570401 19570430    25.0
19570501 19570531     1.0
19570601 19570630    42.5
19570701 19570731    57.4
19570801 19570831    33.8
19570901 19570930    10.7
19571001 19571031    42.3
19571101 19571130    32.5
19571201 19571231    31.0
19580101 19580131    84.7
19580201 19580228    68.8
19580301 19580331    71.3
19580401 19580430    18.6
19580501 19580531    10.0
19580601 19580630    73.2
19580701 19580731    23.6
19580801 19580831    58.9
19580901 19580930    94.8
19581001 19581031    61.7
19581101 19581130    28.2
19581201 19581231   172.7
19590101 19590131   197.8
19590201 19590228    95.2
19590301 19590331   169.3
19590401 19590430    32.0
19590501 19590531    63.5
19590601 19590630     5.0
19590701 19590731    85.2
19590801 19590831     5.2
19590901 19590930    40.1
19591001 19591031   116.1
19591101 19591130   156.0
19591201 19591231   196.3
19600101 19600131    52.9
19600201 19600229    86.5
19600301 19600331    27.8
19600401 19600430    30.0
19600501 19600531    54.1
19600601 19600630    55.8
19600701 19600731    68.1
19600801 19600831    47.3
19600901 19600930    31.7
19601001 19601031    55.5
19601101 19601130    64.6
19601201 19601231    85.7
19610101 19610131    54.8
19610201 19610228   102.1
19610301 19610331    35.4
19610401 19610430    14.9
19610501 19610531    25.3
19610601 19610630    35.9
19610701 19610731    88.9
19610801 19610831    62.8
19610901 19610930    21.7
19611001 19611031    55.9
19611101 19611130   127.6
19611201 19611231   186.2
19620101 19620131   101.6
19620201 19620228    16.5
19620301 19620331   160.4
19620401 19620430    71.8
19620501 19620531    28.7
19620601 19620630     6.6
19620701 19620731    81.8
19620801 19620831    53.4
19620901 19620930    46.6
19621001 19621031    49.5
19621101 19621130    49.8
19621201 19621231   152.2
19630101 19630131    52.6
19630201 19630228    60.9
19630301 19630331   126.7
19630401 19630430    41.7
19630501 19630531   101.9
19630601 19630630    44.0
19630701 19630731     5.8
19630801 19630831    61.3
19630901 19630930    13.2
19631001 19631031    35.5
19631101 19631130    95.1
19631201 19631231   112.4
19640101 19640131    77.5
19640201 19640229    67.2
19640301 19640331    92.7
19640401 19640430    82.5
19640501 19640531    65.2
19640601 19640630    33.5
19640701 19640731    54.3
19640801 19640831    13.5
19640901 19640930    58.4
19641001 19641031   116.5
19641101 19641130    51.8
19641201 19641231    48.9
19650101 19650131    21.9
19650201 19650228    21.3
19650301 19650331     0.0
19650401 19650430    13.6
19650501 19650531     6.3
19650601 19650630    60.0
19650701 19650731   112.7
19650801 19650831    23.2
19650901 19650930    55.7
19651001 19651031    32.8
19651101 19651130    41.4
19651201 19651231   187.2
19660101 19660131    48.3
19660201 19660228   116.5
19660301 19660331    61.5
19660401 19660430    29.7
19660501 19660531     3.3
19660601 19660630    49.6
19660701 19660731     5.6
19660801 19660831   146.4
19660901 19660930    43.6
19661001 19661031    39.0
19661101 19661130    59.7
19661201 19661231   105.0
19670101 19670131    92.9
19670201 19670228    70.1
19670301 19670331   146.5
19670401 19670430    18.8
19670501 19670531    64.8
19670601 19670630    74.5
19670701 19670731    41.5
19670801 19670831    28.5
19670901 19670930    15.0
19671001 19671031    92.5
19671101 19671130    58.7
19671201 19671231    43.6
19680101 19680131   189.4
19680201 19680229    40.8
19680301 19680331    73.9
19680401 19680430    83.3
19680501 19680531    85.5
19680601 19680630    28.7
19680701 19680731   125.2
19680801 19680831   110.3
19680901 19680930    34.8
19681001 19681031    60.2
19681101 19681130    33.1
19681201 19681231    75.7
19690101 19690131   137.5
19690201 19690228    42.2
