PRCP       007053 19070101 20121231 missing_value=99999.9 MOUNT AUGUSTUS                            
19530801 19530831     5.6
19530901 19530930     0.0
19531001 19531031     3.8
19531101 19531130     0.0
19531201 19531231     3.3
19540101 19540131    38.2
19540201 19540228     0.0
19540301 19540331     0.0
19540401 19540430    13.5
19540501 19540531    30.7
19540601 19540630    61.0
19540701 19540731     2.8
19540801 19540831    10.4
19540901 19540930     0.8
19541001 19541031     2.8
19541101 19541130     4.8
19541201 19541231     8.1
19550101 19550131    27.9
19550201 19550228    58.6
19550301 19550331     0.0
19550401 19550430    19.0
19550501 19550531    34.3
19550601 19550630    34.6
19550701 19550731     1.6
19550801 19550831    15.8
19550901 19550930     3.3
19551001 19551031     0.0
19551101 19551130     0.0
19551201 19551231     2.5
19560101 19560131     0.0
19560201 19560229    11.4
19560301 19560331     0.0
19560401 19560430     0.5
19560501 19560531     4.6
19560601 19560630    36.6
19560701 19560731    19.1
19560801 19560831     9.2
19560901 19560930     1.0
19561001 19561031     0.0
19561101 19561130     8.9
19561201 19561231    17.1
19570101 19570131    31.0
19570201 19570228    96.8
19570301 19570331    19.8
19570401 19570430     0.0
19570501 19570531    11.7
19570601 19570630    31.8
19570701 19570731     0.0
19570801 19570831     0.0
19570901 19570930     0.0
19571001 19571031     0.0
19571101 19571130     6.6
19571201 19571231     4.1
19580101 19580131    75.5
19580201 19580228     0.0
19580301 19580331    66.5
19580401 19580430     0.0
19580501 19580531    20.5
19580601 19580630    42.0
19580701 19580731     0.0
19580801 19580831     9.4
19580901 19580930    23.6
19581001 19581031     0.0
19581101 19581130     9.6
19581201 19581231     3.5
19590101 19590131    23.3
19590201 19590228     0.0
19590301 19590331     8.9
19590401 19590430    54.8
19590501 19590531     6.6
19590601 19590630     0.0
19590701 19590731    40.2
19590801 19590831     0.0
19590901 19590930     0.0
19591001 19591031     0.0
19591101 19591130     1.5
19591201 19591231     7.1
19600101 19600131    17.5
19600201 19600229   241.3
19600301 19600331     7.9
19600401 19600430    15.7
19600501 19600531     0.0
19600601 19600630     2.0
19600701 19600731    57.6
19600801 19600831     0.0
19600901 19600930     0.0
19601001 19601031     0.0
19601101 19601130     0.0
19601201 19601231     0.0
19610101 19610131    93.5
19610201 19610228   210.8
19610301 19610331     0.0
19610401 19610430    63.5
19610501 19610531    14.2
19610601 19610630     0.0
19610701 19610731     0.0
19610801 19610831     0.0
19610901 19610930     0.0
19611001 19611031     0.0
19611101 19611130     0.0
19611201 19611231     0.0
19620101 19620131    58.4
19620201 19620228   135.6
19620301 19620331     0.0
19620401 19620430     0.0
19620501 19620531    27.9
19620601 19620630     0.0
19620701 19620731     5.6
19620801 19620831     0.0
19620901 19620930     0.0
19621001 19621031     0.0
19621101 19621130    11.4
19621201 19621231     1.0
19630101 19630131    99.0
19630201 19630228   237.0
19630301 19630331     1.3
19630401 19630430    12.7
19630501 19630531    43.5
19630601 19630630     8.9
19630701 19630731    10.2
19630801 19630831     0.0
19630901 19630930     0.0
19631001 19631031     0.0
19631101 19631130     0.0
19631201 19631231     0.0
19640101 19640131     7.1
19640201 19640229     0.0
19640301 19640331    10.1
19640401 19640430    42.0
19640501 19640531     0.0
19640601 19640630    32.0
19640701 19640731     0.0
19640801 19640831     0.0
19640901 19640930     0.0
19641001 19641031     0.0
19641101 19641130     0.0
19641201 19641231     0.0
19650101 19650131    37.0
19650201 19650228    20.4
19650301 19650331    64.5
19650401 19650430     0.0
19650501 19650531     4.5
19650601 19650630    88.6
19650701 19650731     0.0
19650801 19650831    86.1
19650901 19650930     0.0
19651001 19651031     0.0
19651101 19651130     2.5
19651201 19651231     0.0
19660101 19660131     0.0
19660201 19660228    23.7
19660301 19660331    36.8
19660401 19660430     0.0
19660501 19660531     0.0
19660601 19660630    28.7
19660701 19660731     1.3
19660801 19660831     0.0
19660901 19660930     0.0
19661001 19661031     0.0
19661101 19661130     4.3
19661201 19661231     0.0
19670101 19670131    21.3
19670201 19670228    67.8
19670301 19670331     0.0
19670401 19670430     0.0
19670501 19670531    21.8
19670601 19670630     0.0
19670701 19670731     1.8
19670801 19670831    14.7
19670901 19670930     0.0
19671001 19671031     0.0
19671101 19671130     1.3
19671201 19671231    23.1
19680101 19680131     0.0
19680201 19680229    63.6
19680301 19680331    47.7
19680401 19680430    22.6
19680501 19680531     4.3
19680601 19680630    86.2
19680701 19680731     9.7
19680801 19680831     3.6
19680901 19680930    13.8
19681001 19681031     0.0
19681101 19681130     0.0
19681201 19681231     0.0
19690101 19690131     7.2
19690201 19690228    48.5
19690301 19690331     0.0
19690401 19690430     0.0
19690501 19690531    90.2
19690601 19690630    30.5
19690701 19690731     0.0
19690801 19690831     0.0
19690901 19690930     1.0
19691001 19691031     0.0
19691101 19691130     1.3
19691201 19691231     0.0
19700101 19700131     0.0
19700201 19700228     8.6
19700301 19700331     0.0
19700401 19700430    26.9
19700501 19700531   102.7
19700601 19700630     5.1
19700701 19700731     2.0
19700801 19700831     0.0
19700901 19700930    15.7
19701001 19701031     0.0
19701101 19701130     0.0
19701201 19701231     3.6
19710101 19710131    31.7
19710201 19710228    59.4
19710301 19710331    38.1
19710401 19710430     0.0
19710501 19710531     9.9
19710601 19710630    66.8
19710701 19710731    15.0
19710801 19710831     3.8
19710901 19710930     0.0
19711001 19711031     0.0
19711101 19711130     0.0
19711201 19711231     3.6
19720101 19720131     5.8
19720201 19720229    58.2
19720301 19720331    14.2
19720401 19720430     0.0
19720501 19720531     8.9
19720601 19720630    12.0
19720701 19720731    39.8
19720801 19720831     2.5
19720901 19720930     0.0
19721001 19721031     0.0
19721101 19721130    12.2
19721201 19721231     2.8
19730101 19730131     0.0
19730201 19730228     4.8
19730301 19730331    62.7
19730401 19730430    67.8
19730501 19730531    46.8
19730601 19730630    64.3
19730701 19730731    42.1
19730801 19730831    23.8
19730901 19730930     0.0
19731001 19731031     0.0
19731101 19731130    11.0
19731201 19731231    20.8
19740101 19740131    36.0
19740201 19740228    39.8
19740301 19740331   135.2
19740401 19740430     4.6
19740501 19740531    10.8
19740601 19740630     7.4
19740701 19740731   167.4
19740801 19740831    31.8
19740901 19740930     0.0
19741001 19741031     0.0
19741101 19741130     0.0
19741201 19741231    15.4
19750101 19750131    10.2
19750201 19750228    60.2
19750301 19750331   104.0
19750401 19750430    39.0
19750501 19750531     7.4
19750601 19750630     9.0
19750701 19750731    28.0
19750801 19750831     2.2
19750901 19750930     0.0
19751001 19751031    35.4
19751101 19751130    34.8
19751201 19751231    10.2
19760101 19760131    54.2
19760201 19760229     4.4
19760301 19760331    27.0
19760401 19760430     0.0
19760501 19760531     2.0
19760601 19760630     0.0
19760701 19760731     1.0
19760801 19760831    12.0
19760901 19760930     6.0
19761001 19761031     5.2
19761101 19761130     0.0
19761201 19761231     3.2
19770101 19770131    29.8
19770201 19770228     0.1
19770301 19770331     1.1
19770401 19770430    13.2
