PRCP       038024 18910101 20171231 missing_value=99999.9 WINDORAH POST OFFICE                      
19200301 19200331     0.0
19200401 19200430    67.4
19200501 19200531    16.4
19200601 19200630    27.7
19200701 19200731   141.5
19200801 19200831    19.3
19200901 19200930     6.6
19201001 19201031    65.6
19201101 19201130    74.8
19201201 19201231     3.0
19210101 19210131    45.4
19210201 19210228    38.4
19210301 19210331    90.5
19210401 19210430    64.3
19210501 19210531    87.2
19210601 19210630    25.5
19210701 19210731    13.5
19210801 19210831     0.0
19210901 19210930    47.4
19211001 19211031    25.6
19211101 19211130     2.3
19211201 19211231    26.7
19220101 19220131     0.0
19220201 19220228     1.3
19220301 19220331     0.0
19220401 19220430     0.8
19220501 19220531     0.0
19220601 19220630    22.1
19220701 19220731     0.0
19220801 19220831     0.0
19220901 19220930     0.0
19221001 19221031    10.5
19221101 19221130     2.5
19221201 19221231   104.2
19230101 19230131     9.4
19230201 19230228    18.5
19230301 19230331     1.5
19230401 19230430    11.5
19230501 19230531    15.7
19230601 19230630    62.5
19230701 19230731     6.9
19230801 19230831     0.0
19230901 19230930     0.0
19231001 19231031     3.6
19231101 19231130    37.8
19231201 19231231    47.5
19240101 19240131    14.0
19240201 19240229    64.9
19240301 19240331     0.0
19240401 19240430     7.9
19240501 19240531     0.0
19240601 19240630     1.3
19240701 19240731    16.2
19240801 19240831     1.5
19240901 19240930    39.6
19241001 19241031    33.7
19241101 19241130    66.8
19241201 19241231    23.9
19250101 19250131    92.2
19250201 19250228    21.3
19250301 19250331   113.7
19250401 19250430     0.0
19250501 19250531     7.7
19250601 19250630     0.0
19250701 19250731     0.0
19250801 19250831     0.0
19250901 19250930    11.4
19251001 19251031     2.5
19251101 19251130     8.2
19251201 19251231     1.3
19260101 19260131     8.6
19260201 19260228    26.7
19260301 19260331    40.9
19260401 19260430    20.1
19260501 19260531    48.3
19260601 19260630     0.0
19260701 19260731     1.3
19260801 19260831     2.5
19260901 19260930    96.0
19261001 19261031     0.0
19261101 19261130     8.9
19261201 19261231    24.4
19270101 19270131    30.6
19270201 19270228     7.6
19270301 19270331     0.0
19270401 19270430     0.0
19270501 19270531     0.0
19270601 19270630    24.8
19270701 19270731     0.0
19270801 19270831     0.0
19270901 19270930     0.0
19271001 19271031     8.5
19271101 19271130     8.7
19271201 19271231    34.1
19280101 19280131     0.0
19280201 19280229    43.0
19280301 19280331     0.5
19280401 19280430    18.0
19280501 19280531     0.0
19280601 19280630    13.1
19280701 19280731     1.3
19280801 19280831     0.0
19280901 19280930     0.0
19281001 19281031     0.8
19281101 19281130    48.0
19281201 19281231    53.3
19290101 19290131     4.8
19290201 19290228    18.0
19290301 19290331    29.4
19290401 19290430    13.7
19290501 19290531     0.0
19290601 19290630    10.7
19290701 19290731     0.0
19290801 19290831     0.5
19290901 19290930     0.3
19291001 19291031     1.0
19291101 19291130     3.6
19291201 19291231    20.1
19300101 19300131    82.8
19300201 19300228    15.2
19300301 19300331     6.9
19300401 19300430     0.5
19300501 19300531    35.4
19300601 19300630    19.6
19300701 19300731    23.5
19300801 19300831     0.0
19300901 19300930     3.6
19301001 19301031    89.4
19301101 19301130     5.9
19301201 19301231    85.9
19310101 19310131     8.9
19310201 19310228     1.0
19310301 19310331    65.6
19310401 19310430    30.4
19310501 19310531    63.7
19310601 19310630    28.7
19310701 19310731     2.5
19310801 19310831     0.0
19310901 19310930     3.3
19311001 19311031    10.9
19311101 19311130    24.3
19311201 19311231    27.7
19320101 19320131     3.3
19320201 19320229     6.8
19320301 19320331     1.5
19320401 19320430    21.4
19320501 19320531    57.7
19320601 19320630    22.6
19320701 19320731     1.1
19320801 19320831     0.0
19320901 19320930     5.1
19321001 19321031     1.0
19321101 19321130     5.6
19321201 19321231     1.8
19330101 19330131    11.9
19330201 19330228    77.0
19330301 19330331     9.4
19330401 19330430     0.0
19330501 19330531    13.8
19330601 19330630    27.0
19330701 19330731     2.6
19330801 19330831    13.7
19330901 19330930    53.6
19331001 19331031    11.0
19331101 19331130    40.6
19331201 19331231     4.9
19340101 19340131     7.7
19340201 19340228    17.0
19340301 19340331     0.0
19340401 19340430     2.8
19340501 19340531     1.1
19340601 19340630    16.0
19340701 19340731    31.2
19340801 19340831    19.1
19340901 19340930     0.0
19341001 19341031    13.0
19341101 19341130    36.1
19341201 19341231     0.5
19350101 19350131     2.1
19350201 19350228     0.0
19350301 19350331     0.0
19350401 19350430     5.3
19350501 19350531     0.0
19350601 19350630    74.3
19350701 19350731    33.8
19350801 19350831    13.2
19350901 19350930    23.1
19351001 19351031    16.7
19351101 19351130     0.8
19351201 19351231    37.6
19360101 19360131    17.5
19360201 19360229    48.8
19360301 19360331    72.4
19360401 19360430     2.0
19360501 19360531    19.2
19360601 19360630    29.5
19360701 19360731     2.6
19360801 19360831     7.1
19360901 19360930    17.8
19361001 19361031     0.0
19361101 19361130    15.8
19361201 19361231    15.2
19370101 19370131    23.3
19370201 19370228    28.8
19370301 19370331    15.2
19370401 19370430     1.3
19370501 19370531     0.0
19370601 19370630     2.6
19370701 19370731     0.5
19370801 19370831    14.0
19370901 19370930     2.3
19371001 19371031     0.8
19371101 19371130     6.6
19371201 19371231     4.6
19380101 19380131    12.4
19380201 19380228    20.9
19380301 19380331     2.3
19380401 19380430     0.0
19380501 19380531     2.8
19380601 19380630    10.4
19380701 19380731    13.5
19380801 19380831     1.8
19380901 19380930     0.0
19381001 19381031     5.1
19381101 19381130     6.7
19381201 19381231     0.0
19390101 19390131    66.6
19390201 19390228    88.8
19390301 19390331     0.0
19390401 19390430    44.4
19390501 19390531     0.5
19390601 19390630     7.9
19390701 19390731    43.8
19390801 19390831     5.4
19390901 19390930     0.0
19391001 19391031    71.4
19391101 19391130    28.7
19391201 19391231    10.5
19400101 19400131    69.4
19400201 19400229   112.4
19400301 19400331     2.0
19400401 19400430     2.5
19400501 19400531     4.8
19400601 19400630     2.0
19400701 19400731     0.0
19400801 19400831     3.0
19400901 19400930     0.0
19401001 19401031     1.5
19401101 19401130     0.0
19401201 19401231    11.7
19410101 19410131   227.9
19410201 19410228     0.0
19410301 19410331    72.6
19410401 19410430     2.6
19410501 19410531     0.3
19410601 19410630    16.5
19410701 19410731     0.0
19410801 19410831     0.0
19410901 19410930     0.0
19411001 19411031     7.6
19411101 19411130    47.1
19411201 19411231    12.2
19420101 19420131     2.3
19420201 19420228    11.4
19420301 19420331     0.0
19420401 19420430    46.5
19420501 19420531    19.5
19420601 19420630     5.8
19420701 19420731    10.4
19420801 19420831     0.0
19420901 19420930     2.5
19421001 19421031    41.5
19421101 19421130     1.9
19421201 19421231    33.0
19430101 19430131     0.8
19430201 19430228    66.1
19430301 19430331     6.9
19430401 19430430    12.4
19430501 19430531     0.3
19430601 19430630     8.6
19430701 19430731     4.8
19430801 19430831    20.9
19430901 19430930    59.7
19431001 19431031    15.2
19431101 19431130    22.2
19431201 19431231     4.3
19440101 19440131    13.8
19440201 19440229   283.6
19440301 19440331     0.5
19440401 19440430     0.0
19440501 19440531     7.1
19440601 19440630     3.6
19440701 19440731    21.3
19440801 19440831    11.6
19440901 19440930     2.5
19441001 19441031     3.0
19441101 19441130     4.5
19441201 19441231    39.4
19450101 19450131     0.0
19450201 19450228    38.3
19450301 19450331     4.1
19450401 19450430     1.0
19450501 19450531    25.6
19450601 19450630     0.0
19450701 19450731    47.2
19450801 19450831     3.6
19450901 19450930     0.0
19451001 19451031    18.0
19451101 19451130     0.0
19451201 19451231    10.9
19460101 19460131    68.6
19460201 19460228     4.6
19460301 19460331     3.0
19460401 19460430     0.0
19460501 19460531     0.0
19460601 19460630     0.0
19460701 19460731     0.0
19460801 19460831     0.0
19460901 19460930     2.5
19461001 19461031     0.0
19461101 19461130     4.1
19461201 19461231    22.1
19470101 19470131     9.6
19470201 19470228    71.7
19470301 19470331    38.6
19470401 19470430     0.0
19470501 19470531    11.9
19470601 19470630    31.0
19470701 19470731     1.3
19470801 19470831    51.5
19470901 19470930    55.7
19471001 19471031    17.0
19471101 19471130     6.8
19471201 19471231    32.6
19480101 19480131     2.1
19480201 19480229    69.6
