PRCP       037049 18870101 20171031 missing_value=99999.9 WARRNAMBOOL DOWNS                         
19280301 19280331     5.8
19280401 19280430    16.8
19280501 19280531     0.0
19280601 19280630    11.4
19280701 19280731     6.4
19280801 19280831     0.0
19280901 19280930     0.0
19281001 19281031     0.0
19281101 19281130    21.8
19281201 19281231    94.0
19290101 19290131    63.2
19290201 19290228     8.1
19290301 19290331    73.2
19290401 19290430    48.0
19290501 19290531     0.0
19290601 19290630     3.0
19290701 19290731     0.0
19290801 19290831     0.0
19290901 19290930     0.0
19291001 19291031     0.0
19291101 19291130    14.0
19291201 19291231    16.3
19300101 19300131   235.2
19300201 19300228   117.3
19300301 19300331     1.8
19300401 19300430     0.0
19300501 19300531    70.4
19300601 19300630     5.1
19300701 19300731    14.0
19300801 19300831     0.0
19300901 19300930     0.0
19301001 19301031   179.8
19301101 19301130     2.0
19301201 19301231    17.8
19310101 19310131    19.6
19310201 19310228     0.0
19310301 19310331    65.8
19310401 19310430    21.6
19310501 19310531    33.8
19310601 19310630     3.3
19310701 19310731     0.0
19310801 19310831     0.0
19310901 19310930    17.3
19311001 19311031     2.3
19311101 19311130    14.5
19311201 19311231    30.0
19320101 19320131    16.2
19320201 19320229    36.6
19320301 19320331     0.0
19320401 19320430    16.7
19320501 19320531    86.9
19320601 19320630    14.5
19320701 19320731     0.0
19320801 19320831     0.0
19320901 19320930     0.0
19321001 19321031    13.2
19321101 19321130    10.6
19321201 19321231     0.0
19330101 19330131     2.5
19330201 19330228    44.0
19330301 19330331     0.0
19330401 19330430     0.0
19330501 19330531     0.0
19330601 19330630    20.4
19330701 19330731    63.5
19330801 19330831     6.5
19330901 19330930     3.6
19331001 19331031    10.9
19331101 19331130   104.3
19331201 19331231     0.0
19340101 19340131    47.6
19340201 19340228    69.6
19340301 19340331     0.0
19340401 19340430     8.4
19340501 19340531     0.0
19340601 19340630    26.7
19340701 19340731    36.8
19340801 19340831     0.0
19340901 19340930     0.0
19341001 19341031    25.9
19341101 19341130     5.6
19341201 19341231     0.0
19350101 19350131    19.1
19350201 19350228     5.0
19350301 19350331     0.0
19350401 19350430     0.0
19350501 19350531     0.0
19350601 19350630   125.9
19350701 19350731     0.0
19350801 19350831     3.8
19350901 19350930    15.5
19351001 19351031    30.5
19351101 19351130    38.1
19351201 19351231    21.4
19360101 19360131    90.9
19360201 19360229    30.7
19360301 19360331   154.9
19360401 19360430     0.0
19360501 19360531    59.0
19360601 19360630     4.3
19360701 19360731     4.4
19360801 19360831     0.0
19360901 19360930    36.8
19361001 19361031     0.0
19361101 19361130    21.8
19361201 19361231     5.4
19370101 19370131    61.5
19370201 19370228    96.3
19370301 19370331   229.7
19370401 19370430     0.0
19370501 19370531     0.0
19370601 19370630    52.1
19370701 19370731     0.0
19370801 19370831     1.8
19370901 19370930     3.0
19371001 19371031     2.0
19371101 19371130    26.7
19371201 19371231     5.1
19380101 19380131    29.7
19380201 19380228   152.1
19380301 19380331     2.0
19380401 19380430     0.0
19380501 19380531     1.3
19380601 19380630    23.2
19380701 19380731    36.8
19380801 19380831     0.0
19380901 19380930     0.0
19381001 19381031     0.0
19381101 19381130    21.4
19381201 19381231     0.0
19390101 19390131    22.6
19390201 19390228   127.5
19390301 19390331     4.3
19390401 19390430    53.3
19390501 19390531     0.0
19390601 19390630    31.0
19390701 19390731    19.2
19390801 19390831    21.3
19390901 19390930     0.0
19391001 19391031    84.4
19391101 19391130    25.9
19391201 19391231    20.5
19400101 19400131    33.0
19400201 19400229   250.3
19400301 19400331     0.5
19400401 19400430     0.0
19400501 19400531     1.0
19400601 19400630     2.5
19400701 19400731     0.0
19400801 19400831     0.0
19400901 19400930     0.0
19401001 19401031     0.8
19401101 19401130    27.5
19401201 19401231    44.7
19410101 19410131   278.1
19410201 19410228     1.0
19410301 19410331   132.4
19410401 19410430    62.5
19410501 19410531    27.7
19410601 19410630    76.0
