PRCP       009519 19030901 20180131 missing_value=99999.9 CAPE NATURALISTE                          
19600201 19600229     9.4
19600301 19600331    70.2
19600401 19600430    34.9
19600501 19600531   128.8
19600601 19600630    90.8
19600701 19600731   180.2
19600801 19600831   103.3
19600901 19600930    64.4
19601001 19601031    17.0
19601101 19601130     3.6
19601201 19601231    17.1
19610101 19610131     3.9
19610201 19610228    11.7
19610301 19610331    38.5
19610401 19610430   187.6
19610501 19610531    66.6
19610601 19610630   188.7
19610701 19610731   131.6
19610801 19610831    98.1
19610901 19610930    54.0
19611001 19611031    24.5
19611101 19611130    17.6
19611201 19611231    15.6
19620101 19620131     0.3
19620201 19620228     3.9
19620301 19620331     4.3
19620401 19620430    20.3
19620501 19620531   147.0
19620601 19620630   104.8
19620701 19620731   156.0
19620801 19620831   155.8
19620901 19620930    73.5
19621001 19621031    62.7
19621101 19621130    43.6
19621201 19621231    41.5
19630101 19630131    24.1
19630201 19630228     7.7
19630301 19630331     5.3
19630401 19630430    52.2
19630501 19630531   220.3
19630601 19630630   180.5
19630701 19630731   213.4
19630801 19630831   186.3
19630901 19630930    59.9
19631001 19631031    54.3
19631101 19631130    11.0
19631201 19631231     1.9
19640101 19640131     0.8
19640201 19640229     8.3
19640301 19640331     8.6
19640401 19640430    55.8
19640501 19640531    45.9
19640601 19640630   311.2
19640701 19640731   243.2
19640801 19640831   168.5
19640901 19640930    59.5
19641001 19641031    97.6
19641101 19641130    20.4
19641201 19641231    40.6
19650101 19650131     8.6
19650201 19650228     1.8
19650301 19650331   120.4
19650401 19650430    69.3
19650501 19650531   110.5
19650601 19650630   167.0
19650701 19650731   146.7
19650801 19650831   133.8
19650901 19650930    71.2
19651001 19651031   143.2
19651101 19651130    78.9
19651201 19651231    57.4
19660101 19660131     6.1
19660201 19660228     6.8
19660301 19660331     8.5
19660401 19660430    48.8
19660501 19660531    79.6
19660601 19660630   232.9
19660701 19660731   211.2
19660801 19660831   114.5
19660901 19660930    92.0
19661001 19661031    36.8
19661101 19661130    13.6
19661201 19661231    19.8
19670101 19670131     1.0
19670201 19670228    11.7
19670301 19670331    19.8
19670401 19670430    62.2
19670501 19670531   137.7
19670601 19670630   306.1
19670701 19670731   189.2
19670801 19670831   152.4
19670901 19670930    56.1
19671001 19671031    42.7
19671101 19671130    23.4
19671201 19671231    38.9
19680101 19680131    35.4
19680201 19680229     2.0
19680301 19680331    45.4
19680401 19680430    51.2
19680501 19680531    58.5
19680601 19680630   190.2
19680701 19680731   183.3
19680801 19680831    79.2
19680901 19680930   110.2
19681001 19681031    47.9
19681101 19681130    20.6
19681201 19681231     3.1
19690101 19690131     4.6
19690201 19690228     0.0
19690301 19690331    13.6
19690401 19690430    68.0
19690501 19690531    94.6
19690601 19690630   148.2
19690701 19690731   112.8
19690801 19690831    54.5
19690901 19690930    29.2
19691001 19691031     4.6
19691101 19691130    69.8
19691201 19691231     8.7
19700101 19700131     3.1
19700201 19700228    58.5
19700301 19700331     3.2
19700401 19700430    61.0
19700501 19700531   165.0
19700601 19700630   260.6
19700701 19700731   152.2
19700801 19700831    98.7
19700901 19700930   116.1
19701001 19701031    55.5
19701101 19701130    20.2
19701201 19701231     2.6
19710101 19710131    22.4
19710201 19710228    11.3
19710301 19710331    79.3
19710401 19710430    22.7
19710501 19710531   195.4
19710601 19710630   107.6
19710701 19710731   173.8
19710801 19710831   108.3
19710901 19710930   169.7
19711001 19711031    72.8
19711101 19711130    28.3
19711201 19711231     5.9
19720101 19720131     6.4
19720201 19720229     1.5
19720301 19720331    11.7
19720401 19720430    44.2
19720501 19720531    75.9
19720601 19720630   116.4
19720701 19720731   168.4
