PRCP       026026 19010101 20180131 missing_value=99999.9 ROBE                                      
19320401 19320430    68.9
19320501 19320531    17.7
19320601 19320630   147.8
19320701 19320731    94.1
19320801 19320831    87.9
19320901 19320930    60.9
19321001 19321031    65.7
19321101 19321130    25.4
19321201 19321231     7.9
19330101 19330131    51.4
19330201 19330228     0.0
19330301 19330331    21.9
19330401 19330430    26.0
19330501 19330531   127.6
19330601 19330630    43.2
19330701 19330731    34.2
19330801 19330831    93.5
19330901 19330930    97.6
19331001 19331031    29.7
19331101 19331130    33.4
19331201 19331231    12.8
19340101 19340131     9.3
19340201 19340228     1.5
19340301 19340331     3.3
19340401 19340430    78.9
19340501 19340531    41.6
19340601 19340630    14.7
19340701 19340731    45.7
19340801 19340831   109.6
19340901 19340930    85.1
19341001 19341031   104.6
19341101 19341130    67.8
19341201 19341231     9.5
19350101 19350131    17.7
19350201 19350228     0.0
19350301 19350331    55.8
19350401 19350430    38.7
19350501 19350531   106.6
19350601 19350630   102.2
19350701 19350731   137.9
19350801 19350831    61.4
19350901 19350930    45.3
19351001 19351031    26.4
19351101 19351130    34.6
19351201 19351231     6.1
19360101 19360131    30.8
19360201 19360229     0.8
19360301 19360331     4.3
19360401 19360430    28.4
19360501 19360531    64.3
19360601 19360630    84.4
19360701 19360731    73.4
19360801 19360831   113.6
19360901 19360930    31.2
19361001 19361031    66.5
19361101 19361130    13.1
19361201 19361231    54.9
19370101 19370131    51.9
19370201 19370228    10.8
19370301 19370331    15.3
19370401 19370430    27.5
19370501 19370531    99.4
19370601 19370630    22.3
19370701 19370731    36.8
19370801 19370831    91.2
19370901 19370930    90.5
19371001 19371031    19.4
19371101 19371130    47.6
19371201 19371231   112.7
19380101 19380131    10.3
19380201 19380228    29.9
19380301 19380331     3.8
19380401 19380430   103.7
19380501 19380531    20.6
19380601 19380630   116.3
19380701 19380731    88.8
19380801 19380831    53.3
19380901 19380930    26.1
19381001 19381031    25.7
19381101 19381130    39.6
19381201 19381231    16.1
19390101 19390131    26.1
19390201 19390228    12.1
19390301 19390331    25.9
19390401 19390430    93.2
19390501 19390531    29.4
19390601 19390630   199.1
19390701 19390731    29.8
19390801 19390831    96.3
19390901 19390930    49.4
19391001 19391031    53.7
19391101 19391130    30.3
19391201 19391231    19.6
19400101 19400131    36.5
19400201 19400229     8.1
19400301 19400331    11.7
