PRCP       022801 18731101 20070731 missing_value=99999.9 CAPE BORDA                                
19101201 19101231    35.8
19110101 19110131     4.8
19110201 19110228    46.0
19110301 19110331    10.2
19110401 19110430    22.4
19110501 19110531    98.8
19110601 19110630   106.7
19110701 19110731    99.2
19110801 19110831    66.2
19110901 19110930    53.0
19111001 19111031    47.5
19111101 19111130     4.9
19111201 19111231    39.0
19120101 19120131     2.1
19120201 19120229    17.3
19120301 19120331    59.9
19120401 19120430    29.5
19120501 19120531    22.5
19120601 19120630    88.6
19120701 19120731   126.9
19120801 19120831    50.6
19120901 19120930    95.9
19121001 19121031    15.6
19121101 19121130    42.1
19121201 19121231    46.0
19130101 19130131    31.8
19130201 19130228    31.7
19130301 19130331    29.1
19130401 19130430    14.7
19130501 19130531    36.0
19130601 19130630    40.4
19130701 19130731    64.1
19130801 19130831    82.1
19130901 19130930    55.6
19131001 19131031    18.5
19131101 19131130    37.0
19131201 19131231    29.2
19140101 19140131     6.6
19140201 19140228     2.3
19140301 19140331    20.3
19140401 19140430   107.7
19140501 19140531    88.5
19140601 19140630    40.3
19140701 19140731    55.7
19140801 19140831    13.0
19140901 19140930    22.2
19141001 19141031    15.5
19141101 19141130    21.6
19141201 19141231    28.2
19150101 19150131     8.1
19150201 19150228     4.6
19150301 19150331    18.9
19150401 19150430    36.5
19150501 19150531    54.9
19150601 19150630   127.1
19150701 19150731   132.0
19150801 19150831   108.9
19150901 19150930   118.9
19151001 19151031    17.3
19151101 19151130    12.9
19151201 19151231     0.0
19160101 19160131     6.4
19160201 19160229     5.1
19160301 19160331    11.9
19160401 19160430    55.2
19160501 19160531    66.4
19160601 19160630   216.5
19160701 19160731   140.5
19160801 19160831    86.6
19160901 19160930    21.9
19161001 19161031    47.8
19161101 19161130    58.2
19161201 19161231    29.7
19170101 19170131     7.9
19170201 19170228    38.3
19170301 19170331    29.2
19170401 19170430    17.9
19170501 19170531   102.0
19170601 19170630   113.4
19170701 19170731   139.5
19170801 19170831   112.2
19170901 19170930   100.8
19171001 19171031    83.6
19171101 19171130    17.3
19171201 19171231    34.4
19180101 19180131     3.1
19180201 19180228     0.0
19180301 19180331    16.9
19180401 19180430    16.3
19180501 19180531    80.9
19180601 19180630   117.7
19180701 19180731    98.1
19180801 19180831   146.6
19180901 19180930    30.5
19181001 19181031    43.9
19181101 19181130     8.2
19181201 19181231    29.3
19190101 19190131    18.5
19190201 19190228    22.3
19190301 19190331     4.9
19190401 19190430    12.2
19190501 19190531    79.2
19190601 19190630    67.4
19190701 19190731    90.7
19190801 19190831    51.1
19190901 19190930    73.4
19191001 19191031    52.0
19191101 19191130     3.9
19191201 19191231    25.0
19200101 19200131     0.0
19200201 19200229     3.7
19200301 19200331    12.5
19200401 19200430    19.9
19200501 19200531    85.5
19200601 19200630   273.8
19200701 19200731   151.6
19200801 19200831   120.6
19200901 19200930    48.1
19201001 19201031    39.4
19201101 19201130    62.1
19201201 19201231    23.3
19210101 19210131     6.9
19210201 19210228     0.8
19210301 19210331    15.5
19210401 19210430    26.5
19210501 19210531   122.6
19210601 19210630   127.7
19210701 19210731   100.8
19210801 19210831   142.1
19210901 19210930   111.7
19211001 19211031    52.6
19211101 19211130    31.1
19211201 19211231    10.7
19220101 19220131    24.1
19220201 19220228     2.5
19220301 19220331    16.8
19220401 19220430    56.4
19220501 19220531    86.4
19220601 19220630    90.4
19220701 19220731   121.4
19220801 19220831   104.8
19220901 19220930    28.8
19221001 19221031    50.2
19221101 19221130     2.8
19221201 19221231    28.4
19230101 19230131    12.6
19230201 19230228     5.1
19230301 19230331     0.8
19230401 19230430     1.5
19230501 19230531   166.4
19230601 19230630   124.4
19230701 19230731   109.0
19230801 19230831    91.7
19230901 19230930    70.5
19231001 19231031    48.8
19231101 19231130     6.5
19231201 19231231    69.2
19240101 19240131    10.8
19240201 19240229    36.5
19240301 19240331    24.4
19240401 19240430    33.8
