PRCP       032040 18930101 20180131 missing_value=99999.9 TOWNSVILLE AERO                           
19360101 19360131   129.2
19360201 19360229   814.9
19360301 19360331   694.4
19360401 19360430   101.3
19360501 19360531     0.0
19360601 19360630   206.0
19360701 19360731     0.0
19360801 19360831     0.0
19360901 19360930     0.0
19361001 19361031     0.0
19361101 19361130     0.0
19361201 19361231   130.3
19370101 19370131   313.8
19370201 19370228   132.3
19370301 19370331   508.2
19370401 19370430     8.4
19370501 19370531    49.6
19370601 19370630     0.0
19370701 19370731     0.0
19370801 19370831     0.0
19370901 19370930     0.0
19371001 19371031    31.5
19371101 19371130    62.1
19371201 19371231     0.0
19380101 19380131   272.6
19380201 19380228   362.3
19380301 19380331   100.9
19380401 19380430     0.0
19380501 19380531    24.5
19380601 19380630    11.5
19380701 19380731   100.0
19380801 19380831     0.0
19380901 19380930     0.0
19381001 19381031    17.4
19381101 19381130    53.0
19381201 19381231    25.4
19390101 19390131   309.4
19390201 19390228   382.1
19390301 19390331   103.1
19390401 19390430    17.4
19390501 19390531     0.0
19390601 19390630   111.0
19390701 19390731     0.0
19390801 19390831    31.5
19390901 19390930     0.0
19391001 19391031     0.0
19391101 19391130    37.4
19391201 19391231     9.1
19400101 19400131   404.4
19400201 19400229  1396.1
19400301 19400331   296.6
19400401 19400430   380.5
19400501 19400531     0.0
19400601 19400630    13.3
19400701 19400731     0.0
19400801 19400831   108.3
19400901 19400930     0.0
19401001 19401031     0.0
19401101 19401130    13.2
19401201 19401231     9.7
19410101 19410131  1015.4
19410201 19410228   150.3
19410301 19410331   402.3
19410401 19410430   173.8
19410501 19410531    60.8
19410601 19410630     4.3
19410701 19410731     1.6
19410801 19410831     0.5
19410901 19410930     1.3
19411001 19411031     0.0
19411101 19411130   101.2
19411201 19411231    52.6
19420101 19420131    86.5
19420201 19420228   298.5
19420301 19420331    10.7
19420401 19420430    57.9
19420501 19420531    18.3
19420601 19420630    76.2
19420701 19420731    85.9
19420801 19420831     5.1
19420901 19420930    29.3
19421001 19421031    26.4
19421101 19421130     3.9
19421201 19421231   418.7
19430101 19430131   135.3
19430201 19430228   595.7
19430301 19430331    22.4
19430401 19430430    23.2
19430501 19430531     1.1
19430601 19430630    25.1
19430701 19430731     0.0
19430801 19430831     2.8
19430901 19430930    44.4
19431001 19431031     1.9
19431101 19431130    42.2
19431201 19431231    19.0
19440101 19440131    92.9
19440201 19440229   454.3
19440301 19440331   382.1
19440401 19440430    38.4
19440501 19440531     8.7
19440601 19440630    11.7
19440701 19440731    31.8
19440801 19440831    15.2
19440901 19440930     1.3
19441001 19441031    12.0
19441101 19441130     6.1
19441201 19441231    74.0
19450101 19450131    76.9
19450201 19450228   307.0
19450301 19450331   429.7
19450401 19450430    40.7
19450501 19450531    14.6
19450601 19450630    75.5
19450701 19450731    11.5
19450801 19450831     0.0
19450901 19450930     2.3
19451001 19451031    25.9
19451101 19451130    24.3
19451201 19451231    26.0
19460101 19460131   398.8
19460201 19460228   476.4
19460301 19460331   426.3
19460401 19460430     0.8
19460501 19460531     5.4
19460601 19460630     0.0
19460701 19460731     0.3
19460801 19460831     0.0
19460901 19460930     0.3
19461001 19461031     1.5
19461101 19461130     4.1
19461201 19461231    30.8
19470101 19470131     8.8
19470201 19470228   728.0
19470301 19470331   298.7
19470401 19470430     0.3
19470501 19470531    26.9
19470601 19470630     4.3
19470701 19470731     0.0
19470801 19470831    82.6
19470901 19470930    66.6
19471001 19471031     2.9
19471101 19471130   149.9
19471201 19471231    33.8
19480101 19480131   222.6
19480201 19480229   104.6
19480301 19480331   117.7
19480401 19480430     4.8
19480501 19480531    36.3
19480601 19480630     2.8
19480701 19480731    27.3
19480801 19480831     0.5
19480901 19480930     1.8
19481001 19481031     1.5
19481101 19481130    25.1
19481201 19481231    88.1
19490101 19490131   301.3
19490201 19490228   295.4
19490301 19490331   559.7
19490401 19490430    61.5
19490501 19490531     8.5
19490601 19490630     0.3
19490701 19490731     0.3
19490801 19490831     0.3
19490901 19490930     4.7
19491001 19491031    50.3
19491101 19491130    11.5
19491201 19491231    18.4
19500101 19500131   417.2
19500201 19500228   304.2
19500301 19500331   611.9
19500401 19500430   180.7
19500501 19500531    42.1
19500601 19500630    36.7
19500701 19500731   173.7
19500801 19500831     1.6
19500901 19500930     5.9
19501001 19501031    39.6
19501101 19501130   279.6
19501201 19501231   102.7
19510101 19510131   848.7
19510201 19510228    34.3
19510301 19510331    80.9
19510401 19510430     5.6
19510501 19510531    24.6
19510601 19510630     9.7
19510701 19510731     1.8
19510801 19510831     6.7
19510901 19510930     0.8
19511001 19511031    19.0
19511101 19511130     6.4
19511201 19511231     3.8
19520101 19520131   465.0
19520201 19520229    91.2
19520301 19520331    64.2
19520401 19520430   131.1
19520501 19520531    11.2
19520601 19520630    35.5
19520701 19520731     2.8
19520801 19520831     1.5
19520901 19520930     5.6
19521001 19521031    26.1
19521101 19521130    27.0
19521201 19521231    62.3
19530101 19530131  1141.7
19530201 19530228   496.6
19530301 19530331    36.5
19530401 19530430     4.3
19530501 19530531     7.9
19530601 19530630     0.3
19530701 19530731     0.8
19530801 19530831    36.1
19530901 19530930     0.3
19531001 19531031    18.3
19531101 19531130    10.9
19531201 19531231    47.0
19540101 19540131   131.5
19540201 19540228   673.8
19540301 19540331   158.9
19540401 19540430   284.9
19540501 19540531     1.8
19540601 19540630    15.4
19540701 19540731    29.0
19540801 19540831     7.8
19540901 19540930     3.9
19541001 19541031    92.9
19541101 19541130    18.4
19541201 19541231    85.1
19550101 19550131    78.7
19550201 19550228   688.0
19550301 19550331   425.8
19550401 19550430    90.2
19550501 19550531   150.2
19550601 19550630    20.1
19550701 19550731     9.7
19550801 19550831     0.0
19550901 19550930     0.5
19551001 19551031    29.0
19551101 19551130    10.0
19551201 19551231    58.9
19560101 19560131   338.8
19560201 19560229   422.3
19560301 19560331   378.7
19560401 19560430   122.3
19560501 19560531   134.1
19560601 19560630    81.0
19560701 19560731    44.6
19560801 19560831    39.5
19560901 19560930    19.6
19561001 19561031    13.3
19561101 19561130   117.1
19561201 19561231   317.8
19570101 19570131   237.0
19570201 19570228    90.1
19570301 19570331   251.3
19570401 19570430     7.7
19570501 19570531    13.2
19570601 19570630     9.8
19570701 19570731    16.5
19570801 19570831     2.0
19570901 19570930     0.0
19571001 19571031    49.0
19571101 19571130    46.2
19571201 19571231    15.0
19580101 19580131   130.9
19580201 19580228   430.6
19580301 19580331   326.3
19580401 19580430   307.2
19580501 19580531     5.4
19580601 19580630    97.7
19580701 19580731     0.0
19580801 19580831     1.8
19580901 19580930     5.9
19581001 19581031     2.8
19581101 19581130    25.5
19581201 19581231    88.6
19590101 19590131   376.5
19590201 19590228    70.1
19590301 19590331   155.4
19590401 19590430   115.2
19590501 19590531    57.4
19590601 19590630     5.2
19590701 19590731     1.8
19590801 19590831     0.0
19590901 19590930     0.0
19591001 19591031     0.3
19591101 19591130    52.3
19591201 19591231   408.3
19600101 19600131   138.1
19600201 19600229   559.6
19600301 19600331   365.8
19600401 19600430     8.7
19600501 19600531    45.3
19600601 19600630     7.3
19600701 19600731     1.3
19600801 19600831     1.0
19600901 19600930     3.6
19601001 19601031    11.4
19601101 19601130   135.1
19601201 19601231    89.7
19610101 19610131    34.0
19610201 19610228   220.9
19610301 19610331   118.6
19610401 19610430     9.0
19610501 19610531     7.6
19610601 19610630     0.0
19610701 19610731     2.5
19610801 19610831     8.7
19610901 19610930     0.0
19611001 19611031     4.1
19611101 19611130   130.1
19611201 19611231    61.3
19620101 19620131   198.2
19620201 19620228   398.9
19620301 19620331    91.4
19620401 19620430    31.8
19620501 19620531     4.4
19620601 19620630    16.0
19620701 19620731    13.5
19620801 19620831     6.9
19620901 19620930    11.5
19621001 19621031     0.9
19621101 19621130    26.9
19621201 19621231    79.2
19630101 19630131   410.4
19630201 19630228   143.6
19630301 19630331   361.4
19630401 19630430    60.8
19630501 19630531     5.2
19630601 19630630     2.5
19630701 19630731     0.0
19630801 19630831    32.0
19630901 19630930     0.0
19631001 19631031     1.6
19631101 19631130    12.0
19631201 19631231    39.4
19640101 19640131   171.4
19640201 19640229   514.4
19640301 19640331   138.2
19640401 19640430    38.3
19640501 19640531    37.8
19640601 19640630    54.0
19640701 19640731    25.7
19640801 19640831     3.3
19640901 19640930     0.3
19641001 19641031    51.2
19641101 19641130    47.7
19641201 19641231   177.4
19650101 19650131   276.5
19650201 19650228    35.6
19650301 19650331   306.1
19650401 19650430    97.3
19650501 19650531    24.6
19650601 19650630     8.3
19650701 19650731     0.5
19650801 19650831     1.1
19650901 19650930     0.0
19651001 19651031     7.7
19651101 19651130     4.6
19651201 19651231   270.4
19660101 19660131   239.7
19660201 19660228    99.5
19660301 19660331    30.3
19660401 19660430    22.2
19660501 19660531    31.3
19660601 19660630    10.5
19660701 19660731     2.0
