PRCP       089033 18790501 20180131 missing_value=99999.9 WICKLIFFE                                 
19090101 19090131    31.3
19090201 19090228    13.2
19090301 19090331    50.6
19090401 19090430    56.2
19090501 19090531    51.3
19090601 19090630    82.3
19090701 19090731    46.4
19090801 19090831   111.0
19090901 19090930    45.6
19091001 19091031    56.5
19091101 19091130    20.4
19091201 19091231    24.2
19100101 19100131    39.9
19100201 19100228     8.1
19100301 19100331   118.7
19100401 19100430    21.3
19100501 19100531    66.6
19100601 19100630    43.1
19100701 19100731    70.3
19100801 19100831    44.7
19100901 19100930    96.6
19101001 19101031    51.6
19101101 19101130    48.8
19101201 19101231    58.3
19110101 19110131     2.6
19110201 19110228   181.6
19110301 19110331    78.6
19110401 19110430    20.1
19110501 19110531    68.3
19110601 19110630    72.7
19110701 19110731    41.3
19110801 19110831    23.8
19110901 19110930   111.4
19111001 19111031    31.7
19111101 19111130    12.2
19111201 19111231    70.6
19120101 19120131     0.0
19120201 19120229     8.2
19120301 19120331    36.1
19120401 19120430    50.1
19120501 19120531    14.3
19120601 19120630    24.5
19120701 19120731    38.4
19120801 19120831    40.4
19120901 19120930    84.2
19121001 19121031    32.7
19121101 19121130    50.5
19121201 19121231    48.0
19130101 19130131    11.9
19130201 19130228    32.5
19130301 19130331    59.0
19130401 19130430    31.8
19130501 19130531    43.6
19130601 19130630    20.5
19130701 19130731    21.4
19130801 19130831    61.5
19130901 19130930    80.0
19131001 19131031    33.1
19131101 19131130    34.1
19131201 19131231    26.7
19140101 19140131     3.9
19140201 19140228     9.6
19140301 19140331    17.0
19140401 19140430    43.8
19140501 19140531    39.4
19140601 19140630    20.5
19140701 19140731    43.8
19140801 19140831     6.5
19140901 19140930    20.0
19141001 19141031     7.6
19141101 19141130    28.8
19141201 19141231    48.1
19150101 19150131    29.7
19150201 19150228     0.3
19150301 19150331     2.3
19150401 19150430    20.9
19150501 19150531    45.4
19150601 19150630    71.4
19150701 19150731    33.3
19150801 19150831    75.1
19150901 19150930    78.6
19151001 19151031    41.0
19151101 19151130    15.2
19151201 19151231     7.6
19160101 19160131    50.8
19160201 19160229     7.7
19160301 19160331     3.0
19160401 19160430    31.8
19160501 19160531    12.3
19160601 19160630    62.0
19160701 19160731    45.4
19160801 19160831    62.2
19160901 19160930   113.0
19161001 19161031    61.3
19161101 19161130    86.3
19161201 19161231    59.7
19170101 19170131    16.8
19170201 19170228    68.0
19170301 19170331    35.5
19170401 19170430    39.5
19170501 19170531    63.0
19170601 19170630    33.2
19170701 19170731    65.8
19170801 19170831    60.2
19170901 19170930    80.7
19171001 19171031    79.6
19171101 19171130    41.1
19171201 19171231    30.7
19180101 19180131    22.4
19180201 19180228    13.0
19180301 19180331    26.0
19180401 19180430    25.7
19180501 19180531    66.3
19180601 19180630    49.8
19180701 19180731    55.8
19180801 19180831    61.4
19180901 19180930    37.2
19181001 19181031    70.9
19181101 19181130    13.5
19181201 19181231    16.2
19190101 19190131     4.6
19190201 19190228    86.6
19190301 19190331    46.7
19190401 19190430     0.0
19190501 19190531    48.1
19190601 19190630    35.6
19190701 19190731    49.4
19190801 19190831    37.6
19190901 19190930    56.4
19191001 19191031    25.3
19191101 19191130    12.7
19191201 19191231    33.9
19200101 19200131    14.1
19200201 19200229     4.6
19200301 19200331    32.3
19200401 19200430    14.2
19200501 19200531    34.9
19200601 19200630    84.4
19200701 19200731    28.3
19200801 19200831    83.2
19200901 19200930    45.1
19201001 19201031    32.7
19201101 19201130    46.0
19201201 19201231    31.1
19210101 19210131    35.6
19210201 19210228    61.0
19210301 19210331    21.8
19210401 19210430    22.3
19210501 19210531    50.7
19210601 19210630    33.6
19210701 19210731    57.6
19210801 19210831    87.5
19210901 19210930    57.5
19211001 19211031    36.2
19211101 19211130    51.3
19211201 19211231    23.5
19220101 19220131    10.4
19220201 19220228    27.8
19220301 19220331     7.2
19220401 19220430    39.7
19220501 19220531    58.6
19220601 19220630    27.0
19220701 19220731    52.7
19220801 19220831    45.6
19220901 19220930    85.6
19221001 19221031    86.1
19221101 19221130    24.2
19221201 19221231    92.5
19230101 19230131    10.5
19230201 19230228     7.3
19230301 19230331     3.4
19230401 19230430     2.3
19230501 19230531    89.1
19230601 19230630    74.0
19230701 19230731   115.8
19230801 19230831    45.1
19230901 19230930    54.2
19231001 19231031    80.9
19231101 19231130    52.4
19231201 19231231    62.7
19240101 19240131    33.6
19240201 19240229    64.3
19240301 19240331    43.5
19240401 19240430    32.2
19240501 19240531    43.9
19240601 19240630    45.2
19240701 19240731    28.1
19240801 19240831    76.9
19240901 19240930    67.0
19241001 19241031    56.9
19241101 19241130   102.9
19241201 19241231    16.0
19250101 19250131    22.3
19250201 19250228    40.2
19250301 19250331    10.1
19250401 19250430    33.7
19250501 19250531    77.2
19250601 19250630    35.7
19250701 19250731    53.5
19250801 19250831    42.7
19250901 19250930    69.8
19251001 19251031    24.2
19251101 19251130    48.1
19251201 19251231    11.7
19260101 19260131    18.2
19260201 19260228     6.8
19260301 19260331     7.9
19260401 19260430    46.2
19260501 19260531    70.1
19260601 19260630    50.4
19260701 19260731    58.9
19260801 19260831    51.4
19260901 19260930    43.4
19261001 19261031    56.5
19261101 19261130    31.4
19261201 19261231    34.1
19270101 19270131     9.7
