PRCP       010092 19030101 20180131 missing_value=99999.9 MERREDIN                                  
19760201 19760229    23.2
19760301 19760331     4.0
19760401 19760430    33.2
19760501 19760531    27.6
19760601 19760630    22.8
19760701 19760731    12.6
19760801 19760831    58.8
19760901 19760930    59.2
19761001 19761031    28.5
19761101 19761130    32.4
19761201 19761231     0.0
19770101 19770131     1.1
19770201 19770228     9.8
19770301 19770331     3.8
19770401 19770430    15.4
19770501 19770531    26.4
19770601 19770630    32.1
19770701 19770731    11.5
19770801 19770831    51.8
19770901 19770930    14.9
19771001 19771031    31.3
19771101 19771130     7.4
19771201 19771231    10.6
19780101 19780131    40.9
19780201 19780228   113.4
19780301 19780331     0.0
19780401 19780430    35.6
19780501 19780531    20.5
19780601 19780630    33.5
19780701 19780731    77.7
19780801 19780831    18.7
19780901 19780930    33.9
19781001 19781031    18.0
19781101 19781130    17.6
19781201 19781231    50.4
19790101 19790131     9.9
19790201 19790228    56.9
19790301 19790331    12.9
19790401 19790430    17.9
19790501 19790531    42.5
19790601 19790630    46.2
19790701 19790731    21.7
19790801 19790831    65.4
19790901 19790930     8.9
19791001 19791031     3.8
19791101 19791130    17.7
19791201 19791231     1.2
19800101 19800131     6.8
19800201 19800229    16.1
19800301 19800331     0.0
19800401 19800430    22.4
19800501 19800531    33.5
19800601 19800630    38.8
19800701 19800731    27.7
19800801 19800831    26.2
19800901 19800930     5.4
19801001 19801031    22.6
19801101 19801130     8.8
19801201 19801231     3.8
19810101 19810131     4.0
19810201 19810228    29.0
19810301 19810331    14.6
19810401 19810430    15.5
19810501 19810531    85.4
19810601 19810630    53.2
19810701 19810731    44.7
19810801 19810831    48.3
19810901 19810930     8.7
19811001 19811031    10.7
19811101 19811130    26.6
19811201 19811231    29.8
19820101 19820131    22.2
19820201 19820228     0.6
19820301 19820331    15.8
19820401 19820430     1.4
19820501 19820531    20.6
19820601 19820630    52.9
19820701 19820731    17.8
19820801 19820831    49.6
19820901 19820930    29.8
19821001 19821031    14.5
19821101 19821130    12.8
19821201 19821231    10.8
19830101 19830131     4.6
19830201 19830228     4.2
19830301 19830331     5.4
19830401 19830430     2.2
19830501 19830531    10.0
19830601 19830630    55.6
19830701 19830731    54.0
19830801 19830831    33.1
19830901 19830930    36.4
19831001 19831031     3.4
19831101 19831130    71.8
19831201 19831231    33.0
19840101 19840131    12.8
19840201 19840229    11.8
19840301 19840331    28.9
19840401 19840430     5.8
19840501 19840531   109.4
19840601 19840630    19.2
19840701 19840731    33.4
19840801 19840831    29.2
19840901 19840930    21.0
19841001 19841031     2.0
19841101 19841130    14.0
19841201 19841231     2.4
19850101 19850131     0.0
19850201 19850228    26.6
19850301 19850331    21.0
19850401 19850430     5.8
19850501 19850531    13.6
19850601 19850630    17.4
19850701 19850731    53.8
19850801 19850831    30.9
19850901 19850930    31.0
19851001 19851031     7.6
19851101 19851130    38.4
19851201 19851231     4.0
19860101 19860131     7.2
19860201 19860228    26.4
19860301 19860331    11.0
19860401 19860430     8.2
19860501 19860531    54.4
19860601 19860630    72.8
19860701 19860731    38.4
19860801 19860831    34.8
19860901 19860930    25.4
19861001 19861031     8.8
19861101 19861130    16.2
19861201 19861231     6.6
19870101 19870131     0.2
19870201 19870228     0.0
19870301 19870331     3.8
19870401 19870430    14.2
19870501 19870531    52.2
19870601 19870630    35.6
19870701 19870731    41.2
19870801 19870831    39.8
19870901 19870930    17.0
19871001 19871031    10.8
19871101 19871130    19.8
19871201 19871231    54.0
19880101 19880131     0.0
19880201 19880229     0.4
19880301 19880331     7.2
19880401 19880430    38.6
19880501 19880531    73.4
19880601 19880630    61.4
19880701 19880731    47.8
19880801 19880831    54.2
19880901 19880930    15.0
19881001 19881031    10.6
19881101 19881130     6.8
19881201 19881231    37.6
19890101 19890131    29.6
19890201 19890228    19.2
19890301 19890331     1.4
19890401 19890430    31.2
19890501 19890531    67.0
19890601 19890630    68.8
19890701 19890731    38.8
19890801 19890831    13.0
19890901 19890930     9.0
19891001 19891031     8.6
19891101 19891130     0.0
19891201 19891231     0.0
19900101 19900131    72.6
19900201 19900228    17.8
19900301 19900331    43.5
19900401 19900430    37.8
19900501 19900531     7.4
19900601 19900630    35.6
19900701 19900731    56.2
19900801 19900831    22.8
19900901 19900930    28.4
19901001 19901031    30.8
19901101 19901130     0.0
19901201 19901231     1.2
19910101 19910131    24.8
19910201 19910228     0.0
19910301 19910331     1.6
19910401 19910430    12.6
19910501 19910531    28.6
19910601 19910630    51.6
19910701 19910731    45.4
19910801 19910831    21.2
19910901 19910930    30.0
19911001 19911031    13.4
19911101 19911130    18.2
19911201 19911231    62.6
19920101 19920131     0.8
19920201 19920229    72.6
19920301 19920331    76.8
19920401 19920430    16.4
19920501 19920531     7.2
19920601 19920630    74.4
19920701 19920731    42.4
19920801 19920831    99.0
19920901 19920930    43.0
19921001 19921031     8.8
19921101 19921130    11.4
19921201 19921231    10.2
19930101 19930131     0.6
19930201 19930228     2.0
19930301 19930331     4.4
19930401 19930430    12.0
19930501 19930531    90.8
19930601 19930630    59.2
19930701 19930731    28.6
19930801 19930831    57.2
19930901 19930930    13.6
19931001 19931031     5.8
19931101 19931130    52.4
19931201 19931231     0.0
19940101 19940131     0.0
19940201 19940228    20.6
19940301 19940331     1.0
19940401 19940430     0.0
19940501 19940531    38.4
19940601 19940630    33.6
19940701 19940731    26.8
19940801 19940831    49.8
19940901 19940930    11.4
19941001 19941031     4.2
19941101 19941130     0.0
19941201 19941231     6.8
19950101 19950131     9.6
19950201 19950228    40.2
19950301 19950331    43.6
19950401 19950430     5.8
19950501 19950531    46.0
19950601 19950630    49.0
19950701 19950731    90.0
19950801 19950831    18.0
19950901 19950930    25.8
19951001 19951031    27.8
19951101 19951130     0.0
19951201 19951231    49.4
19960101 19960131     0.0
19960201 19960229     1.0
19960301 19960331     1.2
19960401 19960430    32.0
19960501 19960531    15.8
19960601 19960630    51.0
19960701 19960731    73.4
19960801 19960831    47.2
19960901 19960930    56.4
19961001 19961031     4.6
19961101 19961130    37.0
19961201 19961231     1.6
19970101 19970131     0.0
19970201 19970228    56.7
19970301 19970331    21.4
19970401 19970430    40.2
19970501 19970531    37.6
19970601 19970630    25.6
19970701 19970731    51.2
19970801 19970831    54.4
19970901 19970930    31.8
19971001 19971031     7.6
19971101 19971130     8.8
19971201 19971231     2.0
19980101 19980131     0.0
19980201 19980228     0.0
19980301 19980331     8.2
19980401 19980430    59.8
19980501 19980531    32.4
19980601 19980630    79.4
19980701 19980731    54.0
19980801 19980831    33.4
19980901 19980930    17.8
