PRCP       040428 18951101 20141130 missing_value=99999.9 BRIAN PASTURES                            
19750401 19750430    31.2
19750501 19750531     0.0
19750601 19750630    35.0
19750701 19750731    27.8
19750801 19750831    53.4
19750901 19750930    12.0
19751001 19751031   102.6
19751101 19751130    36.7
19751201 19751231    77.1
19760101 19760131   197.2
19760201 19760229   136.0
19760301 19760331   115.9
19760401 19760430    38.2
19760501 19760531     9.6
19760601 19760630     5.9
19760701 19760731    30.0
19760801 19760831     8.2
19760901 19760930    55.9
19761001 19761031    83.6
19761101 19761130   227.7
19761201 19761231    54.4
19770101 19770131    18.2
19770201 19770228   146.6
19770301 19770331    69.4
19770401 19770430    22.6
19770501 19770531    83.3
19770601 19770630     5.4
19770701 19770731     0.8
19770801 19770831     2.4
19770901 19770930     2.6
19771001 19771031     3.2
19771101 19771130   109.4
19771201 19771231    30.6
19780101 19780131   151.5
19780201 19780228    39.4
19780301 19780331    13.0
19780401 19780430    50.0
19780501 19780531    35.2
19780601 19780630    24.2
19780701 19780731    95.6
19780801 19780831    82.8
19780901 19780930    75.0
19781001 19781031     4.8
19781101 19781130   122.1
19781201 19781231   129.0
19790101 19790131    86.0
19790201 19790228    52.0
19790301 19790331    37.6
19790401 19790430    75.4
19790501 19790531     4.0
19790601 19790630    40.4
19790701 19790731     4.4
19790801 19790831     8.8
19790901 19790930     7.0
19791001 19791031   111.2
19791101 19791130   123.0
19791201 19791231    84.4
19800101 19800131   110.7
19800201 19800229    30.1
19800301 19800331    61.2
19800401 19800430     9.2
19800501 19800531    83.2
19800601 19800630     1.7
19800701 19800731    22.0
19800801 19800831     4.4
19800901 19800930     0.0
19801001 19801031    79.4
19801101 19801130    18.7
19801201 19801231   173.5
19810101 19810131    87.2
19810201 19810228   194.7
19810301 19810331    42.2
19810401 19810430    80.0
19810501 19810531    41.6
19810601 19810630    57.5
19810701 19810731    54.1
19810801 19810831    12.2
19810901 19810930     0.6
19811001 19811031    13.4
19811101 19811130   103.4
19811201 19811231   140.0
19820101 19820131   109.2
19820201 19820228    97.8
19820301 19820331    68.4
19820401 19820430     9.8
19820501 19820531    24.6
19820601 19820630     0.2
19820701 19820731    19.0
19820801 19820831     6.0
19820901 19820930    27.4
19821001 19821031    44.6
19821101 19821130     1.7
19821201 19821231   104.2
19830101 19830131    59.4
19830201 19830228     0.0
19830301 19830331    62.9
19830401 19830430   165.6
19830501 19830531   210.6
19830601 19830630    59.0
19830701 19830731     3.8
19830801 19830831    43.6
19830901 19830930     5.8
19831001 19831031   123.6
19831101 19831130   104.0
19831201 19831231    15.6
19840101 19840131   128.2
19840201 19840229    52.0
19840301 19840331    46.6
19840401 19840430    47.6
19840501 19840531     5.4
19840601 19840630     5.7
19840701 19840731   113.2
19840801 19840831     8.8
19840901 19840930    60.6
19841001 19841031   106.7
19841101 19841130    61.7
19841201 19841231   108.4
