PRCP       024515 18890801 20171231 missing_value=99999.9 LANGHORNE CREEK                           
19180901 19180930    20.4
19181001 19181031    38.7
19181101 19181130     5.4
19181201 19181231    12.3
19190101 19190131     5.1
19190201 19190228    70.4
19190301 19190331    12.4
19190401 19190430     8.5
19190501 19190531    36.8
19190601 19190630    21.4
19190701 19190731    32.5
19190801 19190831    31.3
19190901 19190930    53.2
19191001 19191031    28.1
19191101 19191130    10.7
19191201 19191231    20.0
19200101 19200131     3.8
19200201 19200229     3.5
19200301 19200331    25.9
19200401 19200430    17.6
19200501 19200531    26.0
19200601 19200630    61.7
19200701 19200731    28.1
19200801 19200831    58.3
19200901 19200930    48.3
19201001 19201031    44.1
19201101 19201130    41.2
19201201 19201231    16.8
19210101 19210131    26.2
19210201 19210228    16.0
19210301 19210331    41.9
19210401 19210430    11.2
19210501 19210531    76.9
19210601 19210630    25.1
19210701 19210731    32.3
19210801 19210831    42.9
19210901 19210930    48.4
19211001 19211031    37.2
19211101 19211130    56.2
19211201 19211231    10.9
19220101 19220131    34.1
19220201 19220228     5.5
19220301 19220331     4.6
19220401 19220430    37.9
19220501 19220531    59.4
19220601 19220630    61.5
19220701 19220731   101.8
19220801 19220831    60.2
19220901 19220930    34.1
19221001 19221031    39.3
19221101 19221130     2.1
19221201 19221231    59.9
19230101 19230131     6.3
19230201 19230228     1.0
19230301 19230331     0.0
19230401 19230430     0.0
19230501 19230531    63.3
19230601 19230630   134.2
19230701 19230731    55.7
19230801 19230831    32.0
19230901 19230930    73.4
19231001 19231031    40.1
19231101 19231130    14.1
19231201 19231231    52.9
19240101 19240131     5.8
19240201 19240229    40.6
19240301 19240331    45.3
19240401 19240430    23.4
19240501 19240531    47.2
19240601 19240630    52.1
19240701 19240731    10.7
19240801 19240831    36.9
19240901 19240930    35.3
19241001 19241031    65.8
19241101 19241130    55.1
19241201 19241231     0.0
19250101 19250131    16.0
19250201 19250228    63.7
19250301 19250331    13.0
19250401 19250430    28.5
19250501 19250531    77.9
19250601 19250630    40.1
19250701 19250731    35.3
19250801 19250831    21.8
19250901 19250930    66.7
19251001 19251031    13.0
19251101 19251130    19.3
19251201 19251231     1.3
19260101 19260131     0.0
19260201 19260228     6.6
19260301 19260331     0.0
19260401 19260430    19.9
19260501 19260531    66.5
19260601 19260630    28.9
19260701 19260731    32.8
19260801 19260831    65.5
19260901 19260930    52.4
19261001 19261031    24.4
19261101 19261130    15.5
19261201 19261231    33.8
19270101 19270131    10.7
19270201 19270228    23.6
19270301 19270331    11.0
19270401 19270430     7.1
19270501 19270531    33.1
19270601 19270630    18.3
19270701 19270731    48.0
19270801 19270831    68.5
19270901 19270930    25.6
19271001 19271031    15.8
19271101 19271130    64.5
19271201 19271231    14.3
19280101 19280131    24.1
19280201 19280229    38.6
19280301 19280331    35.6
19280401 19280430    11.2
19280501 19280531    40.6
19280601 19280630    53.5
19280701 19280731    37.8
19280801 19280831    15.5
19280901 19280930    28.3
19281001 19281031    42.7
19281101 19281130     3.0
19281201 19281231     3.6
19290101 19290131    16.5
19290201 19290228     0.0
19290301 19290331     3.3
19290401 19290430     9.1
19290501 19290531    26.3
19290601 19290630    33.7
19290701 19290731    39.2
19290801 19290831    30.5
19290901 19290930    41.3
19291001 19291031    25.7
19291101 19291130    30.4
19291201 19291231    98.5
19300101 19300131     1.3
19300201 19300228    21.8
19300301 19300331     0.0
19300401 19300430    21.8
19300501 19300531    11.2
19300601 19300630    32.7
19300701 19300731    74.9
19300801 19300831    65.8
19300901 19300930    35.2
19301001 19301031    49.5
19301101 19301130    13.0
19301201 19301231     9.9
19310101 19310131    18.3
19310201 19310228     3.3
19310301 19310331    18.3
19310401 19310430    28.7
19310501 19310531    50.2
19310601 19310630    43.7
19310701 19310731    57.4
19310801 19310831    31.9
19310901 19310930    44.9
19311001 19311031    18.1
19311101 19311130    40.5
19311201 19311231    10.7
19320101 19320131     0.0
19320201 19320229    29.0
19320301 19320331    36.5
19320401 19320430    38.4
19320501 19320531    33.0
19320601 19320630   137.4
19320701 19320731    46.6
19320801 19320831    87.8
19320901 19320930    42.7
19321001 19321031    59.8
19321101 19321130     4.0
19321201 19321231    13.4
19330101 19330131    22.8
19330201 19330228     0.0
19330301 19330331    29.4
19330401 19330430    26.9
19330501 19330531    51.7
19330601 19330630    23.9
19330701 19330731    39.1
19330801 19330831    57.8
19330901 19330930    50.8
19331001 19331031    16.3
19331101 19331130    12.1
19331201 19331231    16.8
19340101 19340131     9.9
19340201 19340228    14.7
19340301 19340331    11.7
19340401 19340430    41.8
19340501 19340531     6.9
19340601 19340630    33.5
19340701 19340731    22.1
19340801 19340831    81.7
19340901 19340930    56.2
19341001 19341031    68.3
19341101 19341130    60.7
19341201 19341231    14.0
19350101 19350131    17.5
19350201 19350228     0.0
19350301 19350331    26.2
19350401 19350430    46.2
19350501 19350531    28.4
19350601 19350630    39.1
19350701 19350731    46.1
19350801 19350831    50.4
19350901 19350930    49.6
19351001 19351031    48.9
19351101 19351130    24.4
19351201 19351231    27.5
19360101 19360131    33.7
19360201 19360229    17.2
19360301 19360331    20.4
19360401 19360430    58.4
19360501 19360531    46.3
19360601 19360630    40.7
19360701 19360731    62.4
19360801 19360831    26.0
19360901 19360930    24.0
19361001 19361031    41.8
19361101 19361130     5.5
19361201 19361231    70.9
19370101 19370131    49.7
19370201 19370228     2.5
19370301 19370331     7.1
19370401 19370430    10.4
19370501 19370531    45.3
19370601 19370630    51.5
19370701 19370731    20.5
19370801 19370831    64.4
19370901 19370930    28.6
19371001 19371031    24.0
19371101 19371130    25.2
19371201 19371231    95.5
19380101 19380131    17.0
19380201 19380228    32.8
19380301 19380331     5.8
19380401 19380430    49.8
19380501 19380531     7.8
19380601 19380630    37.0
19380701 19380731    60.7
19380801 19380831    48.0
19380901 19380930     9.1
19381001 19381031     7.6
19381101 19381130     5.8
19381201 19381231    11.1
19390101 19390131    49.5
19390201 19390228    75.4
19390301 19390331     7.8
19390401 19390430    34.1
19390501 19390531    27.4
19390601 19390630    70.9
19390701 19390731    38.0
19390801 19390831    80.2
19390901 19390930    12.7
19391001 19391031    25.7
19391101 19391130    95.6
19391201 19391231     6.4
19400101 19400131    18.3
19400201 19400229     5.6
19400301 19400331    19.5
19400401 19400430    50.6
19400501 19400531    16.8
19400601 19400630    14.0
19400701 19400731    33.0
19400801 19400831    12.7
19400901 19400930    26.7
19401001 19401031    21.6
19401101 19401130    16.4
19401201 19401231    32.5
19410101 19410131   159.8
19410201 19410228    14.0
19410301 19410331    15.4
19410401 19410430    34.8
19410501 19410531    25.6
19410601 19410630    25.9
19410701 19410731    57.3
19410801 19410831    24.2
19410901 19410930    54.3
19411001 19411031    24.1
19411101 19411130     6.9
19411201 19411231    18.3
19420101 19420131    19.6
19420201 19420228     5.9
19420301 19420331     6.1
19420401 19420430    66.2
19420501 19420531   115.1
19420601 19420630    56.7
19420701 19420731    44.5
19420801 19420831    47.1
19420901 19420930    84.1
19421001 19421031    31.5
19421101 19421130    68.4
19421201 19421231    17.4
19430101 19430131    17.6
19430201 19430228    35.5
19430301 19430331     3.0
19430401 19430430    24.2
19430501 19430531    31.8
19430601 19430630    43.3
19430701 19430731    51.9
19430801 19430831    52.9
19430901 19430930    45.5
19431001 19431031    24.1
19431101 19431130    22.7
19431201 19431231    16.5
19440101 19440131     1.0
19440201 19440229     8.7
19440301 19440331     1.5
19440401 19440430    39.0
19440501 19440531    61.9
19440601 19440630     9.6
19440701 19440731    38.4
19440801 19440831     4.6
19440901 19440930    16.7
19441001 19441031    27.7
19441101 19441130    23.6
19441201 19441231    24.7
19450101 19450131    36.5
19450201 19450228    33.6
19450301 19450331    10.7
19450401 19450430     3.3
19450501 19450531    50.8
19450601 19450630    24.2
19450701 19450731    22.8
19450801 19450831    51.8
19450901 19450930    39.9
19451001 19451031    72.1
19451101 19451130    34.4
19451201 19451231    57.2
19460101 19460131    71.9
19460201 19460228   118.9
19460301 19460331    58.7
19460401 19460430    19.1
19460501 19460531    44.7
19460601 19460630    42.7
19460701 19460731    75.8
19460801 19460831    38.3
19460901 19460930    21.1
19461001 19461031    27.2
19461101 19461130    39.6
19461201 19461231    81.4
19470101 19470131     2.6
19470201 19470228    35.2
19470301 19470331    90.2
19470401 19470430    40.0
19470501 19470531    21.0
19470601 19470630    35.3
19470701 19470731    87.0
19470801 19470831    36.5
19470901 19470930    51.9
19471001 19471031    43.0
19471101 19471130    40.7
19471201 19471231    33.8
19480101 19480131     6.1
19480201 19480229    15.8
19480301 19480331     7.1
19480401 19480430    93.0
19480501 19480531    42.4
19480601 19480630    38.3
19480701 19480731    28.8
19480801 19480831    48.6
19480901 19480930    14.7
19481001 19481031    43.2
19481101 19481130    35.7
19481201 19481231    27.9
19490101 19490131    10.0
19490201 19490228    49.5
19490301 19490331     1.5
19490401 19490430    15.2
19490501 19490531    78.8
19490601 19490630    39.6
19490701 19490731    47.6
19490801 19490831    38.6
19490901 19490930    14.1
19491001 19491031    54.9
19491101 19491130    52.5
19491201 19491231     3.0
19500101 19500131     1.5
19500201 19500228    57.7
19500301 19500331    28.7
19500401 19500430    23.1
19500501 19500531    38.7
19500601 19500630    55.8
19500701 19500731    23.9
19500801 19500831    34.5
19500901 19500930    33.1
19501001 19501031    40.6
19501101 19501130    24.6
19501201 19501231    22.2
19510101 19510131    11.7
19510201 19510228    16.3
19510301 19510331     4.8
19510401 19510430    49.7
19510501 19510531    77.8
19510601 19510630    75.8
19510701 19510731    83.9
19510801 19510831    61.4
19510901 19510930     6.6
19511001 19511031    67.6
19511101 19511130    12.3
19511201 19511231    34.8
19520101 19520131    24.6
19520201 19520229    12.7
19520301 19520331     4.9
19520401 19520430    42.5
19520501 19520531    58.8
19520601 19520630    57.1
19520701 19520731    35.8
19520801 19520831    20.8
19520901 19520930    34.7
19521001 19521031    44.4
19521101 19521130    37.0
19521201 19521231    17.7
19530101 19530131    20.0
19530201 19530228     4.1
19530301 19530331     2.8
19530401 19530430    23.2
19530501 19530531    17.8
