PRCP       089005 18821001 20180131 missing_value=99999.9 BEAUFORT                                  
19331001 19331031    52.8
19331101 19331130    84.4
19331201 19331231   143.4
19340101 19340131    34.8
19340201 19340228    55.4
19340301 19340331     8.4
19340401 19340430    85.7
19340501 19340531     2.9
19340601 19340630    29.7
19340701 19340731    69.8
19340801 19340831    72.7
19340901 19340930    74.6
19341001 19341031   119.9
19341101 19341130   143.5
19341201 19341231    56.5
19350101 19350131    31.7
19350201 19350228    57.2
19350301 19350331    47.9
19350401 19350430   125.8
19350501 19350531    47.6
19350601 19350630    56.8
19350701 19350731   103.9
19350801 19350831    98.4
19350901 19350930    66.6
19351001 19351031    56.3
19351101 19351130    37.4
19351201 19351231    19.1
19360101 19360131    45.5
19360201 19360229     0.0
19360301 19360331    27.2
19360401 19360430    37.6
19360501 19360531    57.1
19360601 19360630    69.0
19360701 19360731   141.4
19360801 19360831    95.9
19360901 19360930    39.4
19361001 19361031    62.1
19361101 19361130    30.4
19361201 19361231    94.3
19370101 19370131    74.3
19370201 19370228    26.6
19370301 19370331    28.8
19370401 19370430    25.3
19370501 19370531    37.2
19370601 19370630    21.9
19370701 19370731    50.3
19370801 19370831    71.4
19370901 19370930    72.4
19371001 19371031   105.4
19371101 19371130    17.0
19371201 19371231   101.3
19380101 19380131    62.9
19380201 19380228    47.1
19380301 19380331    17.1
19380401 19380430    67.9
19380501 19380531    22.1
19380601 19380630    83.7
19380701 19380731    47.4
19380801 19380831    35.3
19380901 19380930    27.4
19381001 19381031    10.2
19381101 19381130    22.4
19381201 19381231    12.1
19390101 19390131    13.8
19390201 19390228    57.2
19390301 19390331     7.5
19390401 19390430   152.4
19390501 19390531    54.2
19390601 19390630    78.4
19390701 19390731    45.8
19390801 19390831   136.5
19390901 19390930    73.5
19391001 19391031    55.4
19391101 19391130   117.1
19391201 19391231    25.7
19400101 19400131    36.4
19400201 19400229     7.4
19400301 19400331    13.8
19400401 19400430    71.5
19400501 19400531    40.4
19400601 19400630    41.8
19400701 19400731    44.9
19400801 19400831    34.3
19400901 19400930    52.2
19401001 19401031    23.9
19401101 19401130    77.8
19401201 19401231    41.5
19410101 19410131   125.2
19410201 19410228    14.0
19410301 19410331    67.1
19410401 19410430    55.2
19410501 19410531    24.1
19410601 19410630    77.8
19410701 19410731    60.0
19410801 19410831    86.6
19410901 19410930    93.1
19411001 19411031    56.8
19411101 19411130    50.8
19411201 19411231    41.2
19420101 19420131    35.0
19420201 19420228    28.0
19420301 19420331    28.7
19420401 19420430    40.3
19420501 19420531   119.0
19420601 19420630    70.5
19420701 19420731    42.4
19420801 19420831   105.9
19420901 19420930    92.4
19421001 19421031   102.3
19421101 19421130    80.2
19421201 19421231    17.5
19430101 19430131    35.8
19430201 19430228    39.6
19430301 19430331     7.8
19430401 19430430    56.9
19430501 19430531    41.9
19430601 19430630    64.8
19430701 19430731    67.3
19430801 19430831    56.3
19430901 19430930    74.6
19431001 19431031    44.1
19431101 19431130    35.0
19431201 19431231    17.4
19440101 19440131    34.2
19440201 19440229    19.4
19440301 19440331    17.2
19440401 19440430    54.6
19440501 19440531    97.9
19440601 19440630    18.5
19440701 19440731    63.5
19440801 19440831    23.8
19440901 19440930    28.7
19441001 19441031    64.7
19441101 19441130    35.1
19441201 19441231    68.6
19450101 19450131    23.8
19450201 19450228    56.4
19450301 19450331     2.6
19450401 19450430    16.2
19450501 19450531    45.9
19450601 19450630    52.1
19450701 19450731    48.3
19450801 19450831   100.4
19450901 19450930    40.0
19451001 19451031    56.5
19451101 19451130    64.6
19451201 19451231    16.6
19460101 19460131   105.2
19460201 19460228   121.2
19460301 19460331   165.2
19460401 19460430    57.0
19460501 19460531    34.6
19460601 19460630    54.6
19460701 19460731   104.4
19460801 19460831    76.7
19460901 19460930    61.5
19461001 19461031    50.2
19461101 19461130    24.4
19461201 19461231    91.3
19470101 19470131     6.4
19470201 19470228    46.8
19470301 19470331   118.8
19470401 19470430    29.0
19470501 19470531    15.4
