PRCP       048039 18911201 20150630 missing_value=99999.9 ENNGONIA (SHEARER STREET)                 
19380801 19380831    13.2
19380901 19380930     0.0
19381001 19381031    11.7
19381101 19381130    31.5
19381201 19381231     0.0
19390101 19390131    51.6
19390201 19390228   105.6
19390301 19390331    63.9
19390401 19390430    33.1
19390501 19390531    11.9
19390601 19390630    31.0
19390701 19390731    29.4
19390801 19390831    53.3
19390901 19390930     0.5
19391001 19391031    38.1
19391101 19391130    26.6
19391201 19391231     5.1
19400101 19400131    28.2
19400201 19400229     1.5
19400301 19400331     0.0
19400401 19400430    51.9
19400501 19400531     2.0
19400601 19400630     1.5
19400701 19400731     3.8
19400801 19400831     3.3
19400901 19400930    11.7
19401001 19401031     8.1
19401101 19401130    18.1
19401201 19401231    32.8
19410101 19410131   160.4
19410201 19410228    18.3
19410301 19410331    35.2
19410401 19410430     0.3
19410501 19410531    17.5
19410601 19410630    12.2
19410701 19410731     1.3
19410801 19410831     0.0
19410901 19410930     1.3
19411001 19411031    18.1
19411101 19411130     7.2
19411201 19411231     6.8
19420101 19420131     3.0
19420201 19420228    42.7
19420301 19420331     7.6
19420401 19420430    11.5
19420501 19420531    80.3
19420601 19420630    38.3
19420701 19420731    19.2
19420801 19420831     0.0
19420901 19420930    19.3
19421001 19421031    37.6
19421101 19421130    33.8
19421201 19421231    97.5
19430101 19430131    88.7
19430201 19430228    22.1
19430301 19430331     0.0
19430401 19430430     5.6
19430501 19430531     0.5
19430601 19430630    14.5
19430701 19430731     7.4
19430801 19430831     5.5
19430901 19430930    28.0
19431001 19431031     8.9
19431101 19431130    16.0
19431201 19431231     0.0
19440101 19440131    20.3
19440201 19440229    41.1
19440301 19440331     2.0
19440401 19440430    11.7
19440501 19440531    12.9
19440601 19440630     0.0
19440701 19440731    34.6
19440801 19440831    83.6
19440901 19440930     0.0
19441001 19441031     1.3
19441101 19441130    21.6
19441201 19441231     2.8
19450101 19450131     3.8
19450201 19450228    20.6
19450301 19450331    17.6
19450401 19450430     0.8
19450501 19450531    24.6
19450601 19450630    24.6
19450701 19450731    57.6
19450801 19450831    16.6
19450901 19450930    18.0
19451001 19451031     2.1
19451101 19451130     2.0
19451201 19451231    45.8
19460101 19460131    50.1
19460201 19460228    19.6
19460301 19460331    16.0
19460401 19460430     5.1
19460501 19460531     0.0
19460601 19460630     6.4
19460701 19460731     2.3
19460801 19460831     0.0
19460901 19460930    53.6
