PRCP       009739 19010801 20180131 missing_value=99999.9 WELCOME DOWNS                             
19410501 19410531    38.1
19410601 19410630   130.4
19410701 19410731    60.7
19410801 19410831    30.5
19410901 19410930    80.2
19411001 19411031    65.4
19411101 19411130    30.0
19411201 19411231    24.7
19420101 19420131     9.1
19420201 19420228    16.0
19420301 19420331    33.5
19420401 19420430    42.7
19420501 19420531    65.3
19420601 19420630   107.1
19420701 19420731   112.7
19420801 19420831    84.6
19420901 19420930    81.7
19421001 19421031    92.6
19421101 19421130     5.7
19421201 19421231    13.8
19430101 19430131     3.3
19430201 19430228    48.0
19430301 19430331    36.7
19430401 19430430    57.5
19430501 19430531    24.5
19430601 19430630    76.1
19430701 19430731   122.8
19430801 19430831    80.6
19430901 19430930    41.6
19431001 19431031    29.3
19431101 19431130    33.8
19431201 19431231    62.8
19440101 19440131     7.8
19440201 19440229     3.3
19440301 19440331     6.9
19440401 19440430    43.3
19440501 19440531   109.6
19440601 19440630    39.2
19440701 19440731    76.4
19440801 19440831    60.6
19440901 19440930    36.8
19441001 19441031    13.0
19441101 19441130    19.0
19441201 19441231    26.1
19450101 19450131     2.0
19450201 19450228     7.2
19450301 19450331    13.5
19450401 19450430     7.0
19450501 19450531    54.2
19450601 19450630    99.2
19450701 19450731    47.7
19450801 19450831   119.6
19450901 19450930    71.1
19451001 19451031    13.0
19451101 19451130    13.3
19451201 19451231    13.3
19460101 19460131     4.8
19460201 19460228     3.7
19460301 19460331     4.1
19460401 19460430    13.8
19460501 19460531    21.9
19460601 19460630    56.7
19460701 19460731   127.5
19460801 19460831    33.7
19460901 19460930    60.4
19461001 19461031    11.8
19461101 19461130    58.2
19461201 19461231    36.6
19470101 19470131     0.9
19470201 19470228     5.3
19470301 19470331    35.4
19470401 19470430    47.6
19470501 19470531    71.9
19470601 19470630    30.7
19470701 19470731   116.7
19470801 19470831    34.3
19470901 19470930    57.6
19471001 19471031   107.7
19471101 19471130    29.6
19471201 19471231    14.6
19480101 19480131     0.0
19480201 19480229    51.8
19480301 19480331    12.2
19480401 19480430    27.7
19480501 19480531    15.2
19480601 19480630    75.1
19480701 19480731    76.2
19480801 19480831   115.0
19480901 19480930    48.3
19481001 19481031    49.1
19481101 19481130   101.7
19481201 19481231     2.6
19490101 19490131     7.0
19490201 19490228     3.3
19490301 19490331    10.9
19490401 19490430    18.8
19490501 19490531    56.4
19490601 19490630    25.1
19490701 19490731    84.4
19490801 19490831    70.4
19490901 19490930    64.3
19491001 19491031   101.8
19491101 19491130    29.5
19491201 19491231     7.8
19500101 19500131     3.5
19500201 19500228     1.3
19500301 19500331     0.0
19500401 19500430     2.8
19500501 19500531    65.5
19500601 19500630   100.7
19500701 19500731    96.3
19500801 19500831    70.8
19500901 19500930    71.5
19501001 19501031    53.9
19501101 19501130    26.4
19501201 19501231    20.6
19510101 19510131    36.7
19510201 19510228    52.4
19510301 19510331     7.2
19510401 19510430    19.5
19510501 19510531    74.9
19510601 19510630    72.2
19510701 19510731    63.2
19510801 19510831   102.1
19510901 19510930    90.1
19511001 19511031    38.1
19511101 19511130    25.6
19511201 19511231    51.8
19520101 19520131    99.9
19520201 19520229     4.6
19520301 19520331    15.6
19520401 19520430    41.2
19520501 19520531    69.7
19520601 19520630    54.8
19520701 19520731    82.4
19520801 19520831    46.7
19520901 19520930    90.4
19521001 19521031    69.0
19521101 19521130    30.2
19521201 19521231    14.1
19530101 19530131     0.0
19530201 19530228    17.5
19530301 19530331    42.9
19530401 19530430    17.5
19530501 19530531    59.6
19530601 19530630   128.7
19530701 19530731    52.0
19530801 19530831    73.1
19530901 19530930    62.3
19531001 19531031    22.0
19531101 19531130    34.4
19531201 19531231    14.9
19540101 19540131     0.0
19540201 19540228     0.0
19540301 19540331     2.8
19540401 19540430    34.8
19540501 19540531    39.2
19540601 19540630    60.0
19540701 19540731    33.4
19540801 19540831    67.6
19540901 19540930    30.4
19541001 19541031    37.8
19541101 19541130    32.5
19541201 19541231    10.3
19550101 19550131     0.0
19550201 19550228    76.8
19550301 19550331    24.8
19550401 19550430    71.0
19550501 19550531    33.0
19550601 19550630    89.5
19550701 19550731    51.5
19550801 19550831   110.2
19550901 19550930    73.9
19551001 19551031    63.8
19551101 19551130    12.7
19551201 19551231    27.0
19560101 19560131     0.1
19560201 19560229     6.1
19560301 19560331     2.9
19560401 19560430    33.0
19560501 19560531   111.6
19560601 19560630    94.3
19560701 19560731    85.0
19560801 19560831    45.9
19560901 19560930    49.0
19561001 19561031    32.4
19561101 19561130    19.0
19561201 19561231    13.1
19570101 19570131     8.7
19570201 19570228    22.6
19570301 19570331    14.8
19570401 19570430    17.6
19570501 19570531    32.3
19570601 19570630   132.4
19570701 19570731    80.4
19570801 19570831    68.1
19570901 19570930    25.6
19571001 19571031    15.7
19571101 19571130     0.5
19571201 19571231    22.7
19580101 19580131    10.2
19580201 19580228    44.6
19580301 19580331    11.1
19580401 19580430     8.9
19580501 19580531    54.9
19580601 19580630    31.7
19580701 19580731   139.3
19580801 19580831    38.5
19580901 19580930    60.6
19581001 19581031    71.3
19581101 19581130    15.5
19581201 19581231    10.1
19590101 19590131     6.4
19590201 19590228    23.4
19590301 19590331    20.6
19590401 19590430    19.9
19590501 19590531    12.5
19590601 19590630    65.2
