PRCP       044026 18790101 20180131 missing_value=99999.9 CUNNAMULLA POST OFFICE                    
19081101 19081130    66.8
19081201 19081231    50.8
19090101 19090131    31.0
19090201 19090228    61.7
19090301 19090331     1.3
19090401 19090430    30.5
19090501 19090531     2.0
19090601 19090630    54.1
19090701 19090731     4.1
19090801 19090831   114.3
19090901 19090930     2.6
19091001 19091031     9.4
19091101 19091130     7.9
19091201 19091231    78.5
19100101 19100131     8.9
19100201 19100228     5.5
19100301 19100331    25.9
19100401 19100430     3.5
19100501 19100531     3.8
19100601 19100630    70.2
19100701 19100731    23.8
19100801 19100831     8.9
19100901 19100930    12.5
19101001 19101031    12.6
19101101 19101130    90.1
19101201 19101231    75.7
19110101 19110131    63.2
19110201 19110228    89.2
19110301 19110331     3.6
19110401 19110430     0.0
19110501 19110531    39.1
19110601 19110630     3.0
19110701 19110731    13.9
19110801 19110831     1.1
19110901 19110930    10.2
19111001 19111031     0.0
19111101 19111130    59.5
19111201 19111231    27.4
19120101 19120131     0.0
19120201 19120229    13.4
19120301 19120331    31.0
19120401 19120430     0.0
19120501 19120531     0.0
19120601 19120630    59.1
19120701 19120731    55.6
19120801 19120831     7.1
19120901 19120930     5.9
19121001 19121031    11.5
19121101 19121130     1.3
19121201 19121231    33.6
19130101 19130131    47.5
19130201 19130228   112.9
19130301 19130331    90.2
19130401 19130430    29.5
19130501 19130531    55.6
19130601 19130630    11.2
19130701 19130731     0.3
19130801 19130831     0.0
19130901 19130930     1.8
19131001 19131031     3.8
19131101 19131130    17.3
19131201 19131231    22.7
19140101 19140131    24.3
19140201 19140228   133.9
19140301 19140331    12.5
19140401 19140430     4.8
19140501 19140531    74.7
19140601 19140630    21.9
19140701 19140731    23.9
19140801 19140831     0.0
19140901 19140930     1.5
19141001 19141031     0.0
19141101 19141130    35.7
19141201 19141231    85.5
19150101 19150131     4.4
19150201 19150228     0.5
19150301 19150331     0.3
19150401 19150430     0.0
19150501 19150531    23.6
19150601 19150630     8.7
19150701 19150731     9.7
19150801 19150831    15.5
19150901 19150930     5.6
19151001 19151031    22.1
19151101 19151130     0.0
19151201 19151231    48.3
19160101 19160131     1.5
19160201 19160229     0.5
19160301 19160331    22.7
19160401 19160430    14.2
19160501 19160531     0.0
19160601 19160630    70.6
19160701 19160731   114.0
19160801 19160831     9.2
19160901 19160930    18.8
19161001 19161031    45.2
19161101 19161130    79.0
19161201 19161231    27.9
19170101 19170131    36.1
19170201 19170228    93.0
19170301 19170331     5.1
19170401 19170430     0.0
19170501 19170531     0.5
19170601 19170630    46.1
19170701 19170731     6.4
19170801 19170831    11.7
19170901 19170930    41.5
19171001 19171031    17.5
19171101 19171130    63.6
19171201 19171231    55.5
19180101 19180131    64.1
19180201 19180228     0.5
19180301 19180331     0.0
19180401 19180430    73.1
19180501 19180531    17.3
19180601 19180630     0.0
19180701 19180731    22.6
19180801 19180831    28.5
19180901 19180930     0.0
19181001 19181031     4.3
19181101 19181130    10.9
19181201 19181231    43.7
19190101 19190131    24.6
19190201 19190228    81.1
19190301 19190331    16.0
19190401 19190430     3.8
19190501 19190531    57.4
19190601 19190630     0.5
19190701 19190731     0.0
19190801 19190831    15.0
19190901 19190930     0.0
19191001 19191031     8.3
19191101 19191130     0.0
19191201 19191231     1.8
19200101 19200131     5.1
19200201 19200229    70.1
19200301 19200331    13.2
19200401 19200430     5.9
19200501 19200531    16.3
19200601 19200630   117.6
19200701 19200731   133.7
19200801 19200831    14.3
19200901 19200930    73.9
19201001 19201031    32.4
19201101 19201130    34.1
19201201 19201231    36.9
19210101 19210131    39.2
19210201 19210228    97.0
19210301 19210331   186.0
19210401 19210430    90.7
19210501 19210531    55.8
19210601 19210630    44.5
19210701 19210731    43.0
19210801 19210831    13.7
19210901 19210930    73.3
19211001 19211031    13.4
19211101 19211130     7.9
19211201 19211231    39.3
19220101 19220131    18.1
19220201 19220228    13.5
19220301 19220331     0.0
19220401 19220430    10.5
19220501 19220531     0.0
19220601 19220630    29.4
19220701 19220731     2.6
19220801 19220831     0.0
19220901 19220930     0.0
19221001 19221031    14.8
19221101 19221130    16.5
19221201 19221231    77.8
19230101 19230131     7.4
19230201 19230228    59.2
19230301 19230331     0.0
19230401 19230430    11.2
19230501 19230531     3.6
19230601 19230630    61.2
19230701 19230731     4.8
19230801 19230831     0.0
19230901 19230930     0.0
19231001 19231031    16.3
19231101 19231130     2.5
19231201 19231231    87.6
19240101 19240131    10.6
19240201 19240229    83.3
19240301 19240331     0.0
19240401 19240430    13.2
19240501 19240531     0.3
19240601 19240630     7.6
19240701 19240731    36.9
19240801 19240831     6.9
19240901 19240930    30.7
19241001 19241031    44.5
19241101 19241130    29.5
19241201 19241231     4.6
19250101 19250131   149.1
19250201 19250228    32.5
19250301 19250331    18.0
19250401 19250430     0.0
19250501 19250531    27.9
19250601 19250630     4.3
19250701 19250731     9.4
19250801 19250831     0.3
19250901 19250930     4.3
19251001 19251031     0.0
19251101 19251130    33.2
19251201 19251231    83.2
