PRCP       055055 18910101 20080831 missing_value=99999.9 CARROLL (THE RANCH)                       
19531201 19531231     2.4
19540101 19540131    71.6
19540201 19540228    82.9
19540301 19540331     1.8
19540401 19540430    14.9
19540501 19540531     4.3
19540601 19540630    50.0
19540701 19540731    19.1
19540801 19540831    13.9
19540901 19540930    23.2
19541001 19541031   150.3
19541101 19541130   116.1
19541201 19541231    21.3
19550101 19550131   101.7
19550201 19550228   276.2
19550301 19550331     1.3
19550401 19550430    30.4
19550501 19550531    60.7
19550601 19550630    51.3
19550701 19550731    38.9
19550801 19550831    47.3
19550901 19550930    53.0
19551001 19551031   161.4
19551101 19551130    79.2
19551201 19551231    61.7
19560101 19560131    87.4
19560201 19560229   161.7
19560301 19560331    50.6
19560401 19560430    58.9
19560501 19560531   111.3
19560601 19560630    68.5
19560701 19560731    47.1
19560801 19560831    11.5
19560901 19560930    27.5
19561001 19561031   105.8
19561101 19561130    15.3
19561201 19561231    60.1
19570101 19570131    57.0
19570201 19570228    79.8
19570301 19570331    18.6
19570401 19570430    35.0
19570501 19570531     7.9
19570601 19570630    40.1
19570701 19570731    16.1
19570801 19570831    26.7
19570901 19570930     1.3
19571001 19571031     6.6
19571101 19571130     4.1
19571201 19571231    89.8
19580101 19580131    89.4
19580201 19580228    29.5
19580301 19580331    29.7
19580401 19580430    12.7
19580501 19580531    70.9
19580601 19580630    32.6
19580701 19580731    10.7
19580801 19580831    55.1
19580901 19580930    84.9
19581001 19581031    93.2
19581101 19581130     8.2
19581201 19581231    68.2
19590101 19590131    79.3
19590201 19590228    75.5
19590301 19590331    95.8
19590401 19590430    72.1
19590501 19590531    25.4
19590601 19590630    14.7
19590701 19590731    27.8
19590801 19590831     0.0
19590901 19590930    43.2
19591001 19591031    31.0
19591101 19591130    51.4
19591201 19591231    71.8
19600101 19600131    74.7
19600201 19600229     7.7
19600301 19600331     9.7
19600401 19600430    33.0
19600501 19600531    25.6
19600601 19600630    24.4
19600701 19600731    47.3
19600801 19600831    23.4
19600901 19600930    28.7
19601001 19601031    71.1
19601101 19601130    97.8
19601201 19601231    44.2
19610101 19610131    32.2
19610201 19610228    84.7
19610301 19610331    66.9
19610401 19610430    31.0
19610501 19610531    12.9
19610601 19610630     4.6
19610701 19610731    47.0
19610801 19610831    49.6
19610901 19610930     6.9
19611001 19611031    64.5
19611101 19611130   205.7
19611201 19611231   108.3
19620101 19620131   133.2
19620201 19620228   101.3
19620301 19620331    29.1
19620401 19620430    31.8
19620501 19620531    33.7
19620601 19620630     1.6
19620701 19620731    25.7
19620801 19620831    48.3
19620901 19620930    69.8
19621001 19621031    95.6
19621101 19621130    18.6
19621201 19621231   141.9
19630101 19630131   116.1
19630201 19630228    34.6
19630301 19630331    85.3
19630401 19630430    41.3
19630501 19630531   124.6
19630601 19630630    39.2
19630701 19630731    22.8
19630801 19630831    59.2
19630901 19630930    32.9
19631001 19631031    30.5
19631101 19631130    73.8
19631201 19631231    83.7
19640101 19640131   150.8
19640201 19640229    12.2
19640301 19640331    78.0
19640401 19640430   102.6
19640501 19640531    61.0
19640601 19640630    28.5
19640701 19640731    40.6
19640801 19640831    29.0
19640901 19640930    69.4
19641001 19641031    84.8
19641101 19641130    11.5
19641201 19641231    39.8
19650101 19650131    13.0
19650201 19650228    12.2
19650301 19650331     2.3
19650401 19650430    19.1
19650501 19650531     4.3
19650601 19650630    14.0
19650701 19650731     8.0
19650801 19650831    36.2
19650901 19650930    39.7
19651001 19651031    51.4
19651101 19651130    33.7
19651201 19651231   110.8
19660101 19660131    14.0
19660201 19660228    22.4
19660301 19660331    25.4
19660401 19660430     8.7
19660501 19660531    18.5
19660601 19660630    55.9
19660701 19660731     8.4
19660801 19660831    69.3
19660901 19660930    34.6
19661001 19661031    61.0
19661101 19661130   122.1
19661201 19661231    46.5
19670101 19670131    22.1
19670201 19670228    20.1
19670301 19670331   112.3
19670401 19670430     9.4
19670501 19670531    45.2
19670601 19670630    53.1
19670701 19670731     8.4
19670801 19670831    43.4
19670901 19670930    11.9
19671001 19671031    86.8
19671101 19671130     3.6
19671201 19671231    25.9
19680101 19680131   193.2
19680201 19680229    31.3
19680301 19680331   100.0
19680401 19680430     6.7
19680501 19680531   116.5
19680601 19680630     4.6
