PRCP       007169 19361201 20111031 missing_value=99999.9 RHODES RIDGE                              
19861001 19861031     0.0
19861101 19861130     0.0
19861201 19861231     7.4
19870101 19870131   134.4
19870201 19870228    63.0
19870301 19870331     2.1
19870401 19870430    35.3
19870501 19870531     6.0
19870601 19870630    17.5
19870701 19870731     3.3
19870801 19870831     0.1
19870901 19870930     0.0
19871001 19871031     0.0
19871101 19871130     1.0
19871201 19871231    25.1
19880101 19880131    28.8
19880201 19880229    61.1
19880301 19880331   108.4
19880401 19880430    27.8
19880501 19880531    48.0
19880601 19880630     0.0
19880701 19880731     0.1
19880801 19880831     4.2
19880901 19880930     0.0
19881001 19881031     0.0
19881101 19881130     4.6
19881201 19881231    90.8
19890101 19890131    89.0
19890201 19890228    46.0
19890301 19890331     0.0
19890401 19890430    49.8
19890501 19890531    16.6
19890601 19890630    76.3
19890701 19890731     2.8
19890801 19890831     0.0
19890901 19890930     0.0
19891001 19891031     0.0
19891101 19891130     0.0
19891201 19891231     7.0
19900101 19900131   173.3
19900201 19900228    41.8
19900301 19900331     0.0
19900401 19900430     0.0
19900501 19900531     2.2
19900601 19900630     6.8
19900701 19900731    10.2
19900801 19900831     2.2
19900901 19900930     0.6
19901001 19901031     1.2
19901101 19901130     1.0
19901201 19901231     2.0
19910101 19910131    59.6
19910201 19910228     5.2
19910301 19910331    14.2
19910401 19910430    14.8
19910501 19910531    11.2
19910601 19910630   105.6
19910701 19910731    24.0
19910801 19910831     0.0
19910901 19910930     0.0
19911001 19911031     0.2
19911101 19911130     0.0
19911201 19911231     5.4
19920101 19920131    56.6
19920201 19920229    18.8
19920301 19920331    94.0
19920401 19920430    94.8
19920501 19920531    14.8
19920601 19920630    16.4
19920701 19920731     0.5
19920801 19920831    27.8
19920901 19920930     4.0
19921001 19921031     7.8
19921101 19921130     0.9
19921201 19921231     3.4
19930101 19930131    47.6
19930201 19930228   161.6
19930301 19930331     1.0
19930401 19930430     8.8
19930501 19930531    44.6
