PRCP       014042 19100901 20130430 missing_value=99999.9 OENPELLI                                  
19671201 19671231   164.6
19680101 19680131   401.2
19680201 19680229   507.3
19680301 19680331   161.5
19680401 19680430    69.1
19680501 19680531   193.6
19680601 19680630     0.0
19680701 19680731     2.0
19680801 19680831    14.2
19680901 19680930     0.0
19681001 19681031     1.8
19681101 19681130    59.2
19681201 19681231   267.1
19690101 19690131   426.5
19690201 19690228   633.3
19690301 19690331   490.5
19690401 19690430     0.0
19690501 19690531     1.0
19690601 19690630     0.0
19690701 19690731     0.0
19690801 19690831     0.0
19690901 19690930     0.5
19691001 19691031    15.0
19691101 19691130   120.3
19691201 19691231   241.3
19700101 19700131   277.7
19700201 19700228   196.1
19700301 19700331   154.7
19700401 19700430    13.4
19700501 19700531     1.3
19700601 19700630     0.0
19700701 19700731     0.0
19700801 19700831     0.0
19700901 19700930    26.2
19701001 19701031    10.4
19701101 19701130   148.4
19701201 19701231   138.8
19710101 19710131   287.2
19710201 19710228   251.2
19710301 19710331   442.7
19710401 19710430    92.2
19710501 19710531     2.5
19710601 19710630     0.0
19710701 19710731     0.0
19710801 19710831     0.0
19710901 19710930    16.8
19711001 19711031    91.2
19711101 19711130   125.9
19711201 19711231   362.5
19720101 19720131   246.2
19720201 19720229   407.1
19720301 19720331   312.3
19720401 19720430    26.7
19720501 19720531    12.5
19720601 19720630     0.0
19720701 19720731     0.0
19720801 19720831     0.0
19720901 19720930     0.0
19721001 19721031     0.0
19721101 19721130   151.5
19721201 19721231   106.1
19730101 19730131   531.7
19730201 19730228   216.5
19730301 19730331   183.1
19730401 19730430    29.7
19730501 19730531     8.1
19730601 19730630    41.2
19730701 19730731     0.0
19730801 19730831     0.0
19730901 19730930     1.8
19731001 19731031     2.8
19731101 19731130   366.1
19731201 19731231   231.9
19740101 19740131   465.8
19740201 19740228   255.8
19740301 19740331   301.0
19740401 19740430    84.6
19740501 19740531    39.6
19740601 19740630     0.0
19740701 19740731     0.0
19740801 19740831    10.6
19740901 19740930     0.2
19741001 19741031    15.4
19741101 19741130   100.8
19741201 19741231   359.2
19750101 19750131   188.7
19750201 19750228   526.3
19750301 19750331   441.0
19750401 19750430   153.7
19750501 19750531     0.0
19750601 19750630     0.0
19750701 19750731     0.0
19750801 19750831     0.0
19750901 19750930    10.2
19751001 19751031    80.2
19751101 19751130   132.6
19751201 19751231   298.4
19760101 19760131   320.0
19760201 19760229   491.3
19760301 19760331   545.9
19760401 19760430   130.4
19760501 19760531     2.6
19760601 19760630     0.0
19760701 19760731     0.0
19760801 19760831     0.0
19760901 19760930     1.2
19761001 19761031    84.9
19761101 19761130   125.4
19761201 19761231   188.8
19770101 19770131   480.6
19770201 19770228   329.8
19770301 19770331   454.8
19770401 19770430    75.6
19770501 19770531    12.5
19770601 19770630     0.0
19770701 19770731     0.0
19770801 19770831     0.0
19770901 19770930     0.0
19771001 19771031     0.0
19771101 19771130    71.8
19771201 19771231   190.0
19780101 19780131   220.9
19780201 19780228   414.6
19780301 19780331   131.1
19780401 19780430    76.4
19780501 19780531    49.2
19780601 19780630     3.2
19780701 19780731    12.8
19780801 19780831     0.0
19780901 19780930     7.0
19781001 19781031    70.4
19781101 19781130   142.7
19781201 19781231   217.6
19790101 19790131   399.8
19790201 19790228   320.4
19790301 19790331   248.2
19790401 19790430    27.2
19790501 19790531     0.0
19790601 19790630     0.0
19790701 19790731     0.2
19790801 19790831     0.0
19790901 19790930     0.0
19791001 19791031    39.4
19791101 19791130    44.4
19791201 19791231   160.6
19800101 19800131   546.4
19800201 19800229   530.8
19800301 19800331   320.8
19800401 19800430    50.2
19800501 19800531    10.8
19800601 19800630     0.0
19800701 19800731     0.0
19800801 19800831     5.0
19800901 19800930     0.0
19801001 19801031    17.4
19801101 19801130    31.5
19801201 19801231   167.8
19810101 19810131   360.4
19810201 19810228   547.8
19810301 19810331   601.8
19810401 19810430    28.4
19810501 19810531    16.0
19810601 19810630     0.0
19810701 19810731     4.8
19810801 19810831     0.1
19810901 19810930    26.8
19811001 19811031    22.5
19811101 19811130   309.3
19811201 19811231   286.0
19820101 19820131   337.9
19820201 19820228   384.9
19820301 19820331   218.2
19820401 19820430    15.0
19820501 19820531     1.0
19820601 19820630     0.0
19820701 19820731     0.0
19820801 19820831     0.0
19820901 19820930     4.4
19821001 19821031     0.0
19821101 19821130    42.8
19821201 19821231    85.8
19830101 19830131   173.6
19830201 19830228   209.4
19830301 19830331   528.7
19830401 19830430   166.1
19830501 19830531    54.8
19830601 19830630     0.0
19830701 19830731     0.0
19830801 19830831     0.0
19830901 19830930     0.0
19831001 19831031    27.6
19831101 19831130    96.4
19831201 19831231    68.8
19840101 19840131   261.8
19840201 19840229   626.8
19840301 19840331   464.4
19840401 19840430     2.4
19840501 19840531     6.2
19840601 19840630     0.0
19840701 19840731     0.0
19840801 19840831     0.0
19840901 19840930    70.2
19841001 19841031    13.0
19841101 19841130    82.4
19841201 19841231   432.2
19850101 19850131   267.4
19850201 19850228   292.2
19850301 19850331   332.6
19850401 19850430   390.2
19850501 19850531     0.0
19850601 19850630     0.4
19850701 19850731     0.0
19850801 19850831     0.0
19850901 19850930     7.2
19851001 19851031     0.8
19851101 19851130   135.6
19851201 19851231   185.2
19860101 19860131   524.6
19860201 19860228   191.4
19860301 19860331   118.6
19860401 19860430    85.8
19860501 19860531     0.0
19860601 19860630     0.0
19860701 19860731    40.8
19860801 19860831    19.2
19860901 19860930    14.2
19861001 19861031    65.2
19861101 19861130   101.4
19861201 19861231   142.8
19870101 19870131   342.8
19870201 19870228   383.3
19870301 19870331   169.2
19870401 19870430    37.8
19870501 19870531     1.2
19870601 19870630     0.0
19870701 19870731     0.0
19870801 19870831     0.0
19870901 19870930     0.0
19871001 19871031     1.2
19871101 19871130    79.0
19871201 19871231   206.4
19880101 19880131   208.2
19880201 19880229   201.2
19880301 19880331   298.4
19880401 19880430    69.4
19880501 19880531    57.2
19880601 19880630     0.0
19880701 19880731     0.0
19880801 19880831     0.0
19880901 19880930     0.0
19881001 19881031     0.4
19881101 19881130   184.2
19881201 19881231   233.2
19890101 19890131   156.0
19890201 19890228   232.0
19890301 19890331   409.2
19890401 19890430   210.0
19890501 19890531    62.8
19890601 19890630     0.0
19890701 19890731     0.2
19890801 19890831     0.0
19890901 19890930     0.0
19891001 19891031     3.8
19891101 19891130 99999.9
19891201 19891231 99999.9
19900101 19900131   266.3
19900201 19900228   153.8
19900301 19900331   256.0
19900401 19900430    99.0
19900501 19900531    91.0
19900601 19900630     2.2
19900701 19900731     0.0
19900801 19900831     0.0
19900901 19900930     0.0
19901001 19901031     0.0
19901101 19901130    40.2
19901201 19901231   193.8
19910101 19910131   700.4
19910201 19910228   657.8
19910301 19910331   132.4
19910401 19910430    71.8
19910501 19910531     0.0
19910601 19910630     0.0
19910701 19910731     0.0
19910801 19910831     0.0
19910901 19910930     0.0
19911001 19911031     0.0
19911101 19911130    50.8
19911201 19911231    65.9
19920101 19920131   243.3
19920201 19920229   385.7
19920301 19920331   134.4
19920401 19920430    64.8
19920501 19920531     0.0
19920601 19920630     0.0
19920701 19920731     0.0
19920801 19920831     0.0
19920901 19920930    42.8
19921001 19921031     8.4
19921101 19921130    54.6
19921201 19921231   245.3
19930101 19930131   350.2
19930201 19930228   587.0
19930301 19930331   179.0
19930401 19930430    11.0
19930501 19930531     1.7
19930601 19930630     0.0
