PRCP       015593 19501001 20080430 missing_value=99999.9 ALCOOTA                                   
19800301 19800331     0.0
19800401 19800430    26.8
19800501 19800531    13.6
19800601 19800630     0.0
19800701 19800731    11.8
19800801 19800831     0.0
19800901 19800930     0.0
19801001 19801031    27.4
19801101 19801130     0.0
19801201 19801231    13.8
19810101 19810131   125.0
19810201 19810228    44.8
19810301 19810331     3.8
19810401 19810430     0.0
19810501 19810531     2.8
19810601 19810630     9.0
19810701 19810731     0.0
19810801 19810831     0.0
19810901 19810930    10.0
19811001 19811031     0.0
19811101 19811130    61.0
19811201 19811231    34.0
19820101 19820131     0.0
19820201 19820228   159.0
19820301 19820331    72.0
19820401 19820430     0.0
19820501 19820531     0.0
19820601 19820630     2.0
19820701 19820731     0.0
19820801 19820831     0.0
19820901 19820930     5.0
19821001 19821031     0.0
19821101 19821130     0.0
19821201 19821231    27.6
19830101 19830131    28.4
19830201 19830228     1.2
19830301 19830331   220.6
19830401 19830430    95.2
19830501 19830531     0.0
19830601 19830630     0.0
19830701 19830731     0.0
19830801 19830831     6.0
19830901 19830930     0.0
19831001 19831031    50.0
19831101 19831130    20.2
19831201 19831231    60.2
19840101 19840131   249.8
19840201 19840229     6.0
19840301 19840331    12.6
19840401 19840430     3.8
19840501 19840531     0.0
19840601 19840630     0.0
19840701 19840731    10.0
19840801 19840831     1.0
19840901 19840930    22.4
19841001 19841031    19.2
19841101 19841130     7.6
19841201 19841231    46.0
19850101 19850131     0.0
19850201 19850228    39.9
19850301 19850331     1.3
19850401 19850430     7.8
19850501 19850531     0.0
19850601 19850630    29.6
19850701 19850731     0.0
19850801 19850831     0.0
19850901 19850930     0.0
19851001 19851031    35.1
19851101 19851130    55.0
19851201 19851231    17.3
19860101 19860131    56.0
19860201 19860228     0.0
19860301 19860331     0.8
19860401 19860430     4.2
19860501 19860531    21.8
19860601 19860630    23.8
19860701 19860731   115.6
19860801 19860831    16.2
19860901 19860930     0.0
19861001 19861031    18.0
19861101 19861130    11.6
19861201 19861231    67.4
19870101 19870131     4.6
19870201 19870228    24.6
19870301 19870331     1.0
19870401 19870430     9.4
19870501 19870531     4.0
19870601 19870630    12.0
19870701 19870731     0.0
19870801 19870831     0.0
19870901 19870930    18.0
19871001 19871031     6.2
19871101 19871130    68.8
19871201 19871231    26.6
19880101 19880131     0.0
19880201 19880229     8.8
19880301 19880331    59.2
19880401 19880430    31.2
19880501 19880531    19.0
19880601 19880630     0.0
19880701 19880731     4.4
19880801 19880831    17.2
19880901 19880930     0.0
19881001 19881031     5.8
19881101 19881130    18.2
19881201 19881231    26.6
19890101 19890131     2.0
19890201 19890228     4.0
19890301 19890331    54.0
19890401 19890430    21.0
19890501 19890531     4.0
19890601 19890630     1.0
19890701 19890731    12.8
19890801 19890831     0.0
19890901 19890930     0.0
19891001 19891031    11.6
19891101 19891130    42.2
19891201 19891231    29.5
19900101 19900131    91.8
19900201 19900228     1.4
19900301 19900331     2.4
19900401 19900430    23.4
19900501 19900531   107.2
19900601 19900630     0.0
19900701 19900731     0.0
19900801 19900831     5.8
19900901 19900930     0.0
19901001 19901031    11.6
19901101 19901130    37.0
19901201 19901231     6.0
19910101 19910131   110.0
19910201 19910228   258.4
19910301 19910331     0.0
19910401 19910430     0.0
19910501 19910531     2.4
