PRCP       036051 18970101 20060831 missing_value=99999.9 WESTLAND                                  
19590701 19590731     7.0
19590801 19590831     5.9
19590901 19590930     3.9
19591001 19591031     1.3
19591101 19591130     0.3
19591201 19591231    36.6
19600101 19600131    51.0
19600201 19600229   105.8
19600301 19600331    58.0
19600401 19600430    25.8
19600501 19600531    33.3
19600601 19600630    18.0
19600701 19600731    16.7
19600801 19600831     5.4
19600901 19600930    16.7
19601001 19601031     3.9
19601101 19601130    44.3
19601201 19601231    85.7
19610101 19610131    50.3
19610201 19610228   159.9
19610301 19610331     0.0
19610401 19610430    15.0
19610501 19610531     0.0
19610601 19610630     0.0
19610701 19610731    25.9
19610801 19610831     0.0
19610901 19610930     0.0
19611001 19611031     0.0
19611101 19611130    69.5
19611201 19611231    24.2
19620101 19620131    84.6
19620201 19620228    19.9
19620301 19620331    18.1
19620401 19620430     6.4
19620501 19620531     5.6
19620601 19620630    25.4
19620701 19620731    24.6
19620801 19620831     0.0
19620901 19620930     0.0
19621001 19621031    13.7
19621101 19621130    13.7
19621201 19621231    99.0
19630101 19630131    70.2
19630201 19630228    12.2
19630301 19630331   194.3
19630401 19630430    50.9
19630501 19630531     0.0
19630601 19630630     3.0
19630701 19630731     0.0
19630801 19630831    16.8
19630901 19630930     0.0
19631001 19631031    30.3
19631101 19631130    10.2
19631201 19631231     0.0
19640101 19640131    25.6
19640201 19640229    25.4
19640301 19640331    56.9
19640401 19640430     8.7
19640501 19640531     0.0
19640601 19640630     0.0
19640701 19640731     3.0
19640801 19640831     0.0
19640901 19640930    66.5
19641001 19641031    41.4
19641101 19641130    38.1
19641201 19641231     5.1
19650101 19650131    10.4
19650201 19650228     5.1
19650301 19650331   124.0
19650401 19650430     0.0
19650501 19650531     0.0
19650601 19650630     0.0
19650701 19650731     0.0
19650801 19650831     0.0
19650901 19650930     0.0
19651001 19651031     0.0
19651101 19651130     0.0
19651201 19651231    98.3
19660101 19660131   116.1
19660201 19660228     8.4
19660301 19660331     0.0
19660401 19660430     0.0
19660501 19660531    17.3
19660601 19660630     0.0
19660701 19660731     0.0
19660801 19660831    42.2
19660901 19660930    14.7
19661001 19661031     0.0
19661101 19661130    17.8
19661201 19661231     0.0
19670101 19670131    14.2
19670201 19670228    31.8
19670301 19670331    34.5
19670401 19670430     0.0
19670501 19670531     0.0
19670601 19670630    24.4
19670701 19670731     0.0
19670801 19670831     0.0
19670901 19670930     0.0
19671001 19671031     5.1
19671101 19671130     7.1
19671201 19671231    14.0
19680101 19680131    16.3
19680201 19680229    88.9
19680301 19680331     8.4
19680401 19680430   106.2
19680501 19680531   107.2
19680601 19680630     0.0
19680701 19680731     3.3
19680801 19680831     0.0
19680901 19680930     0.0
19681001 19681031     0.0
19681101 19681130     0.0
19681201 19681231     7.1
19690101 19690131    33.5
19690201 19690228    49.1
19690301 19690331    28.7
19690401 19690430    10.7
19690501 19690531    20.8
19690601 19690630     0.0
19690701 19690731     0.0
19690801 19690831     0.0
19690901 19690930     0.0
19691001 19691031    10.7
19691101 19691130     1.3
19691201 19691231    55.2
19700101 19700131     1.3
19700201 19700228    37.0
19700301 19700331    35.5
19700401 19700430    23.2
19700501 19700531     0.0
19700601 19700630     0.0
19700701 19700731     0.0
19700801 19700831     0.0
19700901 19700930    31.2
19701001 19701031    22.7
19701101 19701130    13.2
19701201 19701231    11.4
19710101 19710131     2.3
19710201 19710228    45.1
19710301 19710331   329.7
19710401 19710430    63.5
19710501 19710531     0.0
19710601 19710630     0.0
19710701 19710731    18.0
19710801 19710831    60.0
19710901 19710930     0.0
19711001 19711031    67.8
19711101 19711130    14.2
19711201 19711231   206.1
19720101 19720131    48.7
19720201 19720229    17.5
19720301 19720331   158.1
19720401 19720430     0.0
19720501 19720531    35.0
19720601 19720630     0.0
19720701 19720731     0.0
19720801 19720831     4.6
19720901 19720930     0.0
19721001 19721031     0.0
19721101 19721130    56.4
19721201 19721231    35.0
19730101 19730131    22.1
19730201 19730228   191.2
19730301 19730331    71.6
19730401 19730430    22.4
19730501 19730531    11.4
19730601 19730630     0.0
19730701 19730731    46.3
19730801 19730831     3.9
19730901 19730930    24.7
19731001 19731031    26.8
19731101 19731130    80.2
19731201 19731231    57.8
19740101 19740131   289.4
19740201 19740228    23.9
19740301 19740331    44.6
19740401 19740430    42.2
19740501 19740531    61.7
19740601 19740630     0.0
19740701 19740731     0.0
19740801 19740831    28.4
19740901 19740930    21.8
19741001 19741031    11.0
19741101 19741130    15.6
19741201 19741231    80.0
19750101 19750131   190.2
19750201 19750228    58.5
19750301 19750331    46.6
19750401 19750430     0.0
19750501 19750531     0.0
19750601 19750630     4.2
19750701 19750731     0.6
19750801 19750831    12.6
19750901 19750930    26.6
19751001 19751031    50.8
19751101 19751130     0.8
19751201 19751231    70.1
19760101 19760131    83.0
19760201 19760229   195.0
19760301 19760331    17.8
19760401 19760430     0.0
19760501 19760531    13.6
19760601 19760630     6.2
19760701 19760731     6.6
19760801 19760831     0.6
19760901 19760930     0.0
19761001 19761031     7.8
19761101 19761130     4.8
19761201 19761231    79.2
19770101 19770131    60.0
19770201 19770228   232.2
19770301 19770331    29.4
19770401 19770430    24.8
19770501 19770531    68.2
19770601 19770630     0.0
19770701 19770731     0.0
19770801 19770831     0.0
19770901 19770930     0.4
19771001 19771031     2.2
19771101 19771130     0.0
19771201 19771231    42.8
19780101 19780131   129.3
19780201 19780228    16.4
19780301 19780331    11.8
19780401 19780430    22.2
19780501 19780531    48.8
19780601 19780630     5.0
19780701 19780731   114.2
19780801 19780831     6.6
19780901 19780930    12.6
19781001 19781031    97.0
19781101 19781130    56.4
19781201 19781231    57.4
19790101 19790131    21.0
19790201 19790228   138.8
19790301 19790331     0.2
19790401 19790430    21.2
19790501 19790531     6.0
19790601 19790630    13.4
19790701 19790731     0.0
19790801 19790831     1.0
19790901 19790930    14.4
19791001 19791031     8.2
19791101 19791130     1.4
19791201 19791231    20.8
19800101 19800131   127.8
19800201 19800229   105.2
19800301 19800331    83.4
19800401 19800430     4.8
19800501 19800531    12.2
19800601 19800630     0.0
19800701 19800731     1.2
19800801 19800831    14.6
19800901 19800930     0.0
19801001 19801031    32.2
19801101 19801130     0.0
19801201 19801231    17.2
19810101 19810131    40.6
19810201 19810228    97.8
19810301 19810331    30.0
19810401 19810430    88.4
19810501 19810531    55.6
19810601 19810630    59.8
19810701 19810731    65.2
19810801 19810831     0.0
19810901 19810930     0.0
19811001 19811031    25.0
19811101 19811130    22.4
19811201 19811231    12.0
19820101 19820131    95.8
19820201 19820228     8.6
19820301 19820331    50.6
19820401 19820430     2.0
19820501 19820531     5.0
19820601 19820630     0.0
19820701 19820731     0.0
19820801 19820831     0.0
19820901 19820930     0.0
19821001 19821031     0.0
19821101 19821130    28.2
19821201 19821231    24.6
19830101 19830131     0.8
19830201 19830228     0.0
19830301 19830331    13.0
