PRCP       048031 18970501 20180131 missing_value=99999.9 COLLARENEBRI (VIEWPOINT)                  
19440101 19440131     9.6
19440201 19440229    25.2
19440301 19440331     2.8
19440401 19440430    14.0
19440501 19440531    13.7
19440601 19440630    13.2
19440701 19440731    30.8
19440801 19440831    82.5
19440901 19440930    20.3
19441001 19441031     0.0
19441101 19441130     4.1
19441201 19441231     1.0
19450101 19450131    23.1
19450201 19450228    71.7
19450301 19450331    15.5
19450401 19450430    17.0
19450501 19450531    82.5
19450601 19450630    58.1
19450701 19450731    44.2
19450801 19450831    39.6
19450901 19450930     0.3
19451001 19451031    12.7
19451101 19451130    47.3
19451201 19451231    24.2
19460101 19460131    73.2
19460201 19460228    22.6
19460301 19460331     7.4
19460401 19460430     2.3
19460501 19460531     6.9
19460601 19460630     7.4
19460701 19460731     4.6
19460801 19460831     0.0
19460901 19460930    61.7
19461001 19461031    10.7
19461101 19461130    30.2
19461201 19461231    12.4
19470101 19470131     4.4
19470201 19470228   269.0
19470301 19470331    88.1
19470401 19470430     5.1
19470501 19470531    22.6
19470601 19470630     9.4
19470701 19470731    14.7
19470801 19470831    45.8
19470901 19470930    32.0
19471001 19471031    42.9
19471101 19471130    88.4
19471201 19471231   210.4
19480101 19480131    34.1
19480201 19480229    74.9
19480301 19480331   105.9
19480401 19480430    23.1
19480501 19480531    86.6
19480601 19480630   109.6
19480701 19480731    18.8
19480801 19480831     9.7
19480901 19480930    21.6
19481001 19481031    16.5
19481101 19481130    32.8
19481201 19481231    44.2
19490101 19490131    71.9
19490201 19490228    83.9
19490301 19490331    84.9
19490401 19490430    31.7
19490501 19490531    13.6
19490601 19490630    53.7
19490701 19490731    17.1
19490801 19490831     7.9
19490901 19490930    52.1
19491001 19491031   114.6
19491101 19491130    62.0
19491201 19491231    13.5
19500101 19500131   110.3
19500201 19500228   163.9
19500301 19500331    50.9
19500401 19500430   128.5
19500501 19500531    26.2
19500601 19500630    99.8
19500701 19500731   159.7
19500801 19500831     7.4
19500901 19500930    11.4
19501001 19501031   152.9
19501101 19501130   114.0
19501201 19501231     0.0
19510101 19510131   175.4
19510201 19510228    80.3
19510301 19510331    61.5
19510401 19510430     2.0
19510501 19510531    32.3
19510601 19510630    56.8
19510701 19510731     0.5
19510801 19510831    25.9
19510901 19510930    27.0
19511001 19511031     1.0
19511101 19511130     8.1
19511201 19511231     6.3
19520101 19520131    23.7
19520201 19520229    67.0
19520301 19520331    24.7
19520401 19520430    38.3
19520501 19520531    22.6
19520601 19520630    21.6
19520701 19520731    22.6
19520801 19520831    48.8
19520901 19520930     1.5
19521001 19521031    46.3
19521101 19521130    22.1
19521201 19521231    44.2
19530101 19530131    26.2
19530201 19530228   172.4
19530301 19530331     7.6
19530401 19530430    20.5
19530501 19530531   110.6
19530601 19530630     0.5
19530701 19530731    10.4
19530801 19530831    39.7
19530901 19530930     3.5
19531001 19531031    32.0
19531101 19531130    27.3
19531201 19531231     2.5
19540101 19540131    74.0
19540201 19540228   113.0
19540301 19540331     0.0
19540401 19540430     2.0
19540501 19540531     1.5
19540601 19540630    16.5
19540701 19540731    75.7
19540801 19540831    15.7
19540901 19540930    29.4
19541001 19541031    89.6
19541101 19541130    45.4
19541201 19541231    49.8
19550101 19550131   123.8
19550201 19550228   103.0
19550301 19550331    14.8
19550401 19550430    80.2
19550501 19550531    44.2
19550601 19550630    22.6
19550701 19550731    27.2
19550801 19550831    40.6
19550901 19550930     9.1
19551001 19551031   163.6
19551101 19551130    36.4
19551201 19551231    28.2
19560101 19560131   202.8
19560201 19560229   214.6
19560301 19560331    95.3
19560401 19560430    24.8
19560501 19560531    51.1
19560601 19560630    61.0
19560701 19560731    58.9
19560801 19560831     2.5
19560901 19560930    25.7
19561001 19561031    44.7
19561101 19561130    15.2
19561201 19561231    40.4
19570101 19570131     6.6
19570201 19570228    71.7
19570301 19570331    39.4
19570401 19570430    30.7
19570501 19570531     1.0
19570601 19570630    22.8
19570701 19570731    24.2
19570801 19570831     4.6
19570901 19570930     0.0
19571001 19571031     7.4
19571101 19571130     2.5
19571201 19571231    37.1
19580101 19580131   151.3
19580201 19580228    14.0
19580301 19580331    25.4
19580401 19580430    43.8
19580501 19580531    36.8
19580601 19580630    91.6
19580701 19580731     3.3
19580801 19580831    13.2
19580901 19580930    24.8
19581001 19581031    56.5
19581101 19581130    16.6
19581201 19581231    37.9
19590101 19590131   126.3
19590201 19590228   147.6
19590301 19590331    63.7
19590401 19590430   212.9
19590501 19590531    19.5
19590601 19590630    10.7
19590701 19590731    44.6
19590801 19590831     0.0
19590901 19590930    13.6
19591001 19591031    26.2
19591101 19591130    25.9
19591201 19591231    13.3
19600101 19600131    43.0
19600201 19600229    21.4
19600301 19600331    66.0
19600401 19600430    11.5
19600501 19600531    18.6
19600601 19600630    22.9
19600701 19600731    33.8
19600801 19600831     8.9
19600901 19600930    21.3
19601001 19601031    33.3
19601101 19601130    49.5
19601201 19601231     7.8
19610101 19610131    36.3
19610201 19610228    61.7
19610301 19610331    39.5
19610401 19610430    46.5
19610501 19610531    23.7
19610601 19610630     6.6
19610701 19610731    37.6
19610801 19610831    19.6
19610901 19610930     0.0
19611001 19611031    12.4
19611101 19611130    58.5
19611201 19611231    53.4
19620101 19620131   178.6
19620201 19620228    31.0
19620301 19620331   171.7
19620401 19620430    31.0
19620501 19620531    12.7
19620601 19620630    13.2
19620701 19620731    22.5
19620801 19620831    63.7
19620901 19620930    29.4
19621001 19621031    10.1
19621101 19621130    48.2
19621201 19621231    75.8
19630101 19630131   159.6
19630201 19630228    36.6
19630301 19630331   169.8
19630401 19630430    23.8
19630501 19630531    83.6
19630601 19630630    21.2
19630701 19630731     1.1
19630801 19630831    17.1
19630901 19630930    17.0
19631001 19631031    10.7
19631101 19631130    54.8
19631201 19631231    27.8
19640101 19640131   179.7
19640201 19640229    30.5
19640301 19640331    22.6
19640401 19640430   131.9
19640501 19640531    43.7
19640601 19640630     4.1
19640701 19640731    42.0
19640801 19640831    13.7
19640901 19640930   120.0
19641001 19641031    94.8
19641101 19641130    21.9
19641201 19641231    11.0
19650101 19650131    20.3
19650201 19650228    10.9
19650301 19650331     0.0
19650401 19650430    20.5
19650501 19650531     1.1
19650601 19650630     2.6
19650701 19650731    10.4
19650801 19650831    21.6
19650901 19650930     5.6
19651001 19651031    27.7
19651101 19651130    18.9
19651201 19651231   110.8
19660101 19660131    35.0
19660201 19660228    12.9
19660301 19660331    16.5
19660401 19660430    45.0
19660501 19660531     2.6
19660601 19660630    50.8
19660701 19660731    17.3
19660801 19660831   105.8
19660901 19660930     7.7
19661001 19661031    28.7
19661101 19661130    72.9
19661201 19661231    49.3
19670101 19670131    19.1
19670201 19670228     9.9
19670301 19670331    87.6
19670401 19670430     0.0
19670501 19670531    13.5
19670601 19670630    35.9
19670701 19670731    14.5
19670801 19670831    28.1
19670901 19670930     0.0
19671001 19671031     5.0
19671101 19671130     0.3
19671201 19671231    19.9
19680101 19680131   101.9
19680201 19680229    58.5
19680301 19680331    23.7
19680401 19680430    18.0
19680501 19680531    80.3
19680601 19680630     2.8
19680701 19680731    36.8
19680801 19680831    38.8
19680901 19680930     8.1
19681001 19681031     7.8
19681101 19681130    20.2
19681201 19681231    52.0
19690101 19690131    18.6
19690201 19690228    10.8
19690301 19690331    71.9
19690401 19690430    70.3
19690501 19690531    49.8
19690601 19690630    12.7
19690701 19690731    28.9
19690801 19690831    51.0
19690901 19690930    49.2
19691001 19691031   152.1
19691101 19691130    65.0
19691201 19691231    13.9
