PRCP       010505 18910101 20170930 missing_value=99999.9 ARTHUR RIVER COMP                         
19591201 19591231    32.5
19600101 19600131    48.0
19600201 19600229     2.5
19600301 19600331    74.3
19600401 19600430    19.1
19600501 19600531    79.9
19600601 19600630    44.3
19600701 19600731   129.2
19600801 19600831    26.3
19600901 19600930    40.4
19601001 19601031     9.0
19601101 19601130    14.1
19601201 19601231     9.7
19610101 19610131    24.7
19610201 19610228     0.0
19610301 19610331     7.5
19610401 19610430    76.0
19610501 19610531    24.7
19610601 19610630   138.2
19610701 19610731    96.6
19610801 19610831    68.1
19610901 19610930    24.9
19611001 19611031    17.0
19611101 19611130     2.4
19611201 19611231    13.4
19620101 19620131    14.8
19620201 19620228     8.7
19620301 19620331     1.3
19620401 19620430     3.1
19620501 19620531    75.4
19620601 19620630    68.2
19620701 19620731    41.7
19620801 19620831    60.0
19620901 19620930    31.6
19621001 19621031    46.8
19621101 19621130    33.7
19621201 19621231     6.6
19630101 19630131     5.9
19630201 19630228    12.0
19630301 19630331    25.2
19630401 19630430    15.8
19630501 19630531    85.6
19630601 19630630    94.3
19630701 19630731    93.4
19630801 19630831   129.7
19630901 19630930    63.8
19631001 19631031    35.2
19631101 19631130     7.6
19631201 19631231     0.0
19640101 19640131     0.0
19640201 19640229    46.5
19640301 19640331     1.1
19640401 19640430    62.9
19640501 19640531    23.7
19640601 19640630   202.2
19640701 19640731   141.4
19640801 19640831    97.2
19640901 19640930    25.3
19641001 19641031    38.5
19641101 19641130     5.1
19641201 19641231    14.0
19650101 19650131     1.3
19650201 19650228     5.7
19650301 19650331    18.3
19650401 19650430     9.8
19650501 19650531   109.0
19650601 19650630    73.9
19650701 19650731    50.4
19650801 19650831    77.7
19650901 19650930    38.7
19651001 19651031    56.7
19651101 19651130    61.3
19651201 19651231    22.7
19660101 19660131     8.7
19660201 19660228    16.3
19660301 19660331     1.6
19660401 19660430    20.8
19660501 19660531    26.6
19660601 19660630   122.1
19660701 19660731    90.7
19660801 19660831    50.8
19660901 19660930    64.7
19661001 19661031    55.0
19661101 19661130     3.2
19661201 19661231    12.3
19670101 19670131     1.8
19670201 19670228    21.9
19670301 19670331     8.7
19670401 19670430    33.7
19670501 19670531   106.6
19670601 19670630   144.6
19670701 19670731    98.9
19670801 19670831    81.2
19670901 19670930    10.9
19671001 19671031     8.5
19671101 19671130     5.1
19671201 19671231     9.5
19680101 19680131    29.7
19680201 19680229    14.0
19680301 19680331    92.5
19680401 19680430    49.5
19680501 19680531    47.5
19680601 19680630   144.9
19680701 19680731    69.0
19680801 19680831    54.0
19680901 19680930    57.6
19681001 19681031    41.2
19681101 19681130     2.8
19681201 19681231     0.5
19690101 19690131     1.6
19690201 19690228     0.0
19690301 19690331    13.9
19690401 19690430    45.5
19690501 19690531    35.3
19690601 19690630   101.1
19690701 19690731    42.4
19690801 19690831    31.3
19690901 19690930    20.4
19691001 19691031     0.3
19691101 19691130    22.6
19691201 19691231    14.5
19700101 19700131     0.0
19700201 19700228    53.8
19700301 19700331     1.3
19700401 19700430    43.3
19700501 19700531    52.4
19700601 19700630   164.3
19700701 19700731    46.9
19700801 19700831    32.3
19700901 19700930    56.0
19701001 19701031    39.6
19701101 19701130     9.1
19701201 19701231    18.3
19710101 19710131    28.9
19710201 19710228    17.8
19710301 19710331   100.3
19710401 19710430    18.8
19710501 19710531    58.3
19710601 19710630    54.0
19710701 19710731    58.6
19710801 19710831    47.2
19710901 19710930    95.5
19711001 19711031    40.6
19711101 19711130    88.2
19711201 19711231     1.5
19720101 19720131     1.5
19720201 19720229     1.8
19720301 19720331     1.5
19720401 19720430    17.9
19720501 19720531    42.2
19720601 19720630    49.1
19720701 19720731    76.4
19720801 19720831    85.5
19720901 19720930    13.4
19721001 19721031    28.2
19721101 19721130    16.2
19721201 19721231     0.0
19730101 19730131    31.9
19730201 19730228     0.5
19730301 19730331     0.0
19730401 19730430    24.2
19730501 19730531    61.3
19730601 19730630    78.7
19730701 19730731    82.4
19730801 19730831    37.4
19730901 19730930    70.8
19731001 19731031    87.7
19731101 19731130    12.9
19731201 19731231     0.0
