PRCP       024511 18801101 20180131 missing_value=99999.9 EUDUNDA                                   
19300801 19300831    97.9
19300901 19300930    33.9
19301001 19301031    86.8
19301101 19301130    22.4
19301201 19301231    34.8
19310101 19310131     7.6
19310201 19310228     5.1
19310301 19310331    16.6
19310401 19310430    65.3
19310501 19310531    66.7
19310601 19310630    51.9
19310701 19310731    50.0
19310801 19310831    40.6
19310901 19310930    53.4
19311001 19311031    20.4
19311101 19311130    12.0
19311201 19311231    30.7
19320101 19320131     2.3
19320201 19320229    33.4
19320301 19320331    31.3
19320401 19320430    74.7
19320501 19320531    65.1
19320601 19320630    69.7
19320701 19320731    44.9
19320801 19320831    91.3
19320901 19320930    52.7
19321001 19321031    26.4
19321101 19321130     4.4
19321201 19321231    31.5
19330101 19330131    42.6
19330201 19330228     0.8
19330301 19330331    16.3
19330401 19330430    17.2
19330501 19330531    71.9
19330601 19330630    13.4
19330701 19330731    37.0
19330801 19330831    59.6
19330901 19330930    97.8
19331001 19331031    11.9
19331101 19331130    32.8
19331201 19331231    13.4
19340101 19340131    20.5
19340201 19340228     9.4
19340301 19340331     9.5
19340401 19340430    39.5
19340501 19340531     5.4
19340601 19340630    39.1
19340701 19340731    31.6
19340801 19340831    55.7
19340901 19340930    65.1
19341001 19341031    70.8
19341101 19341130    50.0
19341201 19341231    11.5
19350101 19350131    22.6
19350201 19350228     0.3
19350301 19350331    45.3
19350401 19350430    51.2
19350501 19350531    32.9
19350601 19350630    47.2
19350701 19350731    50.0
19350801 19350831    57.6
19350901 19350930    34.7
19351001 19351031    40.8
19351101 19351130     9.2
19351201 19351231    18.9
19360101 19360131    68.5
19360201 19360229    32.2
19360301 19360331     4.1
19360401 19360430    24.4
19360501 19360531    48.2
19360601 19360630    34.4
19360701 19360731    89.2
19360801 19360831    39.0
19360901 19360930    14.6
19361001 19361031    49.5
19361101 19361130    12.8
19361201 19361231    58.4
19370101 19370131    46.2
19370201 19370228    79.7
19370301 19370331     6.6
19370401 19370430    14.3
19370501 19370531    58.3
19370601 19370630    83.7
19370701 19370731    15.6
19370801 19370831    66.4
19370901 19370930    88.6
19371001 19371031    20.3
19371101 19371130    31.8
19371201 19371231   114.1
19380101 19380131    45.3
19380201 19380228    58.3
19380301 19380331     4.1
19380401 19380430    53.8
19380501 19380531     4.9
19380601 19380630    21.1
19380701 19380731    53.6
19380801 19380831    53.1
19380901 19380930     8.6
19381001 19381031    17.1
19381101 19381130    12.7
19381201 19381231     0.5
19390101 19390131    24.4
19390201 19390228    69.7
19390301 19390331     7.1
19390401 19390430    18.3
19390501 19390531    21.1
19390601 19390630    46.1
19390701 19390731    29.0
19390801 19390831    83.4
19390901 19390930    17.0
19391001 19391031    16.1
19391101 19391130    82.9
19391201 19391231     2.1
19400101 19400131    21.8
19400201 19400229    14.7
19400301 19400331     6.9
19400401 19400430    49.4
19400501 19400531    18.2
19400601 19400630     9.4
19400701 19400731    28.3
19400801 19400831    16.9
19400901 19400930    16.6
19401001 19401031    10.7
19401101 19401130    19.1
19401201 19401231    13.2
19410101 19410131   102.6
19410201 19410228     3.8
19410301 19410331    47.5
19410401 19410430     6.2
19410501 19410531     8.6
