PRCP       019061 19100101 20171231 missing_value=99999.9 YEDNALUE                                  
19500401 19500430     5.5
19500501 19500531    53.6
19500601 19500630    30.9
19500701 19500731    17.9
19500801 19500831    11.7
19500901 19500930     6.0
19501001 19501031    17.8
19501101 19501130    44.9
19501201 19501231    14.2
19510101 19510131     0.0
19510201 19510228     0.0
19510301 19510331     0.0
19510401 19510430     3.4
19510501 19510531    30.7
19510601 19510630    81.1
19510701 19510731    46.3
19510801 19510831    36.9
19510901 19510930    10.2
19511001 19511031    25.9
19511101 19511130     0.0
19511201 19511231    12.7
19520101 19520131    49.0
19520201 19520229     0.0
19520301 19520331    15.3
19520401 19520430    28.9
19520501 19520531    68.6
19520601 19520630    30.5
19520701 19520731    18.6
19520801 19520831    10.7
19520901 19520930    18.1
19521001 19521031    71.7
19521101 19521130    25.5
19521201 19521231     4.8
19530101 19530131    74.4
19530201 19530228    13.9
19530301 19530331     0.5
19530401 19530430     2.1
19530501 19530531     4.6
19530601 19530630    22.3
19530701 19530731    13.0
19530801 19530831    34.8
19530901 19530930    18.5
19531001 19531031    25.0
19531101 19531130    13.5
19531201 19531231    17.3
19540101 19540131    28.2
19540201 19540228     0.0
19540301 19540331     0.0
19540401 19540430    67.6
19540501 19540531     2.0
19540601 19540630    26.0
19540701 19540731    13.5
19540801 19540831    33.7
19540901 19540930     1.0
19541001 19541031    25.1
19541101 19541130     2.5
19541201 19541231    21.5
19550101 19550131     5.6
19550201 19550228    30.0
19550301 19550331    30.3
19550401 19550430    21.1
19550501 19550531    50.1
19550601 19550630    37.6
19550701 19550731    25.9
19550801 19550831    48.8
19550901 19550930    38.8
19551001 19551031     8.9
19551101 19551130    32.0
19551201 19551231     2.3
19560101 19560131     6.4
19560201 19560229    14.0
19560301 19560331    27.2
19560401 19560430    21.8
19560501 19560531    48.4
19560601 19560630    57.8
19560701 19560731    67.5
19560801 19560831    18.0
19560901 19560930    24.5
19561001 19561031    52.5
19561101 19561130     2.8
19561201 19561231     0.8
19570101 19570131     0.0
19570201 19570228     5.0
19570301 19570331     7.6
19570401 19570430     7.1
19570501 19570531     2.3
19570601 19570630    52.0
19570701 19570731    22.5
19570801 19570831    20.6
19570901 19570930     9.7
19571001 19571031    15.7
19571101 19571130     1.3
19571201 19571231    34.8
19580101 19580131     3.8
19580201 19580228     0.0
19580301 19580331    42.9
19580401 19580430    12.7
19580501 19580531    14.7
19580601 19580630     1.1
19580701 19580731    38.3
19580801 19580831    70.2
19580901 19580930    74.4
19581001 19581031    52.0
19581101 19581130    60.3
19581201 19581231    10.1
19590101 19590131    26.7
19590201 19590228    10.5
19590301 19590331    24.9
19590401 19590430     0.0
19590501 19590531    17.8
19590601 19590630     1.3
19590701 19590731    23.0
19590801 19590831    13.5
19590901 19590930     2.6
19591001 19591031    13.1
19591101 19591130     8.6
19591201 19591231    15.7
19600101 19600131    13.4
19600201 19600229     7.1
19600301 19600331     0.0
19600401 19600430     9.9
19600501 19600531    81.5
19600601 19600630    10.2
19600701 19600731    52.8
19600801 19600831    34.9
19600901 19600930    50.8
19601001 19601031    11.5
19601101 19601130    24.4
19601201 19601231    11.7
19610101 19610131     1.3
19610201 19610228     4.9
19610301 19610331     1.3
19610401 19610430    56.8
19610501 19610531     5.9
19610601 19610630     8.9
19610701 19610731    29.7
19610801 19610831    29.6
19610901 19610930    20.3
19611001 19611031     0.8
19611101 19611130    19.8
19611201 19611231     6.6
19620101 19620131    95.6
19620201 19620228     0.8
19620301 19620331    50.8
19620401 19620430     0.0
19620501 19620531    47.6
19620601 19620630     2.6
19620701 19620731    23.5
19620801 19620831    15.2
19620901 19620930     2.1
19621001 19621031    11.5
19621101 19621130     3.0
19621201 19621231    17.8
19630101 19630131    11.2
19630201 19630228     3.3
19630301 19630331     8.6
19630401 19630430     9.6
19630501 19630531    39.9
19630601 19630630    74.0
19630701 19630731    20.4
19630801 19630831    36.1
19630901 19630930     2.8
19631001 19631031     3.3
19631101 19631130     2.0
19631201 19631231    24.1
19640101 19640131    14.3
19640201 19640229     1.5
19640301 19640331     0.6
19640401 19640430    14.2
19640501 19640531    10.7
19640601 19640630    14.5
19640701 19640731    24.4
19640801 19640831    31.5
19640901 19640930   109.5
19641001 19641031    17.2
19641101 19641130     3.8
19641201 19641231     3.0
19650101 19650131     0.0
19650201 19650228     0.0
19650301 19650331     0.5
19650401 19650430     0.0
19650501 19650531    31.6
19650601 19650630    20.1
19650701 19650731    40.0
19650801 19650831    33.6
19650901 19650930    22.2
19651001 19651031     0.0
19651101 19651130     7.8
19651201 19651231    18.8
19660101 19660131     1.0
19660201 19660228    47.6
19660301 19660331    10.1
19660401 19660430     0.5
19660501 19660531    31.4
19660601 19660630    41.6
19660701 19660731    13.3
19660801 19660831     3.6
19660901 19660930    14.1
19661001 19661031    16.1
19661101 19661130    29.8
19661201 19661231    68.3
19670101 19670131     9.9
19670201 19670228    12.2
19670301 19670331     4.1
19670401 19670430     0.0
19670501 19670531    13.7
19670601 19670630     5.4
19670701 19670731    18.1
19670801 19670831    22.6
19670901 19670930    14.4
19671001 19671031     7.9
19671101 19671130     2.3
19671201 19671231     1.8
19680101 19680131    85.4
19680201 19680229    23.4
19680301 19680331     4.1
19680401 19680430    50.1
19680501 19680531    46.4
19680601 19680630    54.0
19680701 19680731    41.9
19680801 19680831    33.5
19680901 19680930     6.2
19681001 19681031    12.7
19681101 19681130    36.5
19681201 19681231    11.0
19690101 19690131    28.7
19690201 19690228    26.9
19690301 19690331    41.1
19690401 19690430    17.3
19690501 19690531    36.2
19690601 19690630    51.5
19690701 19690731    51.1
19690801 19690831     5.6
19690901 19690930    23.6
19691001 19691031    15.3
19691101 19691130    10.5
19691201 19691231     0.0
19700101 19700131     6.6
19700201 19700228     7.9
19700301 19700331     0.5
19700401 19700430    41.3
19700501 19700531     5.2
19700601 19700630    14.5
19700701 19700731     8.7
19700801 19700831    60.1
19700901 19700930    51.3
19701001 19701031    19.6
19701101 19701130    78.1
19701201 19701231    20.8
19710101 19710131     1.0
19710201 19710228     0.0
19710301 19710331    13.3
19710401 19710430    20.9
19710501 19710531     4.8
19710601 19710630    37.4
19710701 19710731    39.4
19710801 19710831    39.1
19710901 19710930    33.3
19711001 19711031     0.0
19711101 19711130    93.8
19711201 19711231    40.6
19720101 19720131   107.9
19720201 19720229    24.6
19720301 19720331     0.5
19720401 19720430     1.8
19720501 19720531     3.8
19720601 19720630     6.1
19720701 19720731    22.3
19720801 19720831    42.6
19720901 19720930     5.1
19721001 19721031    12.2
19721101 19721130    10.2
19721201 19721231     0.0
19730101 19730131    10.7
19730201 19730228   144.1
19730301 19730331    26.9
19730401 19730430    20.1
19730501 19730531    33.3
19730601 19730630    46.1
19730701 19730731    44.1
19730801 19730831    47.5
19730901 19730930    46.3
19731001 19731031    80.0
19731101 19731130    21.4
19731201 19731231    16.0
19740101 19740131   113.4
19740201 19740228    64.6
19740301 19740331    21.6
19740401 19740430   113.1
19740501 19740531    86.6
19740601 19740630    10.2
19740701 19740731    58.6
19740801 19740831     9.2
19740901 19740930    38.4
19741001 19741031    60.4
19741101 19741130     0.0
19741201 19741231     0.0
19750101 19750131     8.2
19750201 19750228    44.8
19750301 19750331    25.8
19750401 19750430     2.2
19750501 19750531     8.4
19750601 19750630     0.0
19750701 19750731    30.4
19750801 19750831    10.4
19750901 19750930    79.0
19751001 19751031    91.4
19751101 19751130    15.0
19751201 19751231    62.4
19760101 19760131    34.6
19760201 19760229    53.6
19760301 19760331     0.0
19760401 19760430     0.0
19760501 19760531     0.0
19760601 19760630    13.4
19760701 19760731    17.2
19760801 19760831    12.6
19760901 19760930    37.6
19761001 19761031    61.6
19761101 19761130    39.6
19761201 19761231     8.4
19770101 19770131     0.0
19770201 19770228     7.0
19770301 19770331     0.0
19770401 19770430     0.0
19770501 19770531    32.8
19770601 19770630    37.0
19770701 19770731     6.2
19770801 19770831     0.0
19770901 19770930     5.4
19771001 19771031    21.8
19771101 19771130    41.7
19771201 19771231    22.8
19780101 19780131    16.8
19780201 19780228     0.0
19780301 19780331     6.4
19780401 19780430     2.4
19780501 19780531    21.6
19780601 19780630    89.8
19780701 19780731    23.0
19780801 19780831    28.8
19780901 19780930    34.6
19781001 19781031    26.4
19781101 19781130    55.6
19781201 19781231     6.8
19790101 19790131    15.4
19790201 19790228    71.2
19790301 19790331     0.0
19790401 19790430    38.6
19790501 19790531   106.6
19790601 19790630     7.6
19790701 19790731     5.4
19790801 19790831    48.2
19790901 19790930    70.0
19791001 19791031    27.2
19791101 19791130    23.4
19791201 19791231    25.0
19800101 19800131    47.2
19800201 19800229     0.0
19800301 19800331     0.0
19800401 19800430    90.2
19800501 19800531    27.0
19800601 19800630    38.6
19800701 19800731    48.6
19800801 19800831     0.0
19800901 19800930    12.6
19801001 19801031    54.3
19801101 19801130     2.0
19801201 19801231    10.0
19810101 19810131    80.2
19810201 19810228     9.2
19810301 19810331     1.2
19810401 19810430     0.0
19810501 19810531    59.8
19810601 19810630    75.0
19810701 19810731    39.6
19810801 19810831    22.2
19810901 19810930    20.6
19811001 19811031     4.8
19811101 19811130    14.1
19811201 19811231     0.0
19820101 19820131    15.6
19820201 19820228     7.6
19820301 19820331    32.5
19820401 19820430     2.4
19820501 19820531     0.0
19820601 19820630    23.2
19820701 19820731     0.0
19820801 19820831     0.0
19820901 19820930    14.2
19821001 19821031     0.0
19821101 19821130     0.0
