PRCP       094061 18880101 20180131 missing_value=99999.9 SANDFORD (MAYDENA)                        
19291001 19291031    31.2
19291101 19291130    61.5
19291201 19291231    78.8
19300101 19300131    15.0
19300201 19300228    22.6
19300301 19300331    20.5
19300401 19300430    63.4
19300501 19300531    25.2
19300601 19300630    29.7
19300701 19300731    46.6
19300801 19300831    47.0
19300901 19300930    33.9
19301001 19301031    45.3
19301101 19301130    49.3
19301201 19301231    65.3
19310101 19310131    25.4
19310201 19310228    44.7
19310301 19310331   117.9
19310401 19310430    52.0
19310501 19310531    58.1
19310601 19310630    65.6
19310701 19310731    34.3
19310801 19310831    18.5
19310901 19310930    19.4
19311001 19311031    85.3
19311101 19311130    86.0
19311201 19311231    17.1
19320101 19320131     4.9
19320201 19320229    24.4
19320301 19320331   145.8
19320401 19320430    81.4
19320501 19320531     0.0
19320601 19320630    79.7
19320701 19320731    42.9
19320801 19320831   110.7
19320901 19320930    28.7
19321001 19321031   148.0
19321101 19321130    25.4
19321201 19321231    58.9
19330101 19330131    67.9
19330201 19330228    41.5
19330301 19330331    41.2
19330401 19330430    44.4
19330501 19330531    44.9
19330601 19330630    37.7
19330701 19330731    19.6
19330801 19330831    20.5
19330901 19330930    33.9
19331001 19331031    55.7
19331101 19331130    44.6
19331201 19331231    55.9
19340101 19340131    31.0
19340201 19340228    27.6
19340301 19340331    11.2
19340401 19340430   105.8
19340501 19340531     4.1
19340601 19340630    22.3
19340701 19340731    53.4
19340801 19340831    28.5
19340901 19340930    56.6
19341001 19341031    57.7
19341101 19341130    63.9
19341201 19341231   173.0
19350101 19350131    40.7
19350201 19350228   165.3
19350301 19350331    28.3
19350401 19350430   221.0
19350501 19350531    27.1
19350601 19350630    54.5
19350701 19350731    25.5
19350801 19350831    41.1
19350901 19350930    23.1
19351001 19351031    97.7
19351101 19351130    54.2
19351201 19351231   144.9
19360101 19360131    13.4
19360201 19360229    15.2
19360301 19360331    17.3
19360401 19360430    29.3
19360501 19360531    17.3
19360601 19360630    72.4
19360701 19360731    28.5
19360801 19360831    38.3
19360901 19360930    26.3
19361001 19361031    33.9
19361101 19361130    46.3
19361201 19361231   165.3
19370101 19370131    77.4
19370201 19370228    18.6
19370301 19370331    32.0
19370401 19370430    19.6
19370501 19370531    73.9
19370601 19370630    42.9
19370701 19370731    13.3
19370801 19370831    17.0
19370901 19370930    59.0
19371001 19371031    50.6
19371101 19371130    12.0
19371201 19371231    71.8
19380101 19380131   110.9
19380201 19380228   107.4
19380301 19380331    43.8
19380401 19380430    29.4
19380501 19380531    31.8
19380601 19380630    84.2
19380701 19380731    93.7
19380801 19380831    39.0
19380901 19380930    14.2
19381001 19381031    47.0
19381101 19381130    34.6
19381201 19381231    45.1
19390101 19390131    18.1
19390201 19390228    62.6
19390301 19390331    47.8
19390401 19390430    25.5
19390501 19390531    39.3
19390601 19390630   100.3
19390701 19390731    64.1
19390801 19390831   117.1
19390901 19390930    56.3
19391001 19391031    33.8
19391101 19391130   100.9
19391201 19391231    28.8
19400101 19400131    35.2
19400201 19400229    17.0
19400301 19400331    49.8
19400401 19400430    29.2
19400501 19400531    26.2
19400601 19400630    30.4
19400701 19400731    25.1
19400801 19400831     6.4
19400901 19400930    26.5
19401001 19401031    26.4
19401101 19401130    26.4
19401201 19401231    68.9
19410101 19410131   155.0
19410201 19410228    32.2
19410301 19410331    66.8
19410401 19410430    10.4
19410501 19410531     7.0
19410601 19410630    37.0
19410701 19410731    48.2
19410801 19410831    52.8
19410901 19410930    30.5
19411001 19411031    33.7
19411101 19411130    24.9
19411201 19411231   120.6
19420101 19420131    21.8
19420201 19420228    20.8
19420301 19420331    25.4
19420401 19420430    18.0
19420501 19420531    70.8
19420601 19420630    43.3
19420701 19420731    31.3
19420801 19420831    57.3
19420901 19420930    75.0
19421001 19421031    30.6
19421101 19421130    23.9
19421201 19421231    46.2
19430101 19430131    39.4
19430201 19430228    47.9
19430301 19430331     8.9
19430401 19430430    42.8
19430501 19430531    17.9
19430601 19430630    57.5
19430701 19430731    27.8
19430801 19430831    29.7
19430901 19430930    74.6
19431001 19431031    30.0
19431101 19431130    83.7
19431201 19431231    66.9
19440101 19440131   113.6
19440201 19440229    25.3
19440301 19440331    38.1
19440401 19440430    59.2
19440501 19440531    60.7
19440601 19440630    24.6
19440701 19440731    17.3
19440801 19440831    19.8
19440901 19440930    47.2
19441001 19441031    70.9
19441101 19441130    36.1
19441201 19441231    99.8
19450101 19450131    69.9
19450201 19450228    36.6
19450301 19450331    18.0
19450401 19450430    10.2
19450501 19450531    12.5
19450601 19450630    21.5
19450701 19450731    27.8
19450801 19450831    71.5
19450901 19450930    48.0
19451001 19451031    33.0
