PRCP       039040 19100101 20171231 missing_value=99999.9 GIN GIN POST OFFICE                       
19890701 19890731    51.2
19890801 19890831    93.6
19890901 19890930     7.6
19891001 19891031    43.2
19891101 19891130    64.0
19891201 19891231    57.6
19900101 19900131    24.8
19900201 19900228    21.0
19900301 19900331   187.1
19900401 19900430   125.2
19900501 19900531   142.2
19900601 19900630    48.4
19900701 19900731    28.8
19900801 19900831    18.2
19900901 19900930    31.2
19901001 19901031    21.4
19901101 19901130    17.6
19901201 19901231   104.2
19910101 19910131   187.6
19910201 19910228   108.4
19910301 19910331    40.6
19910401 19910430    10.8
19910501 19910531    24.6
19910601 19910630     4.9
19910701 19910731    20.0
19910801 19910831     0.0
19910901 19910930     0.2
19911001 19911031    10.8
19911101 19911130    70.8
19911201 19911231   296.2
19920101 19920131   176.4
19920201 19920229   282.6
19920301 19920331   326.6
19920401 19920430    67.2
19920501 19920531   107.0
19920601 19920630     2.4
19920701 19920731    13.6
19920801 19920831    25.0
19920901 19920930    88.0
19921001 19921031     7.4
19921101 19921130   134.2
19921201 19921231    64.6
19930101 19930131    90.7
19930201 19930228    71.0
19930301 19930331    40.4
19930401 19930430    13.2
19930501 19930531     5.6
19930601 19930630    10.2
19930701 19930731    37.8
19930801 19930831    73.6
19930901 19930930    97.6
19931001 19931031    53.4
19931101 19931130   113.2
19931201 19931231   161.0
19940101 19940131   102.0
19940201 19940228    92.6
19940301 19940331   219.2
19940401 19940430    42.4
19940501 19940531    13.8
19940601 19940630    12.4
19940701 19940731    25.6
19940801 19940831     2.4
19940901 19940930    15.6
19941001 19941031    43.0
19941101 19941130     6.6
19941201 19941231   101.8
19950101 19950131    65.0
19950201 19950228   180.4
19950301 19950331    28.4
19950401 19950430    73.2
19950501 19950531    79.2
19950601 19950630    22.4
19950701 19950731     6.8
19950801 19950831    32.8
19950901 19950930     7.0
19951001 19951031   110.0
19951101 19951130    84.0
19951201 19951231   156.4
19960101 19960131   436.9
19960201 19960229    22.7
19960301 19960331     7.6
19960401 19960430   112.0
19960501 19960531   102.6
19960601 19960630    20.0
19960701 19960731    41.6
19960801 19960831    38.6
19960901 19960930    63.2
19961001 19961031    48.2
19961101 19961130    65.0
19961201 19961231    71.0
19970101 19970131    67.2
19970201 19970228   112.4
19970301 19970331   109.0
19970401 19970430    16.0
19970501 19970531    80.2
19970601 19970630     8.2
19970701 19970731    10.2
19970801 19970831     9.2
19970901 19970930    45.0
19971001 19971031    24.0
19971101 19971130    73.6
19971201 19971231   123.8
19980101 19980131   112.0
19980201 19980228   172.2
19980301 19980331    13.6
19980401 19980430    67.4
19980501 19980531   136.0
19980601 19980630    19.2
19980701 19980731    19.0
19980801 19980831    71.4
19980901 19980930   158.4
19981001 19981031    82.6
19981101 19981130   113.8
19981201 19981231   114.6
19990101 19990131   186.5
19990201 19990228   107.8
19990301 19990331   158.0
19990401 19990430     6.6
19990501 19990531    76.0
19990601 19990630    35.5
19990701 19990731   114.5
19990801 19990831    71.0
19990901 19990930    37.6
19991001 19991031   129.6
19991101 19991130    31.2
19991201 19991231   111.8
20000101 20000131   239.2
20000201 20000229   101.5
20000301 20000331    31.4
20000401 20000430    75.8
20000501 20000531    61.0
20000601 20000630    46.6
20000701 20000731     7.6
20000801 20000831     8.6
20000901 20000930     0.0
20001001 20001031   209.1
20001101 20001130   103.6
20001201 20001231    50.4
20010101 20010131    77.4
20010201 20010228   126.8
20010301 20010331   124.6
20010401 20010430    85.0
20010501 20010531    29.0
20010601 20010630    10.4
20010701 20010731    59.2
20010801 20010831     1.6
20010901 20010930    78.4
20011001 20011031    32.4
20011101 20011130    96.8
20011201 20011231    64.2
20020101 20020131    53.6
20020201 20020228    69.6
20020301 20020331    25.0
20020401 20020430    16.8
20020501 20020531    22.0
20020601 20020630   162.4
20020701 20020731     0.0
20020801 20020831    74.0
20020901 20020930     7.2
20021001 20021031    66.2
20021101 20021130    49.8
20021201 20021231   118.4
20030101 20030131     1.4
20030201 20030228   346.0
20030301 20030331    66.6
20030401 20030430   142.2
20030501 20030531    11.2
20030601 20030630    13.0
20030701 20030731    27.0
20030801 20030831    27.4
20030901 20030930    26.2
20031001 20031031    44.4
20031101 20031130    29.4
20031201 20031231   144.6
20040101 20040131   292.0
20040201 20040229   163.4
20040301 20040331   100.6
20040401 20040430    46.9
20040501 20040531    10.8
20040601 20040630     3.0
20040701 20040731     0.2
20040801 20040831     2.2
20040901 20040930    50.6
20041001 20041031    92.2
20041101 20041130    69.0
20041201 20041231   119.6
20050101 20050131   119.0
20050201 20050228    31.6
20050301 20050331    27.0
20050401 20050430    75.0
20050501 20050531    37.5
20050601 20050630   148.9
20050701 20050731    15.0
20050801 20050831    29.0
20050901 20050930     5.2
20051001 20051031   142.2
20051101 20051130    98.8
20051201 20051231    74.3
20060101 20060131   136.5
20060201 20060228    30.2
20060301 20060331   131.4
20060401 20060430    22.4
