PRCP       068016 19040101 20130131 missing_value=99999.9 CATARACT DAM                              
19341201 19341231    34.7
19350101 19350131    59.9
19350201 19350228   166.1
19350301 19350331    55.5
19350401 19350430    48.4
19350501 19350531     6.9
19350601 19350630    24.2
19350701 19350731    35.2
19350801 19350831     5.1
19350901 19350930    79.4
19351001 19351031    76.9
19351101 19351130    42.6
19351201 19351231    70.7
19360101 19360131    52.8
19360201 19360229   123.6
19360301 19360331    50.3
19360401 19360430    81.4
19360501 19360531    39.3
19360601 19360630    72.1
19360701 19360731    22.3
19360801 19360831    19.6
19360901 19360930    14.7
19361001 19361031    13.7
19361101 19361130     6.9
19361201 19361231   110.1
19370101 19370131    72.6
19370201 19370228    34.7
19370301 19370331   195.6
19370401 19370430    27.0
19370501 19370531    17.1
19370601 19370630   222.8
19370701 19370731    49.2
19370801 19370831    41.6
19370901 19370930    15.7
19371001 19371031    59.6
19371101 19371130    77.2
19371201 19371231    80.6
19380101 19380131    93.4
19380201 19380228    84.7
19380301 19380331     6.9
19380401 19380430    70.6
19380501 19380531    79.0
19380601 19380630    10.6
19380701 19380731    52.5
19380801 19380831   309.7
19380901 19380930    16.5
19381001 19381031   143.9
19381101 19381130    41.1
19381201 19381231     6.9
19390101 19390131    77.0
19390201 19390228     0.0
19390301 19390331   106.0
19390401 19390430   112.9
19390501 19390531    24.7
19390601 19390630    16.8
19390701 19390731    13.8
19390801 19390831    60.8
19390901 19390930    54.6
19391001 19391031    53.9
19391101 19391130    51.1
19391201 19391231    13.0
19400101 19400131    34.6
19400201 19400229    11.2
19400301 19400331     2.3
19400401 19400430   128.0
19400501 19400531    12.5
19400601 19400630    29.0
19400701 19400731    13.7
19400801 19400831     9.4
19400901 19400930    60.0
19401001 19401031    16.7
19401101 19401130    38.2
19401201 19401231   206.1
19410101 19410131   103.2
19410201 19410228    85.8
19410301 19410331    40.1
19410401 19410430    48.3
19410501 19410531    17.6
19410601 19410630    31.3
19410701 19410731    20.5
19410801 19410831    45.2
19410901 19410930    60.5
19411001 19411031    55.6
19411101 19411130    47.7
19411201 19411231     6.3
19420101 19420131     8.5
19420201 19420228    54.9
19420301 19420331   359.2
19420401 19420430    28.3
19420501 19420531    33.7
19420601 19420630    64.4
19420701 19420731    43.1
19420801 19420831     6.3
19420901 19420930    26.4
19421001 19421031   536.8
19421101 19421130   152.9
19421201 19421231    50.9
19430101 19430131    35.8
19430201 19430228    37.8
19430301 19430331    41.0
19430401 19430430    28.4
19430501 19430531   677.7
19430601 19430630    12.1
19430701 19430731     2.8
19430801 19430831   121.5
19430901 19430930   154.1
19431001 19431031    44.1
19431101 19431130    96.4
19431201 19431231    81.8
19440101 19440131    17.5
19440201 19440229     1.0
19440301 19440331    39.2
19440401 19440430    52.3
19440501 19440531   152.6
